strategy,n_trades,terminal_equity,total_return_pct,annualized_return,sharpe_non_overlap,sortino,max_dd_dollar,max_dd_pct,calmar,win_rate,profit_factor,mean_trade_dollar,best_trade_dollar,worst_trade_dollar,sum_net_pnl,capital_efficiency,n_wide_spread_trades,n_margin_rejects,n_concurrency_rejects,n_missing_quote,n_dropped_month,peak_margin_util_pct,config,dropped_month
always_short,48,1956.8000000000757,-98.04319999999991,-0.886996587506369,-4.325406521009224,-4.767233424614383,-99936.69999999992,-99.94579506735106,-0.8874776441656634,0.2916666666666667,0.1483598383639036,-2042.5666666666668,3796.2,-12638.399999999998,-98043.20000000001,-0.2042566666666667,0,400,0.0,5,0,10.0,base_k1_10K_allmonths,
vrp_rule,145,130953.59999999995,30.953599999999938,0.1612138548723565,1.1912367179864807,1.4809710260872475,-17465.59999999999,-17.46559999999999,0.9230364537854788,0.6551724137931034,1.5262803532384153,213.47310344827582,3796.2,-4191.600000000001,30953.599999999995,0.02134731034482758,0,0,0.0,0,0,10.0,base_k1_10K_allmonths,
logreg,94,92880.40000000034,-7.119599999999659,-0.04010891932142624,-0.37430359953330006,-0.5122186714443767,-28523.09999999983,-25.67439725281387,-0.1562214642333244,0.5106382978723404,0.8727270127065619,-75.7404255319149,3796.2,-4928.000000000001,-7119.6,-0.00757404255319149,0,0,0.0,0,0,10.0,base_k1_10K_allmonths,
lgbm,189,58823.20000000042,-41.17679999999958,-0.2548004231223282,-0.8627242955395935,-0.9233456934973383,-71542.19999999988,-71.54219999999988,-0.3561540225521841,0.5925925925925926,0.7122849480773021,-217.86666666666667,3796.2,-7833.000000000004,-41176.8,-0.02178666666666667,0,0,0.0,0,0,10.0,base_k1_10K_allmonths,
buy_hold_spy,1,131825.26903531255,31.82526903531255,0.16549153680347062,0.9746105071454751,1.2629442964171738,-21215.615647187486,-18.755246925491083,0.8823746094141995,1.0,inf,31825.26903531256,31825.26903531256,31825.26903531256,31825.26903531256,0.0007025445703159505,0,0,,0,0,100.0,base_k1_10K_allmonths,
always_short,110,-1427.2999999998356,-101.42729999999985,,-2.3859392666390846,-2.4009849951927857,-103370.44999999984,-103.37985756703844,,0.4818181818181818,0.33987166107433325,-922.0663636363639,3937.9499999999985,-12411.4,-101427.30000000003,-0.0922066363636364,2,338,0.0,5,0,10.0,k0.5_10K_allmonths,
vrp_rule,145,145674.59999999974,45.67459999999974,0.23184284183019677,1.8443692669067953,2.3345652128720853,-13361.450000000026,-13.331507434302589,1.739059464750808,0.6758620689655173,1.917107236727178,314.99724137931025,3937.9499999999985,-4058.099999999999,45674.599999999984,0.03149972413793102,0,0,0.0,0,0,10.0,k0.5_10K_allmonths,
logreg,94,103359.65000000031,3.3596500000003138,0.018483604314535107,0.1810613967290461,0.2564634669145351,-24481.59999999986,-21.63168021135444,0.08544691921265131,0.5425531914893617,1.0676241717188795,35.74095744680849,3937.9499999999985,-4616.749999999998,3359.649999999998,0.003574095744680849,0,0,0.0,0,0,10.0,k0.5_10K_allmonths,
lgbm,189,80058.45000000055,-19.941549999999452,-0.11597705353760557,-0.43193224946949255,-0.46442278709408125,-59499.399999999805,-59.36067410461735,-0.19537691457682474,0.6190476190476191,0.8463019177239653,-105.51084656084662,3937.9499999999985,-7695.500000000001,-19941.55000000001,-0.010551084656084661,0,0,0.0,0,0,10.0,k0.5_10K_allmonths,
buy_hold_spy,1,131825.26903531255,31.82526903531255,0.16549153680347062,0.9746105071454751,1.2629442964171738,-21215.615647187486,-18.755246925491083,0.8823746094141995,1.0,inf,31825.26903531256,31825.26903531256,31825.26903531256,31825.26903531256,0.0007025445703159505,0,0,,0,0,100.0,k0.5_10K_allmonths,
always_short,46,-11356.799999999977,-111.35679999999999,,-4.936273087422571,-5.36130534825992,-112406.49999999997,-112.4167299224229,,0.2608695652173913,0.10189972699741508,-2420.7999999999997,3512.6999999999985,-13092.399999999996,-111356.79999999999,-0.24207999999999996,0,402,0.0,5,0,10.0,k2_10K_allmonths,
vrp_rule,145,101511.60000000024,1.511600000000235,0.008350004067849692,0.05248895062338573,0.062438302012811066,-27763.29999999993,-27.76329999999993,0.030075690093935927,0.6,1.0191821812307509,10.424827586206861,3512.6999999999985,-4458.599999999999,1511.599999999995,0.0010424827586206862,0,0,0.0,0,0,10.0,k2_10K_allmonths,
logreg,94,71921.90000000031,-28.078099999999683,-0.16696076544357008,-1.388278479205488,-1.7941422203933959,-36687.19999999985,-34.3073024304028,-0.4866624701323386,0.44680851063829785,0.6003663556296933,-298.7031914893617,3512.6999999999985,-5604.3,-28078.100000000002,-0.029870319148936172,0,0,0.0,0,0,10.0,k2_10K_allmonths,
lgbm,186,19253.500000000055,-80.74649999999994,-0.5987266574420658,-1.601354081767095,-1.6981580026595449,-92677.59999999998,-92.67759999999998,-0.6460316812714895,0.5268817204301075,0.5223259445933235,-434.1209677419355,3512.6999999999985,-8108.000000000001,-80746.5,-0.04341209677419355,0,3,0.0,0,0,10.0,k2_10K_allmonths,
buy_hold_spy,1,131825.26903531255,31.82526903531255,0.16549153680347062,0.9746105071454751,1.2629442964171738,-21215.615647187486,-18.755246925491083,0.8823746094141995,1.0,inf,31825.26903531256,31825.26903531256,31825.26903531256,31825.26903531256,0.0007025445703159505,0,0,,0,0,100.0,k2_10K_allmonths,
always_short,448,56538.19999999739,-43.461800000002604,-0.27098607646232054,-1.202844460219752,-1.0924757659682445,-56157.8000000013,-56.15853006089209,-0.4825376949298589,0.5758928571428571,0.572411554051395,-97.01294642857142,1310.4,-4505.599999999999,-43461.799999999996,-0.09701294642857142,2,0,0.0,5,0,1.0,k1_1K_allmonths,
vrp_rule,145,109721.99999999916,9.721999999999165,0.05276817018074187,1.3781321479385977,1.9125684631732476,-3487.5000000000437,-3.474723441904167,1.518629354623533,0.6551724137931034,1.646237702738634,67.04827586206898,1265.4,-888.6000000000004,9722.000000000002,0.06704827586206898,0,0,0.0,0,0,1.0,k1_1K_allmonths,
logreg,94,97966.59999999945,-2.0334000000005514,-0.011321678707669869,-0.3500765806160057,-0.4914114229352429,-8635.900000000183,-8.381350018585728,-0.13508180284278706,0.5106382978723404,0.8793134147644315,-21.63191489361701,1265.4,-1554.6000000000001,-2033.3999999999992,-0.021631914893617012,0,0,0.0,0,0,1.0,k1_1K_allmonths,
