date,cash,equity,deployed_margin,n_open,realized_pnl_cum,opened,reject_reason
2024-07-01,100000.0,100000.0,0.0,0,0.0,False,
2024-07-02,109020.9,99990.9,2000.0,1,0.0,True,
2024-07-03,117964.79999999999,99981.79999999999,4000.0,2,0.0,True,
2024-07-05,126691.69999999998,99972.69999999998,6000.0,3,0.0,True,
2024-07-08,136174.59999999998,99963.59999999998,8000.0,4,0.0,True,
2024-07-09,145461.49999999997,99954.49999999997,10000.0,5,0.0,True,
2024-07-10,144547.29999999996,98606.29999999996,10000.0,5,-1348.2000000000003,True,
2024-07-11,136026.19999999995,99038.19999999995,8000.0,4,-925.400000000001,False,
2024-07-12,128107.09999999995,99855.09999999995,6000.0,3,-117.60000000000127,False,
2024-07-15,127485.19999999994,99929.19999999994,6000.0,3,-44.80000000000197,True,
2024-07-16,126285.29999999993,99373.29999999993,6000.0,3,-602.0000000000017,True,
2024-07-17,116308.19999999992,98860.19999999992,4000.0,2,-1124.200000000002,False,
2024-07-18,125780.39999999992,98852.39999999992,6000.0,3,-1124.200000000002,True,
2024-07-19,134887.19999999992,98847.19999999992,8000.0,4,-1124.200000000002,True,
2024-07-22,124661.39999999992,97417.39999999992,6000.0,3,-2561.800000000003,False,
2024-07-23,112731.59999999992,94139.59999999992,4000.0,2,-5847.4000000000015,False,
2024-07-24,122010.39999999992,94134.39999999992,6000.0,3,-5847.4000000000015,True,
2024-07-25,108346.59999999992,89950.59999999992,4000.0,2,-10039.000000000004,False,
2024-07-26,97825.39999999992,88541.39999999992,2000.0,1,-11453.400000000005,False,
2024-07-29,97825.39999999992,88541.39999999992,2000.0,1,-11453.400000000005,False,
2024-07-30,97825.39999999992,88541.39999999992,2000.0,1,-11453.400000000005,False,
2024-07-31,90860.19999999992,90860.19999999992,0.0,0,-9139.800000000007,False,
2024-08-01,90860.19999999992,90860.19999999992,0.0,0,-9139.800000000007,False,
2024-08-02,90860.19999999992,90860.19999999992,0.0,0,-9139.800000000007,False,
2024-08-05,100507.29999999993,90856.29999999993,2000.0,1,-9139.800000000007,True,
2024-08-06,100507.29999999993,90856.29999999993,2000.0,1,-9139.800000000007,False,
2024-08-07,100507.29999999993,90856.29999999993,2000.0,1,-9139.800000000007,False,
2024-08-08,100507.29999999993,90856.29999999993,2000.0,1,-9139.800000000007,False,
2024-08-09,100507.29999999993,90856.29999999993,2000.0,1,-9139.800000000007,False,
2024-08-12,94656.39999999994,94656.39999999994,0.0,0,-5343.600000000007,False,
2024-08-13,104454.89999999994,94649.89999999994,2000.0,1,-5343.600000000007,True,
2024-08-14,113118.39999999994,94643.39999999994,4000.0,2,-5343.600000000007,True,
2024-08-15,122686.59999999993,94635.59999999993,6000.0,3,-5343.600000000007,True,
2024-08-16,131197.39999999994,94630.39999999994,8000.0,4,-5343.600000000007,True,
2024-08-19,139212.19999999992,94625.19999999992,10000.0,5,-5343.600000000007,True,
2024-08-20,135140.4999999999,92278.49999999991,10000.0,5,-7691.600000000008,True,
2024-08-21,131545.7999999999,89381.7999999999,10000.0,5,-10589.600000000008,True,
2024-08-22,129636.7999999999,88948.7999999999,10000.0,5,-11025.200000000008,True,
2024-08-23,131210.3999999999,91066.3999999999,10000.0,5,-8907.600000000008,True,
2024-08-26,131531.9999999999,91315.99999999991,10000.0,5,-8658.000000000007,True,
2024-08-27,134094.29999999993,92188.29999999993,10000.0,5,-7784.400000000007,True,
2024-08-28,133023.89999999994,91285.89999999994,10000.0,5,-8686.800000000007,True,
2024-08-29,126014.69999999994,92376.69999999994,8000.0,4,-7601.200000000006,False,
2024-08-30,127998.99999999994,92952.99999999994,8000.0,4,-7023.600000000007,True,
2024-09-03,125392.59999999995,90150.59999999995,8000.0,4,-9826.000000000005,True,
2024-09-04,110441.09999999995,84969.09999999995,6000.0,3,-15014.000000000007,False,
2024-09-05,99723.89999999995,82055.89999999995,4000.0,2,-17932.400000000005,False,
2024-09-06,99723.89999999995,82055.89999999995,4000.0,2,-17932.400000000005,False,
2024-09-09,82517.39999999995,74229.39999999995,2000.0,1,-25765.40000000001,False,
2024-09-10,73224.19999999995,73224.19999999995,0.0,0,-26775.80000000001,False,
2024-09-11,73224.19999999995,73224.19999999995,0.0,0,-26775.80000000001,False,
2024-09-12,73224.19999999995,73224.19999999995,0.0,0,-26775.80000000001,False,
2024-09-13,73224.19999999995,73224.19999999995,0.0,0,-26775.80000000001,False,
2024-09-16,73224.19999999995,73224.19999999995,0.0,0,-26775.80000000001,False,
