model,split,accuracy,mcc,precision,recall,f1,auc_pr,auc_roc,brier,log_loss,tn,fp,fn,tp,n_days,n_taken,coverage_pct,hit_rate_taken,mean_pnl_pct_taken,median_pnl_pct_taken,std_pnl_pct_taken,sum_pnl_pct_taken,worst_pnl_pct_taken,best_pnl_pct_taken,max_drawdown_taken,sharpe_overlapping,sharpe_non_overlapping,n_non_overlapping_trades,n_disasters_total,n_disasters_avoided,pct_disasters_avoided,n_disasters_slipped,mean_pnl_slipped,worst_pnl_slipped,n_skipped,mean_pnl_pct_skipped,hit_rate_skipped
always_positive,train,0.6369982547993019,0.0,0.6369982547993019,1.0,0.7782515991471215,0.6369982547993019,0.5,0.36300174520069806,5.015055080367836,0,208,0,365,573,573,1.0,0.6369982547993019,0.004715510529692759,0.0518941359626362,0.18922742563540892,2.701987533513951,-1.1436567164179108,0.2570703408266861,-5.9822773804717295,0.3955896390086152,0.04419372903731535,115,50,0,0.0,50,-0.4523074097743448,-1.1436567164179108,0,,
vrp_rule,train,0.4694589877835951,0.13361202656556082,0.7652173913043478,0.2410958904109589,0.36666666666666664,0.6730689346767962,0.5206796628029505,0.2789509677696766,0.8129825637947511,181,27,277,88,573,115,0.2006980802792321,0.7652173913043478,0.04222067173239521,0.073681272676528,0.13695501719446132,4.855377249225449,-0.4602473498233214,0.2212603878116343,-1.1488061329048218,4.893814036680499,2.264149482574629,25,50,43,0.86,7,-0.34054155816659776,-0.4602473498233214,458,-0.004701724270112443,0.6048034934497817
logreg,train,0.45200698080279234,0.14569857815206302,0.8072289156626506,0.18356164383561643,0.29910714285714285,0.6962838730222551,0.5959694415173867,0.22618437750375114,0.6614905722039517,192,16,298,67,573,83,0.14485165794066318,0.8072289156626506,0.08002554304635819,0.1145717463848721,0.11850274162306375,6.642120072847729,-0.6089459698848536,0.2455509276789095,-0.6089459698848536,10.720141114052515,6.3750839565271855,19,50,49,0.98,1,-0.6089459698848536,-0.6089459698848536,490,-0.008041086814966895,0.6081632653061224
lgbm,train,0.6719022687609075,0.45138053721913923,0.9234449760765551,0.5287671232876713,0.6724738675958188,0.8185330332227576,0.770758693361433,0.18711826337346493,0.5516311441755366,192,16,172,193,573,209,0.3647469458987784,0.9234449760765551,0.09686572212979885,0.1188398357289528,0.09346310151176486,20.24493592512796,-0.4602473498233214,0.2562685932851679,-0.6246148285436064,16.452435699870726,10.171425433448375,42,50,47,0.94,3,-0.3679773353845975,-0.4602473498233214,364,-0.04819491316377476,0.4725274725274725
always_positive,val,0.6693548387096774,0.0,0.6693548387096774,1.0,0.8019323671497585,0.6693548387096774,0.5,0.33064516129032256,4.568032386091915,0,41,0,83,124,124,1.0,0.6693548387096774,0.020835813366938155,0.0502345930525365,0.14636657897407263,2.583640857500331,-0.6115346370566787,0.230220713073005,-2.5065657915938915,2.2597937692772954,0.4777874465680758,25,7,0,0.0,7,-0.386543129008862,-0.6115346370566787,0,,
vrp_rule,val,0.3467741935483871,-0.05985209557106645,0.5833333333333334,0.08433734939759036,0.14736842105263157,0.6599783902417643,0.424331472230385,0.33122496568672455,0.913817960536833,36,5,76,7,124,12,0.0967741935483871,0.5833333333333334,-0.0244448749178099,0.05662088337944545,0.23884668653501778,-0.2933384990137188,-0.4817918143731873,0.2296395193591454,-1.0263510318410052,-1.6246838706667175,-5.88595929040785,3,7,4,0.5714285714285714,3,-0.35201298724478164,-0.4817918143731873,112,0.025687315683161165,0.6785714285714286
logreg,val,0.3951612903225806,0.14520535499729015,0.9,0.10843373493975904,0.1935483870967742,0.7153218332386618,0.5665589186012341,0.21515151515151512,0.6143986061281236,40,1,74,9,124,10,0.08064516129032258,0.9,0.08861461859078414,0.0893304754461325,0.07161430191858331,0.8861461859078413,-0.0661732694819331,0.172763491488591,-0.0661732694819331,19.64291241008808,18.186301483615924,3,7,7,1.0,0,,,114,0.014890304136776234,0.6491228070175439
lgbm,val,0.5645161290322581,0.24524392269672288,0.8222222222222222,0.4457831325301205,0.578125,0.7572924443490052,0.6528063473405817,0.20418086426752774,0.5945332108471459,33,8,46,37,124,45,0.3629032258064516,0.8222222222222222,0.06383826718899699,0.0765973826020016,0.10327191271963332,2.8727220235048647,-0.2368125701459035,0.2296395193591454,-0.2368125701459035,9.812939917356852,0.7868241379457543,8,7,7,1.0,0,,,79,-0.0036592552658801765,0.5822784810126582
always_positive,test,0.6294642857142857,0.0,0.6294642857142857,1.0,0.7726027397260274,0.6294642857142857,0.5,0.3705357142857143,5.119140702271063,0,166,0,282,448,448,1.0,0.6294642857142857,-0.01810534425782251,0.0549280639114839,0.24794990257643784,-8.111194227504484,-1.7327095199349067,0.4125037844383893,-19.51442938945543,-1.1591592771683157,-0.5606420063646588,90,56,0,0.0,56,-0.5175695180068881,-1.7327095199349067,0,,
vrp_rule,test,0.5200892857142857,0.145488410011194,0.7310344827586207,0.375886524822695,0.4964871194379391,0.7003705885032236,0.5913654618473896,0.2512205354140075,0.7504198494729742,127,39,176,106,448,145,0.3236607142857143,0.7310344827586207,0.04767960324480969,0.0774321641297154,0.13054314473070386,6.913542470497404,-0.4070602936582319,0.4125037844383893,-1.1719325754172696,5.7980083009134615,1.8778115808914413,29,56,51,0.9107142857142857,5,-0.3141461560706696,-0.4070602936582319,303,-0.04958658976238246,0.5808580858085809
