strategy,entry_date,exit_date,entry_strike,entry_expiration,contracts,entry_premium_ps,mid_premium_ps,exit_value_ps,margin,premium_received_cash,entry_commission,entry_call_src,entry_put_src,exit_call_src,exit_put_src,wide_spread_any,phase2_pnl_pct_5d,realized,gross_pnl,net_pnl,exit_commission,total_commission
always_short,2024-07-01,2024-07-09,551.0,2024-07-31,7,12.51,12.655,12.99,2000.0,8757.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.0225207427894111,True,-336.0000000000003,-354.2000000000003,9.1,18.2
always_short,2024-07-02,2024-07-10,555.0,2024-08-02,7,12.9,13.1,14.8,2000.0,9030.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1209923664122136,True,-1330.0000000000002,-1348.2000000000003,9.1,18.2
always_short,2024-07-03,2024-07-11,557.0,2024-08-02,7,12.79,12.895,12.16,2000.0,8953.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0597130670802636,True,440.9999999999993,422.79999999999933,9.1,18.2
always_short,2024-07-05,2024-07-12,560.0,2024-08-02,7,12.48,12.715,11.3,2000.0,8736.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1156114825009831,True,825.9999999999998,807.7999999999997,9.1,18.2
always_short,2024-07-08,2024-07-15,561.0,2024-08-09,7,13.559999999999999,13.64,13.43,2000.0,9491.999999999998,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0186950146627566,True,90.9999999999993,72.7999999999993,9.1,18.2
always_short,2024-07-09,2024-07-16,561.0,2024-08-09,7,13.280000000000001,13.48,14.05,2000.0,9296.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.038946587537092,True,-538.9999999999997,-557.1999999999997,9.1,18.2
always_short,2024-07-10,2024-07-17,565.0,2024-08-09,7,13.52,13.58,14.24,2000.0,9464.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.0364506627393226,True,-504.0000000000004,-522.2000000000004,9.1,18.2
always_short,2024-07-11,2024-07-18,563.0,2024-08-09,7,13.36,13.580000000000002,15.08,2000.0,9352.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.0964653902798231,True,-1204.0000000000005,-1222.2000000000005,9.1,18.2
always_short,2024-07-12,2024-07-19,566.0,2024-08-09,7,12.600000000000001,12.84,19.28,2000.0,8820.000000000002,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.4863707165109035,True,-4676.0,-4694.2,9.1,18.2
always_short,2024-07-15,2024-07-22,568.0,2024-08-16,6,14.66,14.86,17.03,2000.0,8796.0,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1349259757738898,True,-1422.0000000000007,-1437.6000000000006,7.800000000000001,15.600000000000001
