strategy,entry_date,exit_date,entry_strike,entry_expiration,contracts,entry_premium_ps,mid_premium_ps,exit_value_ps,margin,premium_received_cash,entry_commission,entry_call_src,entry_put_src,exit_call_src,exit_put_src,wide_spread_any,phase2_pnl_pct_5d,realized,gross_pnl,net_pnl,exit_commission,total_commission
lgbm,2024-07-02,2024-07-10,555.0,2024-08-02,7,12.9,13.1,14.8,2000.0,9030.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1209923664122136,True,-1330.0000000000002,-1348.2000000000003,9.1,18.2
lgbm,2024-07-03,2024-07-11,557.0,2024-08-02,7,12.79,12.895,12.16,2000.0,8953.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0597130670802636,True,440.9999999999993,422.79999999999933,9.1,18.2
lgbm,2024-07-05,2024-07-12,560.0,2024-08-02,7,12.48,12.715,11.3,2000.0,8736.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1156114825009831,True,825.9999999999998,807.7999999999997,9.1,18.2
lgbm,2024-07-08,2024-07-15,561.0,2024-08-09,7,13.559999999999999,13.64,13.43,2000.0,9491.999999999998,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0186950146627566,True,90.9999999999993,72.7999999999993,9.1,18.2
lgbm,2024-07-09,2024-07-16,561.0,2024-08-09,7,13.280000000000001,13.48,14.05,2000.0,9296.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.038946587537092,True,-538.9999999999997,-557.1999999999997,9.1,18.2
lgbm,2024-07-10,2024-07-17,565.0,2024-08-09,7,13.52,13.58,14.24,2000.0,9464.0,9.1,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.0364506627393226,True,-504.0000000000004,-522.2000000000004,9.1,18.2
lgbm,2024-07-15,2024-07-22,568.0,2024-08-16,6,14.66,14.86,17.03,2000.0,8796.0,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1349259757738898,True,-1422.0000000000007,-1437.6000000000006,7.800000000000001,15.600000000000001
lgbm,2024-07-16,2024-07-23,571.0,2024-08-16,6,14.420000000000002,14.61,19.87,2000.0,8652.000000000002,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.3206707734428475,True,-3269.999999999999,-3285.599999999999,7.800000000000001,15.600000000000001
lgbm,2024-07-18,2024-07-25,559.0,2024-08-16,6,15.8,16.005,22.76,2000.0,9480.0,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.4070602936582319,True,-4176.000000000001,-4191.600000000001,7.800000000000001,15.600000000000001
lgbm,2024-07-19,2024-07-26,570.0,2024-08-16,4,22.779999999999998,22.96,26.29,2000.0,9111.999999999998,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1374128919860627,True,-1404.0000000000007,-1414.4000000000008,5.2,10.4
lgbm,2024-07-24,2024-07-31,563.0,2024-08-23,4,23.209999999999997,23.635,17.4,2000.0,9283.999999999998,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.2815739369579013,True,2323.9999999999995,2313.5999999999995,5.2,10.4
