strategy,entry_date,exit_date,entry_strike,entry_expiration,contracts,entry_premium_ps,mid_premium_ps,exit_value_ps,margin,premium_received_cash,entry_commission,entry_call_src,entry_put_src,exit_call_src,exit_put_src,wide_spread_any,phase2_pnl_pct_5d,realized,gross_pnl,net_pnl,exit_commission,total_commission
logreg,2024-07-15,2024-07-22,568.0,2024-08-16,6,14.66,14.86,17.03,2000.0,8796.0,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1349259757738898,True,-1422.0000000000007,-1437.6000000000006,7.800000000000001,15.600000000000001
logreg,2024-07-24,2024-07-31,563.0,2024-08-23,4,23.209999999999997,23.635,17.4,2000.0,9283.999999999998,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.2815739369579013,True,2323.9999999999995,2313.5999999999995,5.2,10.4
logreg,2024-08-02,2024-08-09,550.0,2024-08-30,4,23.85,24.355,20.67,2000.0,9540.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1683432560049271,True,1272.0,1261.6,5.2,10.4
logreg,2024-08-05,2024-08-12,535.0,2024-09-06,3,32.17,33.03,19.490000000000002,2000.0,9651.0,3.9000000000000004,bid_ask,bid_ask,bid_ask,bid_ask,False,0.4125037844383893,True,3804.0,3796.2,3.9000000000000004,7.800000000000001
logreg,2024-08-06,2024-08-13,523.0,2024-09-06,3,26.86,27.035,27.17,2000.0,8058.0,3.9000000000000004,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.0005548363232846,True,-93.00000000000068,-100.80000000000068,3.9000000000000004,7.800000000000001
logreg,2024-08-07,2024-08-14,520.0,2024-09-06,3,26.490000000000002,26.755,29.96,2000.0,7947.0,3.9000000000000004,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.1154924313212484,True,-1040.9999999999995,-1048.7999999999995,3.9000000000000004,7.800000000000001
logreg,2024-08-13,2024-08-20,542.0,2024-09-13,5,19.61,19.700000000000003,24.28,2000.0,9805.0,6.5,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.2279187817258882,True,-2335.000000000001,-2348.000000000001,6.5,13.0
logreg,2024-08-15,2024-08-22,553.0,2024-09-13,6,15.96,16.025,16.66,2000.0,9576.0,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.035569422776911,True,-419.99999999999955,-435.59999999999957,7.800000000000001,15.600000000000001
logreg,2024-09-03,2024-09-10,569.0,2024-10-04,4,20.72,21.405,23.22,2000.0,8288.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.07544966129409,True,-1000.0,-1010.4,5.2,10.4
logreg,2024-09-06,2024-09-13,555.0,2024-10-04,4,21.95,22.39,16.740000000000002,2000.0,8780.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.2545779365788299,True,2083.999999999999,2073.599999999999,5.2,10.4
logreg,2024-09-19,2024-09-26,571.0,2024-10-18,6,16.03,16.1,14.18,2000.0,9618.0,7.800000000000001,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1313664596273292,True,1110.000000000001,1094.400000000001,7.800000000000001,15.600000000000001
logreg,2024-10-03,2024-10-10,569.0,2024-11-01,5,19.65,19.735,18.630000000000003,2000.0,9824.999999999998,6.5,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0587788193564731,True,509.999999999998,496.999999999998,6.5,13.0
logreg,2024-10-07,2024-10-14,569.0,2024-11-08,4,24.41,24.515,26.54,2000.0,9764.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,-0.0789312665714869,True,-851.9999999999995,-862.3999999999995,5.2,10.4
logreg,2024-10-08,2024-10-15,574.0,2024-11-08,4,22.7,22.815,21.64,2000.0,9080.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0545693622616698,True,423.9999999999995,413.5999999999995,5.2,10.4
logreg,2024-10-09,2024-10-16,577.0,2024-11-08,4,20.96,21.975,20.46,2000.0,8384.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0725824800910126,True,200.0,189.6,5.2,10.4
logreg,2024-10-10,2024-10-17,577.0,2024-11-08,4,21.21,21.305,19.62,2000.0,8484.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0847218962684815,True,636.0,625.6,5.2,10.4
logreg,2024-10-11,2024-10-18,579.0,2024-11-08,4,20.64,20.74,18.59,2000.0,8256.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1067984570877532,True,820.0000000000002,809.6000000000003,5.2,10.4
logreg,2024-11-06,2024-11-13,605.0,2024-12-06,5,18.37,19.02,14.06,2000.0,9185.0,6.5,bid_ask,bid_ask,bid_ask,bid_ask,False,0.2765509989484752,True,2155.0000000000005,2142.0000000000005,6.5,13.0
logreg,2024-12-18,2024-12-26,584.0,2025-01-17,3,24.9,25.24,23.259999999999998,2000.0,7470.0,3.9000000000000004,bid_ask,bid_ask,bid_ask,bid_ask,False,0.0812202852614897,True,492.00000000000017,484.20000000000016,3.9000000000000004,7.800000000000001
logreg,2024-12-19,2024-12-27,584.0,2025-01-17,4,23.990000000000002,24.075,19.77,2000.0,9596.0,5.2,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1813084112149532,True,1688.000000000001,1677.6000000000008,5.2,10.4
logreg,2024-12-31,2025-01-08,600.0,2025-01-31,5,19.53,19.865,17.57,2000.0,9765.0,6.5,bid_ask,bid_ask,bid_ask,bid_ask,False,0.1391895293229296,True,980.0000000000005,967.0000000000005,6.5,13.0
