ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d
ACN,2021-05-31,2021-06-24,1.0,285.99,280.77,1.95,3.84,2.23,2.3,2.13,22.0,2.24,2.24,2.24,2.24,1.0,0.0,2.0,0.0,12804100000.0,12961600000.0,12646200000.0,19.0,2082.4,2340.0,-74.67,525.45,8.5,,3.69,6.28,25.31,15.26,11.05,-0.41,0.32,285.0,295.0,285.0,4.15,3.0,7.15,2.508771929824561,0.45389,0.39536,0.42462500000000003,0.136825,67.77745069178688,-0.20975000000000005,281.0,174.0,1.0,2.0,3.5087719298245723,0,-1.000000000000011,2021-06-23,421.0,395.9924926757813,0.12219,0.1375217857142857,0.14658,0.0153317857142857,0.0243899999999999,0,0.16122,0.09292,0.0683,0.00488,,,,0.1612273538261483,0.0862055863120292,0.0359844136879707,1.870265730141556,1.1,,0.3312459845476065,,0.0044362488361717,0.0114812270152131,-0.0030040768406867,1,16.31999969482422,19.700000762939453,4.100999694824219
CCL,2021-05-31,2021-06-28,0.0,29.56,26.65,-11.54,-1.88,-1.61,-1.01,-1.8,11.0,-1.6,-1.6,-1.56,-1.41,0.0,0.0,1.0,0.0,194950000.0,549740000.0,26000000.0,10.0,22556.0,20463.2,864.0,1955.08,-99.46,,-95.07,-913.64,11.39,-609.66,-113.74,-1984.14,-5846.65,28.0,26.0,28.0,0.63,0.5,1.13,4.035714285714286,0.36609,0.36609,0.36609,0.43438,-18.653882924963796,0.07316999999999996,3297.0,5603.0,0.39749900490911505,7.0,7.14285714285714,0,-3.107142857142854,2021-06-25,425.0,399.74993896484375,0.11244,0.1242807142857142,0.136825,0.0118407142857142,0.0243849999999999,0,0.1417,0.08642,0.0552799999999999,0.0016199999999999,,,,0.0887065069834882,0.0879067082985426,0.0245332917014573,1.0090982667924426,1.17,,0.4207200882919498,,0.0281739469522455,0.0213223057500286,0.0,1,15.619999885559082,19.0,4.3759998855590805
FDS,2021-05-31,2021-06-29,0.0,334.36,308.59,0.52,8.92,2.74,2.88,2.67,13.0,2.74,2.75,2.75,2.77,0.0,0.0,0.0,0.0,397920000.0,400600000.0,394670000.0,10.0,2904.8,3373.12,-305.6,411.14,5.95,,4.82,6.67,5.43,18.66,9.29,-2.26,0.9,340.0,340.0,340.0,7.85,10.75,18.6,5.470588235294118,0.30755,0.30755,0.30755,0.18560500000000002,39.65046333929442,-0.043899999999999995,46.0,54.0,0.6314984709480123,18.0,0.0,1,5.470588235294118,2021-06-28,426.0,400.5558776855469,0.11244,0.1258487499999999,0.136825,0.0134087499999999,0.024385,0,0.15146,0.09292,0.05854,0.00975,,,,0.045410779594838,0.0879556269976993,0.0244843730023006,0.5162919206525111,1.34,,0.4478365630904523,,0.0157061511463807,0.0228446791860454,0.0,1,15.760000228881836,19.020000457763672,4.516000228881836
MU,2021-05-31,2021-06-30,1.0,84.14,92.41,1.0,-8.04,1.71,1.93,1.62,27.0,1.69,1.68,1.63,1.34,3.0,0.0,8.0,0.0,7228240000.0,7450000000.0,6874220000.0,27.0,3106.4,3202.72,44.8,250.63,30.0,,18.45,117.78,25.64,22.55,50.68,-1.81,1.46,83.0,80.0,83.0,2.21,2.26,4.47,5.385542168674698,0.74657,0.74657,0.74657,0.36121000000000003,51.61739689513374,-0.35121499999999994,3071.0,5173.0,0.36653846153846154,3.0,3.6144578313253017,1,1.7710843373493965,2021-06-29,426.0,400.7714538574219,0.117315,0.13125,0.1454538461538461,0.013935,0.0281388461538461,0,0.15146,0.09292,0.05854,0.004875,,,,0.0433854853694688,0.0879347158238956,0.0293802841761043,0.4933829030204145,1.23,-0.0198321372436243,0.2717569470796343,-1.307553447383209,0.010848365805999,0.021567655541071,0.0,1,16.020000457763672,19.489999771118164,4.288500457763671
STZ,2021-05-31,2021-06-30,1.0,239.72,229.62,-2.43,1.86,2.32,2.42,2.22,16.0,2.38,2.4,2.39,2.53,0.0,2.0,1.0,0.0,2024480000.0,2123000000.0,1924200000.0,13.0,5780.0,6256.0,-126.93,1533.89,,,3.42,-55.66,-68.28,,,,,232.5,232.5,232.5,4.5,5.550000000000001,10.05,4.322580645161291,0.61974,0.57096,0.59535,0.22951,61.449567481313515,-0.36096500000000004,383.0,568.0,1.6417953116066324,3.0,0.0,1,4.322580645161291,2021-06-29,426.0,400.7714538574219,0.117315,0.13125,0.1454538461538461,0.013935,0.0281388461538461,0,0.15146,0.09292,0.05854,0.004875,,,,0.0433854853694688,0.0879347158238956,0.0293802841761043,0.4933829030204145,1.23,-0.0198321372436243,0.2717569470796343,-1.307553447383209,0.010848365805999,0.021567655541071,0.0,1,16.020000457763672,19.489999771118164,4.288500457763671
MKC,2021-05-31,2021-07-01,1.0,88.93,89.24,-1.08,-1.42,0.61,0.67,0.59,10.0,0.61,0.61,0.61,0.61,1.0,1.0,1.0,0.0,1467770000.0,1538000000.0,1362000000.0,9.0,-17693.6,-20720.8,1941.33,2706.92,22.24,,12.22,33.33,-8.86,19.62,21.68,0.21,-0.07,90.0,90.0,90.0,1.075,3.1,4.175,4.638888888888889,0.23926,0.28804,0.26365,0.16609000000000002,37.00360326190024,-0.05365500000000001,1834.0,1928.0,0.5803448275862069,16.0,0.0,1,4.638888888888889,2021-06-30,427.0,401.1086730957031,0.117315,0.1317725,0.1417,0.0144575,0.0243849999999999,0,0.15146,0.09292,0.05854,0.004875,,,,0.0350109173576517,0.0876684186379972,0.0296465813620027,0.3993560954055735,1.12,-0.9229320471562186,0.2843934443811881,-0.9350154671903164,0.0129198924589479,0.0233288248363268,0.0,1,15.829999923706056,19.510000228881836,4.098499923706054
PEP,2021-06-30,2021-07-13,1.0,147.69,142.11,3.57,7.63,1.53,1.61,1.49,19.0,1.53,1.52,1.52,1.54,1.0,1.0,6.0,0.0,17959000000.0,18323000000.0,17692000000.0,15.0,3541.6,3120.64,261.33,195.54,6.76,-78.94,3.97,13.08,-17.69,21.98,20.17,-0.87,1.74,150.0,155.0,150.0,1.245,1.65,2.895,1.9300000000000002,0.23926,0.21975,0.22950500000000001,0.1417,38.25842574235856,-0.078045,5526.0,4657.0,1.0384522868629944,4.0,3.3333333333333437,0,-1.4033333333333435,2021-07-12,436.0,409.560791015625,0.12219,0.13845,0.14658,0.0162599999999999,0.0243899999999999,0,0.15146,0.09292,0.05854,1.3877787807814457e-17,0.4285295840656122,,,0.1112132734439272,0.0972879197139007,0.0249020802860992,1.143135486615167,1.13,-0.9779570811019114,0.7898414885311089,-0.0448610124693979,0.007746828359848,0.0351737235256426,0.0,1,16.170000076293945,20.459999084472656,3.951000076293946
JPM,2021-06-30,2021-07-13,1.0,160.29,151.21,-2.89,2.94,3.2,3.84,2.8,21.0,3.11,3.08,3.04,2.92,5.0,2.0,11.0,0.0,29956400000.0,31346000000.0,29000000000.0,17.0,12879.2,8446.24,1859.2,914.62,1.92,-74.1,-7.27,58.82,49.51,265.58,451.31,47.69,42.89,157.5,155.0,157.5,2.535,1.8199999999999998,4.355,2.7650793650793655,0.34658,0.31731,0.331945,0.22951,30.859027850999414,-0.10243999999999998,6431.0,13491.0,0.442553968882258,4.0,1.5873015873015928,1,1.1777777777777727,2021-07-12,436.0,409.560791015625,0.12219,0.13845,0.14658,0.0162599999999999,0.0243899999999999,0,0.15146,0.09292,0.05854,1.3877787807814457e-17,0.4285295840656122,,,0.1112132734439272,0.0972879197139007,0.0249020802860992,1.143135486615167,1.13,-0.9779570811019114,0.7898414885311089,-0.0448610124693979,0.007746828359848,0.0351737235256426,0.0,1,16.170000076293945,20.459999084472656,3.951000076293946
FAST,2021-06-30,2021-07-13,1.0,52.5,50.06,1.26,6.19,0.41,0.42,0.4,13.0,0.41,0.41,0.41,0.41,1.0,0.0,2.0,0.0,1506990000.0,1524000000.0,1495820000.0,12.0,-3514.4,-3575.04,30.4,2.08,3.66,-74.91,5.7,5.71,8.82,3.97,3.32,-1.17,-0.07,54.6,52.1,55.0,0.7,1.65,2.3499999999999996,4.304029304029303,0.49292,0.48316,0.48804000000000003,0.22950500000000001,52.97414146381444,-0.23902000000000004,1308.0,2269.0,0.32481242366079216,4.0,4.578754578754573,0,-0.2747252747252702,2021-07-12,436.0,409.560791015625,0.12219,0.13845,0.14658,0.0162599999999999,0.0243899999999999,0,0.15146,0.09292,0.05854,1.3877787807814457e-17,0.4285295840656122,,,0.1112132734439272,0.0972879197139007,0.0249020802860992,1.143135486615167,1.13,-0.9779570811019114,0.7898414885311089,-0.0448610124693979,0.007746828359848,0.0351737235256426,0.0,1,16.170000076293945,20.459999084472656,3.951000076293946
GS,2021-06-30,2021-07-13,1.0,378.05,335.35,-0.55,12.12,10.23,12.46,8.53,20.0,9.45,9.11,9.08,8.16,5.0,0.0,14.0,0.0,12173500000.0,13536000000.0,10969000000.0,16.0,64941.6,31529.44,15562.67,5284.32,58.27,-63.97,8.37,498.07,53.97,394.96,518.47,28.12,32.18,380.0,375.0,380.0,6.575,5.975,12.55,3.302631578947369,0.39536,0.39536,0.39536,0.29292,25.910562525293397,-0.13171,3402.0,6412.0,0.7912892520991532,4.0,1.3157894736842146,1,1.9868421052631544,2021-07-12,436.0,409.560791015625,0.12219,0.13845,0.14658,0.0162599999999999,0.0243899999999999,0,0.15146,0.09292,0.05854,1.3877787807814457e-17,0.4285295840656122,,,0.1112132734439272,0.0972879197139007,0.0249020802860992,1.143135486615167,1.13,-0.9779570811019114,0.7898414885311089,-0.0448610124693979,0.007746828359848,0.0351737235256426,0.0,1,16.170000076293945,20.459999084472656,3.951000076293946
