ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d
JPM,2021-06-30,2021-07-13,1.0,160.29,151.21,-2.89,2.94,3.2,3.84,2.8,21.0,3.11,3.08,3.04,2.92,5.0,2.0,11.0,0.0,29956400000.0,31346000000.0,29000000000.0,17.0,12879.2,8446.24,1859.2,914.62,1.92,-74.1,-7.27,58.82,49.51,265.58,451.31,47.69,42.89,157.5,155.0,157.5,2021-07-16,2.535,1.8199999999999998,4.355,2.7650793650793655,0.33999999999999997,2.5549999999999997,2.8949999999999996,,,0.34658,0.31731,0.331945,0.22951,30.859027850999414,-0.10243999999999998,6431,13491,0.442553968882258,4.0,1.5873015873015928,1,1.1777777777777727,2021-07-12,436.0,409.560791015625,0.12219,0.13845,0.14658,0.0162599999999999,0.0243899999999999,0,0.15146,0.09292,0.05854,1.3877787807814457e-17,0.4285295840656122,,,0.1112132734439272,0.0972879197139007,0.0249020802860992,1.143135486615167,1.13,-0.9779570811019114,0.7898414885311089,-0.0448610124693979,0.007746828359848,0.0351737235256426,0.0,1,16.170000076293945,20.459999084472656,3.951000076293946
TSLA,2021-06-30,2021-07-26,0.0,671.87,704.74,-2.12,-6.69,0.96,1.16,0.62,20.0,0.96,0.96,0.95,0.96,0.0,1.0,2.0,0.0,11212500000.0,12826900000.0,9500000000.0,20.0,28024.8,29662.56,-853.33,420.8,73.58,-67.06,31.28,287.5,14.81,53.41,148.54,0.7,1.73,642.5,645.0,642.5,2021-07-30,23.825,22.975,46.8,7.284046692607003,13.175,10.775,23.950000000000003,,,0.65876,0.65876,0.65876,0.50755,22.953731252656514,-0.15609000000000006,288,1986,0.6716652454792984,7.0,0.3891050583657574,1,6.8949416342412455,2021-07-23,438.0,412.24072265625,0.12707,0.1480815384615384,0.1531322857142856,0.0210115384615384,0.0260622857142856,0,0.16122,0.10268,0.05854,0.0048799999999999,0.2666393330599976,,,0.18100106397846,0.1098490060160769,0.0172209939839231,1.6477260062960393,1.05,-1.4376442115524823,0.91615926446088,0.1576810272558966,0.0199377948592456,0.0410316616627679,0.0,1,17.200000762939453,21.649999618530273,4.493000762939452
AAPL,2021-06-30,2021-07-27,1.0,133.11,133.58,10.26,9.87,1.0,1.16,0.82,28.0,0.99,0.99,0.99,0.82,2.0,0.0,3.0,0.0,72927700000.0,77150000000.0,65682000000.0,25.0,-47270.4,-46582.72,-306.13,1408.04,53.63,-19.61,25.83,118.75,366.67,88.74,113.98,4.15,8.66,149.0,145.0,149.0,2021-07-30,2.975,3.005,5.98,4.0134228187919465,0.20500000000000002,4.25,4.455,,,0.48316,0.48316,0.48316,0.27829,42.402102823081385,-0.21950999999999998,24402,28265,0.36077723632918685,4.0,2.684563758389258,1,1.3288590604026886,2021-07-26,439.0,413.2527465820313,0.13195,0.1492076923076923,0.1588484285714285,0.0172576923076922,0.0268984285714285,0,0.16122,0.10268,0.05854,0.0,0.3333333333333336,,,0.0823970191163353,0.108919129582519,0.0230308704174809,0.7564972235103103,1.09,-1.1058465197839495,0.4197563326400294,-0.5187475725311336,0.037767267029994,0.0374500369427068,0.0,1,17.579999923706055,21.739999771118164,4.384999923706054
NVDA,2021-07-31,2021-08-18,0.0,751.19,584.5,-74.65,-67.43,1.01,1.07,0.97,30.0,1.01,1.02,4.09,4.11,0.0,3.0,1.0,0.0,6507000000.0,6468570000.0,6298000000.0,30.0,-45216.32,-37507.47,-2601.76,3294.0,83.8,,64.34,103.33,405.0,113.66,100.41,-0.95,2.86,195.0,197.5,195.0,2021-08-20,4.95,5.325,10.275,5.269230769230769,4.0,1.0750000000000002,5.075,,,0.73681,0.72706,0.731935,0.53194,27.324147636060587,-0.341455,7604,9921,0.5420562674611602,3.0,1.2820512820512775,1,3.9871794871794917,2021-08-17,442.0,416.0825500488281,0.136825,0.147003,0.159543,0.010178,0.0227179999999999,0,0.185605,0.10268,0.082925,0.0073175,0.3570800995753403,,,0.0641517335200621,0.0839331488262057,0.0528918511737942,0.7643193948662219,1.01,-1.4419553840333268,0.6243376811872147,-0.1245491006727685,0.0030720024672543,0.0448735172225427,-0.0065553014942482,1,17.90999984741211,21.700000762939453,4.227499847412108
JPM,2021-09-30,2021-10-13,1.0,159.86,155.46,0.71,3.56,2.88,3.27,2.55,19.0,2.88,2.87,2.84,2.84,0.0,1.0,1.0,0.0,29600500000.0,30651000000.0,28708000000.0,13.0,14178.4,10296.48,2153.07,914.29,-9.88,-5.33,-8.45,250.0,-17.65,118.98,166.73,38.94,31.4,165.0,162.5,165.0,2021-10-15,2.16,1.87,4.03,2.4424242424242424,0.22499999999999998,1.77,1.995,,,0.32707,0.34658,0.33682500000000004,0.21487499999999998,36.205744822979305,-0.09756500000000004,13695,7334,0.7061784722045217,3.0,1.5151515151515138,1,0.9272727272727286,2021-10-12,432.0,407.6203308105469,0.170975,0.1730628571428571,0.1781714285714286,0.0020878571428571,0.0071964285714286,0,0.21,0.12707,0.0829299999999999,-0.0024399999999999,0.6316016615417812,0.650010250102501,0.8701298701298701,0.0982500692871942,0.152089821700724,0.0188851782992759,0.6460002923833162,1.4,0.5078549638927944,0.3069027742716962,-0.515919325525771,0.0012004448279605,-0.0259098769386408,-0.0401175151331527,1,19.850000381469727,22.329999923706055,2.7525003814697264
TSLA,2021-09-30,2021-10-20,0.0,730.17,649.26,18.58,33.35,1.58,2.02,0.95,23.0,1.49,1.39,1.38,1.19,6.0,0.0,14.0,0.0,13622800000.0,15892200000.0,11708000000.0,22.0,26949.6,28902.88,-1510.4,701.79,98.11,15.1,46.04,220.0,54.84,122.93,301.22,3.13,5.55,865.0,895.0,865.0,2021-10-22,19.700000000000003,20.775,40.475,4.679190751445087,30.0,1.405,31.405,,,0.63925,0.64901,0.64413,0.3856,40.13630788815922,-0.27803999999999995,3505,9641,0.6490202936305015,3.0,3.4682080924855585,1,1.2109826589595283,2021-10-19,450.0,423.6198425292969,0.1221925,0.1420485714285714,0.14658,0.0198560714285714,0.0243874999999999,0,0.15634,0.10268,0.05366,0.0073175,3.014590618613744e-05,0.1499846248462486,0.3048780487804878,0.0869673199746604,0.1480045323004919,-0.0258120323004919,0.5875990324275451,1.28,-0.2059258499379321,0.670238931936903,0.3191830762864984,0.03925101499951,0.0382451761026663,-0.0024411533218772,1,15.699999809265137,19.979999542236328,3.480749809265136
MSFT,2021-09-30,2021-10-26,1.0,299.35,286.22,3.59,8.35,2.07,2.17,2.03,27.0,2.07,2.07,2.07,1.95,2.0,0.0,2.0,0.0,43970800000.0,44767000000.0,43658900000.0,25.0,1096.8,2192.16,-574.93,1364.61,19.09,-3.18,16.3,39.29,290.0,25.52,31.39,0.06,3.83,307.5,322.5,307.5,2021-10-29,4.800000000000001,4.05,8.850000000000001,2.878048780487805,16.05,0.125,16.175,,,0.34658,0.33682,0.3417,0.21975499999999998,35.68773778167984,-0.12682500000000002,1891,2853,0.8266908146677286,4.0,4.878048780487809,0,-2.000000000000004,2021-10-25,454.0,428.2354736328125,0.122195,0.141705,0.1472771428571428,0.01951,0.0250821428571428,0,0.16122,0.09292,0.0683,0.004875,0.1052546396201984,0.1500102501025011,0.3720930232558139,0.0516121891753282,0.1411778831560956,-0.0189828831560956,0.3655826820852838,1.17,-0.7411237780072548,0.3746084141614596,-1.0960166124164743,0.018694502793304,0.0262214701308796,0.0,1,15.239999771118164,19.559999465942383,3.020499771118164
NVDA,2021-10-31,2021-11-17,0.0,222.22,197.98,31.68,47.8,1.1,1.14,1.08,31.0,1.1,1.04,4.16,4.17,0.0,0.0,31.0,0.0,6816700000.0,6937000000.0,6799600000.0,31.0,-47245.76,-40966.26,-3791.2,3033.55,68.31,14.94,69.62,89.09,13.66,156.79,275.42,5.93,20.72,302.5,317.5,302.5,2021-11-19,8.45,9.05,17.5,5.785123966942149,14.55,0.435,14.985000000000001,,,0.79535,0.8051,0.800225,0.619745,22.55365678402949,-0.30730499999999994,3089,9138,0.5134082737014489,3.0,4.958677685950419,1,0.8264462809917301,2021-11-16,469.0,441.1422424316406,0.1295075,0.1389164285714285,0.1542492857142857,0.0094089285714285,0.0247417857142857,0,0.166095,0.10268,0.063415,0.0048799999999999,0.249926782837897,0.2249641246412465,0.4705882352941176,0.0919852598538252,0.0670409100680507,0.0624665899319492,1.3720765389439729,1.2,-0.3217151955208263,0.3962276459272201,-1.031620459082583,0.004065202440844,0.0493973642649441,0.0,1,16.3700008392334,20.899999618530273,3.419250839233399
JPM,2021-12-31,2022-01-14,1.0,157.94,166.61,-0.03,-5.23,3.03,15.48,14.8,27.0,14.99,14.97,14.96,14.77,2.0,0.0,12.0,4.0,33564300000.0,125869000000.0,121203000000.0,23.0,16000.8,12116.16,1264.53,985.74,0.7,-2.44,-6.34,14.89,-6.08,15.31,19.9,7.5,7.27,167.5,152.5,167.5,2022-01-14,2.49,1.6,4.09,2.4417910447761195,,,,,,0.60023,0.55145,0.57584,0.331945,42.35464712420117,-0.3317,4766,3219,0.5474242424242424,1.0,8.955223880597018,0,-6.513432835820899,2022-01-13,465.0,438.211181640625,0.16772,0.1744557142857143,0.17585,0.0067357142857142,0.0081299999999999,0,0.21,0.13195,0.07805,0.0032549999999999,0.437515014654303,0.4404744472104264,0.823943661971831,0.1348272538415272,0.1553966553726903,0.0123233446273097,0.8676329198860097,1.24,0.4410782723991667,0.4704010384357179,-0.5612645565575256,-0.0072872518996576,0.0060472254170673,-0.0275899511042299,1,20.309999465942383,23.40999984741211,3.537999465942381
MSFT,2021-12-31,2022-01-25,0.0,334.69,323.17,-13.8,-10.73,2.31,7.87,7.24,31.0,7.77,7.77,7.79,7.4,0.0,0.0,0.0,0.0,30306100000.0,166851000000.0,164467000000.0,34.0,1925.6,1116.96,-500.27,1183.66,20.09,14.15,19.5,396.0,9.25,22.46,24.31,0.16,1.46,297.5,297.5,297.5,2022-01-28,8.875,9.825,18.7,6.2857142857142865,3.9,4.725,8.625,,,0.75632,0.74657,0.7514449999999999,0.49292,34.40371550812101,-0.3463349999999999,710,3065,0.6812499122252651,4.0,0.0,1,6.2857142857142865,2022-01-24,438.0,414.9200134277344,0.249015,0.24639,0.2365538888888889,-0.0026249999999999,-0.012461111111111,1,0.31731,0.20024,0.1170699999999999,0.0097599999999999,1.0,1.0,1.0,0.1500948868942249,0.1483049073119506,0.1007100926880494,1.0120695910520967,1.44,0.7522549742469915,4.614083280730513,2.7583557141337254,-0.05353772852658,-0.0595482309003944,-0.0792740864472448,1,29.899999618530273,30.81999969482422,4.998499618530275
