ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d
JPM,2021-12-31,2022-01-14,1.0,157.94,166.61,-0.03,-5.23,3.03,15.48,14.8,27.0,14.99,14.97,14.96,14.77,2.0,0.0,12.0,4.0,33564300000.0,125869000000.0,121203000000.0,23.0,16000.8,12116.16,1264.53,985.74,0.7,-2.44,-6.34,14.89,-6.08,15.31,19.9,7.5,7.27,167.5,152.5,167.5,2.49,1.6,4.09,2.4417910447761195,0.60023,0.55145,0.57584,0.331945,42.35464712420117,-0.3317,4766,3219,0.5474242424242424,1.0,8.955223880597018,0,-6.513432835820899,2022-01-13,465.0,438.211181640625,0.16772,0.1744557142857143,0.17585,0.0067357142857142,0.0081299999999999,0,0.21,0.13195,0.07805,0.0032549999999999,0.437515014654303,0.4404744472104264,0.823943661971831,0.1348272538415272,0.1553966553726903,0.0123233446273097,0.8676329198860097,1.24,0.4410782723991667,0.4704010384357179,-0.5612645565575256,-0.0072872518996576,0.0060472254170673,-0.0275899511042299,1,20.309999465942383,23.40999984741211,3.537999465942381
JNJ,2021-12-31,2022-01-25,1.0,168.25,163.74,-0.37,2.38,2.12,9.82,9.69,18.0,9.8,9.8,9.8,9.66,0.0,0.0,0.0,0.0,26400800000.0,95021700000.0,94051000000.0,17.0,7288.8,5826.4,499.73,303.11,10.7,0.11,6.6,18.18,4.84,-9.26,15.61,2.0,1.25,162.5,167.5,162.5,3.85,2.4450000000000003,6.295,3.873846153846154,0.53194,0.39536,0.46365,0.278285,39.97951040655667,-0.224385,27,1234,1.2910337791883926,4.0,3.076923076923066,1,0.796923076923088,2022-01-24,438.0,414.9200134277344,0.249015,0.24639,0.2365538888888889,-0.0026249999999999,-0.012461111111111,1,0.31731,0.20024,0.1170699999999999,0.0097599999999999,1.0,1.0,1.0,0.1500948868942249,0.1483049073119506,0.1007100926880494,1.0120695910520967,1.44,0.7522549742469915,4.614083280730513,2.7583557141337254,-0.05353772852658,-0.0595482309003944,-0.0792740864472448,1,29.899999618530273,30.81999969482422,4.998499618530275
MSFT,2021-12-31,2022-01-25,0.0,334.69,323.17,-13.8,-10.73,2.31,7.87,7.24,31.0,7.77,7.77,7.79,7.4,0.0,0.0,0.0,0.0,30306100000.0,166851000000.0,164467000000.0,34.0,1925.6,1116.96,-500.27,1183.66,20.09,14.15,19.5,396.0,9.25,22.46,24.31,0.16,1.46,297.5,297.5,297.5,8.875,9.825,18.7,6.2857142857142865,0.75632,0.74657,0.7514449999999999,0.49292,34.40371550812101,-0.3463349999999999,710,3065,0.6812499122252651,4.0,0.0,1,6.2857142857142865,2022-01-24,438.0,414.9200134277344,0.249015,0.24639,0.2365538888888889,-0.0026249999999999,-0.012461111111111,1,0.31731,0.20024,0.1170699999999999,0.0097599999999999,1.0,1.0,1.0,0.1500948868942249,0.1483049073119506,0.1007100926880494,1.0120695910520967,1.44,0.7522549742469915,4.614083280730513,2.7583557141337254,-0.05353772852658,-0.0595482309003944,-0.0792740864472448,1,29.899999618530273,30.81999969482422,4.998499618530275
TSLA,2021-12-31,2022-01-26,1.0,1093.94,1077.04,-14.31,-12.96,0.79,7.39,4.53,32.0,6.36,6.07,6.06,5.86,2.0,0.0,22.0,0.0,17313100000.0,55467600000.0,49852000000.0,36.0,24799.2,28009.44,-1030.4,817.0,56.85,15.04,49.09,148.0,29.17,98.49,147.71,3.08,5.35,920.0,830.0,920.0,45.675,46.325,92.0,10.0,1.40021,1.37094,1.385575,1.02461,26.051639211157823,-0.58535,772,15053,0.8126675036190182,3.0,9.782608695652172,1,0.21739130434782794,2022-01-25,432.0,409.8542785644531,0.26853,0.2527719230769231,0.2441399999999999,-0.0157580769230769,-0.02439,1,0.32707,0.20024,0.12683,-0.0048749999999999,1.0,1.0,1.0,0.1388191088854046,0.1477966059135803,0.1207333940864196,0.9392577591840976,1.26,-0.0561453835831661,0.5628767032133226,-0.5362172343127248,-0.0482375382101648,-0.0767745021822117,-0.0905151767992844,0,31.15999984741211,31.760000228881836,4.306999847412111
AAPL,2021-12-31,2022-01-27,0.0,179.29,149.8,-11.19,6.29,1.89,5.91,5.19,41.0,5.58,5.58,5.18,5.19,1.0,1.0,2.0,1.0,97648400000.0,373362000000.0,356159000000.0,38.0,-46105.6,-47386.88,-410.67,1347.03,11.22,52.2,26.5,600.0,61.54,21.01,23.72,3.98,3.38,160.0,170.0,160.0,3.55,4.075,7.625,4.765625,0.78559,0.83437,0.8099799999999999,0.33682500000000004,58.41563989234301,-0.4146249999999999,21591,28308,0.6197707716328146,2.0,6.25,0,-1.484375,2022-01-26,432.0,408.8259887695313,0.26365,0.2520180769230769,0.242515,-0.011631923076923,-0.0211349999999999,1,0.32707,0.21,0.11707,0.004885,0.966652999863332,0.9696837920109338,0.9933333333333332,0.1479446750236608,0.1329761133646907,0.1306738866353092,1.1125657930602797,1.33,0.162416725411199,0.7051581532546987,-0.4027128164412938,-0.0406641128126142,-0.0919414985828118,-0.0927969974639589,0,31.959999084472656,31.950000762939453,5.594999084472658
GOOGL,2021-12-31,2022-02-01,1.0,2897.04,2931.96,-4.98,-6.11,1.36,113.56,98.24,41.0,108.39,108.64,108.69,100.91,1.0,1.0,5.0,0.0,83029200000.0,257361000000.0,250300000000.0,39.0,-358792.08,-273289.04,-29687.47,18754.89,41.03,5.23,26.91,70.73,2.94,56.62,87.56,3.31,8.02,2705.0,2960.0,2705.0,70.85,69.0,139.85,5.170055452865065,0.61974,0.61974,0.61974,0.31731,48.79949656307484,-0.2877949999999999,25,54,0.6416848428505024,4.0,9.42698706099816,0,-4.256931608133095,2022-01-31,448.0,424.4195251464844,0.20512,0.205115,0.2051173611111111,-5.000000000005e-06,-2.6388888888784212e-06,1,0.25877,0.17097,0.0877999999999999,0.00975,0.566694000273336,0.6060756662732186,0.9281045751633988,0.250959956014483,0.1819766350542542,0.0231433649457457,1.379077901619965,1.29,-0.3109094740503389,1.1162994539622402,-0.0993208933853074,0.0228948023988351,-0.0551283959707864,-0.0581942485929675,1,24.829999923706055,26.850000381469727,4.317999923706054
XOM,2021-12-31,2022-02-01,1.0,61.19,63.93,32.1,26.44,1.93,5.44,4.73,25.0,5.17,5.02,5.01,4.76,3.0,1.0,13.0,2.0,97220300000.0,348455000000.0,270907000000.0,18.0,1760.8,1445.76,204.27,99.84,58.27,9.02,-3.72,1153.33,43.64,202.86,1456.64,4.98,12.54,76.0,81.0,76.0,1.46,1.505,2.965,3.901315789473684,0.46365,0.46365,0.46365,0.31731,31.56260109996765,-0.16585,2599,6666,0.6098828353003146,4.0,6.578947368421062,0,-2.677631578947378,2022-01-31,448.0,424.4195251464844,0.20512,0.205115,0.2051173611111111,-5.000000000005e-06,-2.6388888888784212e-06,1,0.25877,0.17097,0.0877999999999999,0.00975,0.566694000273336,0.6060756662732186,0.9281045751633988,0.250959956014483,0.1819766350542542,0.0231433649457457,1.379077901619965,1.29,-0.3109094740503389,1.1162994539622402,-0.0993208933853074,0.0228948023988351,-0.0551283959707864,-0.0581942485929675,1,24.829999923706055,26.850000381469727,4.317999923706054
AMZN,2021-12-31,2022-02-03,1.0,3350.44,3518.99,-17.12,-21.09,0.18,45.8,38.0,47.0,40.96,40.98,40.93,40.88,0.0,0.0,2.0,2.0,138978000000.0,473098000000.0,462421000000.0,48.0,-141479.2,-98186.72,-14963.2,9806.38,15.26,-2.01,32.8,-50.0,-59.21,8.52,-21.67,2.61,-2.06,3010.0,3155.0,3010.0,88.225,86.875,175.1,5.8172757475083055,0.98071,0.99046,0.9855849999999999,0.36121000000000003,63.35070034548009,-0.6194949999999999,214,387,0.5344127718438896,2.0,4.817275747508298,1,1.000000000000007,2022-02-02,455.0,431.43804931640625,0.17585,0.1845642857142857,0.1833029166666666,0.0087142857142857,0.0074529166666666,0,0.22951,0.13195,0.0975599999999999,0.0048799999999999,0.3666803334700014,0.4242405417158478,0.8258064516129032,0.1782175852063831,0.1874977702565632,-0.0116477702565632,0.9505050911406489,1.37,0.044521848795504,0.7113000591170253,-0.3600410578640001,0.0553097434312626,-0.0426198321536195,-0.0426198321536195,1,22.09000015258789,25.13999938964844,4.50500015258789
JPM,2022-03-31,2022-04-13,0.0,130.17,168.23,-2.2,-24.33,2.69,2.95,2.43,20.0,2.73,2.81,2.8,2.94,1.0,0.0,2.0,5.0,30856300000.0,32984000000.0,29361600000.0,16.0,16672.8,14272.64,786.67,729.94,-2.01,309.64,-2.29,8.47,-6.2,51.91,66.3,23.96,19.23,132.0,126.0,132.0,2.355,2.785,5.140000000000001,3.893939393939394,0.65876,0.65876,0.65876,0.24414,62.93946201955188,-0.32681499999999997,1183,1456,0.7198023826647072,2.0,4.545454545454541,0,-0.6515151515151474,2022-04-12,438.0,414.7423400878906,0.21,0.2134821428571428,0.2148749999999999,0.0034821428571428,0.0048749999999999,0,0.24902,0.17097,0.0780499999999999,-5.000000000005e-06,0.4062780269058296,0.525010250102501,0.8374384236453202,0.1328718166718173,0.1882443044642049,0.021755695535795,0.7058477389263228,1.39,-0.3674978612281819,0.5450057175961538,-0.7375402567463502,-0.028246559212042,0.0543204457504615,-0.0503953111865903,0,24.260000228881836,27.170000076293945,3.260000228881836
JNJ,2022-03-31,2022-04-19,1.0,174.84,166.58,4.71,9.91,2.59,2.77,2.16,14.0,2.6,2.61,2.59,2.62,1.0,0.0,2.0,4.0,23638300000.0,24325000000.0,22647000000.0,12.0,7316.0,6462.72,361.07,311.32,-4.65,237.39,3.52,14.52,-18.08,11.79,6.13,4.7,2.71,177.5,185.0,177.5,2.2,1.865,4.065,2.290140845070423,0.28804,0.25877,0.273405,0.170975,37.4645672171321,-0.078045,374,857,0.8327698549299237,4.0,4.225352112676051,0,-1.9352112676056277,2022-04-18,439.0,414.439453125,0.195365,0.20512,0.2053988571428571,0.0097549999999999,0.0100338571428571,0,0.21975,0.16122,0.05853,-0.0048799999999999,0.3125240230621398,0.4500051250512505,0.7669902912621359,0.1781615371279975,0.1635527069788645,0.0318122930211354,1.0893218487115646,1.24,-1.096689562644782,0.8680057139549363,0.2807067553628516,-0.0214494451228949,-0.0039437085823134,-0.0510888089377011,0,22.170000076293945,25.75,2.633500076293945
