symbol,date,status
ACN,2021-06-23,cached
ACN,2021-06-25,cached
CCL,2021-06-25,cached
CCL,2021-06-29,cached
FDS,2021-06-28,cached
FDS,2021-06-30,cached
MU,2021-06-29,cached
MU,2021-07-01,cached
STZ,2021-06-29,cached
STZ,2021-07-01,cached
MKC,2021-06-30,cached
MKC,2021-07-02,cached
FAST,2021-07-12,cached
FAST,2021-07-14,cached
GS,2021-07-12,cached
GS,2021-07-14,cached
JPM,2021-07-12,cached
JPM,2021-07-14,cached
PEP,2021-07-12,cached
PEP,2021-07-14,cached
BAC,2021-07-13,cached
BAC,2021-07-15,cached
BLK,2021-07-13,cached
BLK,2021-07-15,cached
C,2021-07-13,cached
C,2021-07-15,cached
DAL,2021-07-13,cached
DAL,2021-07-15,cached
WFC,2021-07-13,cached
WFC,2021-07-15,cached
BK,2021-07-14,cached
BK,2021-07-16,cached
MS,2021-07-14,cached
MS,2021-07-16,cached
PGR,2021-07-14,cached
PGR,2021-07-16,cached
TFC,2021-07-14,cached
TFC,2021-07-16,cached
UNH,2021-07-14,cached
UNH,2021-07-16,cached
USB,2021-07-14,cached
USB,2021-07-16,cached
SCHW,2021-07-15,cached
SCHW,2021-07-19,cached
STT,2021-07-15,cached
STT,2021-07-19,cached
IBM,2021-07-16,cached
IBM,2021-07-20,cached
JBHT,2021-07-16,cached
JBHT,2021-07-20,cached
PLD,2021-07-16,cached
PLD,2021-07-20,cached
PPG,2021-07-16,cached
PPG,2021-07-20,cached
STLD,2021-07-16,cached
STLD,2021-07-20,cached
TSCO,2021-07-16,cached
TSCO,2021-07-20,cached
CFG,2021-07-19,cached
CFG,2021-07-21,cached
CMG,2021-07-19,cached
CMG,2021-07-21,cached
DOV,2021-07-19,cached
DOV,2021-07-21,cached
HAL,2021-07-19,cached
HAL,2021-07-21,cached
HCA,2021-07-19,cached
HCA,2021-07-21,cached
IBKR,2021-07-19,cached
IBKR,2021-07-21,cached
ISRG,2021-07-19,cached
ISRG,2021-07-21,cached
KEY,2021-07-19,cached
KEY,2021-07-21,cached
NFLX,2021-07-19,cached
NFLX,2021-07-21,cached
OMC,2021-07-19,cached
OMC,2021-07-21,cached
PM,2021-07-19,cached
PM,2021-07-21,cached
SYF,2021-07-19,cached
SYF,2021-07-21,cached
TRV,2021-07-19,cached
TRV,2021-07-21,cached
UAL,2021-07-19,cached
UAL,2021-07-21,cached
BKR,2021-07-20,cached
BKR,2021-07-22,cached
CCI,2021-07-20,cached
CCI,2021-07-22,cached
CSX,2021-07-20,cached
CSX,2021-07-22,cached
EFX,2021-07-20,cached
EFX,2021-07-22,cached
ELV,2021-07-20,cached
ELV,2021-07-22,cached
GL,2021-07-20,cached
GL,2021-07-22,cached
IPG,2021-07-20,cached
IPG,2021-07-22,cached
JNJ,2021-07-20,cached
JNJ,2021-07-22,cached
KMI,2021-07-20,cached
KMI,2021-07-22,cached
KO,2021-07-20,cached
KO,2021-07-22,cached
LVS,2021-07-20,cached
LVS,2021-07-22,cached
MTB,2021-07-20,cached
MTB,2021-07-22,cached
NDAQ,2021-07-20,cached
NDAQ,2021-07-22,cached
NTRS,2021-07-20,cached
NTRS,2021-07-22,cached
NVR,2021-07-20,cached
NVR,2021-07-22,cached
TXN,2021-07-20,cached
TXN,2021-07-22,cached
VZ,2021-07-20,cached
VZ,2021-07-22,cached
ABT,2021-07-21,cached
ABT,2021-07-23,cached
AEP,2021-07-21,cached
AEP,2021-07-23,cached
ALLE,2021-07-21,cached
ALLE,2021-07-23,cached
BIIB,2021-07-21,cached
BIIB,2021-07-23,cached
BX,2021-07-21,cached
BX,2021-07-23,cached
COF,2021-07-21,cached
COF,2021-07-23,cached
DGX,2021-07-21,cached
DGX,2021-07-23,cached
DHI,2021-07-21,cached
DHI,2021-07-23,cached
DHR,2021-07-21,cached
DHR,2021-07-23,cached
DOW,2021-07-21,cached
DOW,2021-07-23,cached
DPZ,2021-07-21,cached
DPZ,2021-07-23,cached
FCX,2021-07-21,cached
FCX,2021-07-23,cached
FE,2021-07-21,cached
FE,2021-07-23,cached
FITB,2021-07-21,cached
FITB,2021-07-23,cached
GPC,2021-07-21,cached
GPC,2021-07-23,cached
INTC,2021-07-21,cached
INTC,2021-07-23,cached
LUV,2021-07-21,cached
LUV,2021-07-23,cached
MMC,2021-07-21,cached
MMC,2021-07-23,cached
NEM,2021-07-21,cached
NEM,2021-07-23,cached
POOL,2021-07-21,cached
POOL,2021-07-23,cached
SNA,2021-07-21,cached
SNA,2021-07-23,cached
T,2021-07-21,cached
T,2021-07-23,cached
UNP,2021-07-21,cached
UNP,2021-07-23,cached
VRSN,2021-07-21,cached
VRSN,2021-07-23,cached
WRB,2021-07-21,cached
WRB,2021-07-23,cached
AXP,2021-07-22,cached
AXP,2021-07-26,cached
HON,2021-07-22,cached
HON,2021-07-26,cached
KMB,2021-07-22,cached
KMB,2021-07-26,cached
NEE,2021-07-22,cached
NEE,2021-07-26,cached
RF,2021-07-22,cached
RF,2021-07-26,cached
ROP,2021-07-22,cached
ROP,2021-07-26,cached
SLB,2021-07-22,cached
SLB,2021-07-26,cached
AMP,2021-07-23,cached
AMP,2021-07-27,cached
ARE,2021-07-23,cached
ARE,2021-07-27,cached
BRO,2021-07-23,cached
BRO,2021-07-27,cached
CDNS,2021-07-23,cached
CDNS,2021-07-27,cached
FFIV,2021-07-23,cached
FFIV,2021-07-27,cached
HAS,2021-07-23,cached
HAS,2021-07-27,cached
LII,2021-07-23,cached
LII,2021-07-27,cached
LMT,2021-07-23,cached
LMT,2021-07-27,cached
OTIS,2021-07-23,cached
OTIS,2021-07-27,cached
PKG,2021-07-23,cached
PKG,2021-07-27,cached
TSLA,2021-07-23,cached
TSLA,2021-07-27,cached
UHS,2021-07-23,cached
UHS,2021-07-27,cached
AAPL,2021-07-26,cached
AAPL,2021-07-28,cached
ADM,2021-07-26,cached
ADM,2021-07-28,cached
AMD,2021-07-26,cached
AMD,2021-07-28,cached
BSX,2021-07-26,cached
BSX,2021-07-28,cached
BXP,2021-07-26,cached
BXP,2021-07-28,cached
CB,2021-07-26,cached
CB,2021-07-28,cached
CHRW,2021-07-26,cached
CHRW,2021-07-28,cached
CNC,2021-07-26,cached
CNC,2021-07-28,cached
CSGP,2021-07-26,cached
CSGP,2021-07-28,cached
DTE,2021-07-26,cached
DTE,2021-07-28,cached
ECL,2021-07-26,cached
ECL,2021-07-28,cached
EQR,2021-07-26,cached
EQR,2021-07-28,cached
EXR,2021-07-26,cached
EXR,2021-07-28,cached
GE,2021-07-26,cached
GE,2021-07-28,cached
GLW,2021-07-26,cached
GLW,2021-07-28,cached
GOOG,2021-07-26,cached
GOOG,2021-07-28,cached
GOOGL,2021-07-26,cached
GOOGL,2021-07-28,cached
HOOD,2021-07-26,cached
