ticker,announcement_date,pre_date,post_date,pre_status,post_status,pre_path,post_path
JPM,2022-01-14,2022-01-13,2022-01-18,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-01-13.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-01-18.json
JNJ,2022-01-25,2022-01-24,2022-01-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-01-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-01-26.json
MSFT,2022-01-25,2022-01-24,2022-01-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2022-01-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2022-01-26.json
TSLA,2022-01-26,2022-01-25,2022-01-27,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-01-25.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-01-27.json
AAPL,2022-01-27,2022-01-26,2022-01-28,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2022-01-26.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2022-01-28.json
GOOGL,2022-02-01,2022-01-31,2022-02-02,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-01-31.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-02-02.json
XOM,2022-02-01,2022-01-31,2022-02-02,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-01-31.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-02-02.json
AMZN,2022-02-03,2022-02-02,2022-02-04,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-02-02.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-02-04.json
JPM,2022-04-13,2022-04-12,2022-04-14,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-04-12.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-04-14.json
JNJ,2022-04-19,2022-04-18,2022-04-20,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-04-18.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-04-20.json
TSLA,2022-04-20,2022-04-19,2022-04-21,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-04-19.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-04-21.json
GOOGL,2022-04-26,2022-04-25,2022-04-27,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-04-25.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-04-27.json
MSFT,2022-04-26,2022-04-25,2022-04-27,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2022-04-25.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2022-04-27.json
AAPL,2022-04-28,2022-04-27,2022-04-29,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2022-04-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2022-04-29.json
AMZN,2022-04-28,2022-04-27,2022-04-29,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-04-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-04-29.json
XOM,2022-04-29,2022-04-28,2022-05-02,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-04-28.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-05-02.json
