ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional
MKC,2024-08-31,2024-10-01,1.0,80.03,69.87,5.07,20.35,0.67,0.7,0.66,12.0,0.67,0.67,0.67,0.67,1.0,0.0,2.0,0.0,1667570000.0,1682480000.0,1646220000.0,11.0,-17687.2,-18043.68,330.67,227.47,-0.96,2.53,2.29,15.0,9.52,5.4,6.27,0.61,0.97,80.0,80.0,80.0,2024-10-18,3.4000000000000004,1.275,4.675000000000001,5.843750000000001,2.325,0.55,2.875,80.18,0.18000000000000682,0.26853,0.31731,0.29291999999999996,0.15634,46.62706541035094,-0.06828999999999996,401.0,410.0,0.48045178105994785,18.0,0.0,1,5.843750000000001,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,4.675000000000001,0.18000000000000682,expiry_intrinsic,0.23375000000000004,1.9500000000000002,424.17499999999944,0.053021874999999934
BK,2024-09-30,2024-10-11,1.0,68.1,64.69,8.88,14.62,1.42,1.47,1.38,14.0,1.4,1.38,1.38,1.38,6.0,0.0,12.0,0.0,4542070000.0,4606710000.0,4401000000.0,12.0,7098.4,6507.36,269.87,110.93,123.73,4.05,75.8,9.42,17.05,10.97,13.36,-54.32,-15.06,75.0,75.0,75.0,2024-10-18,1.5,1.9,3.4,4.533333333333333,1.5,0.525,2.025,76.67,1.6700000000000017,0.39536,0.37584,0.3856,0.317305,17.711358921161825,-0.14634,1199.0,1071.0,1.704489544895449,8.0,0.0,1,4.533333333333333,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,3.4,1.6700000000000017,expiry_intrinsic,0.17,1.9500000000000002,154.04999999999984,0.02053999999999998
PLD,2024-09-30,2024-10-16,1.0,129.28,122.62,-1.79,3.55,0.63,0.67,0.62,5.0,0.64,0.64,0.64,0.62,2.0,0.0,2.0,0.0,1946480000.0,2086500000.0,1892580000.0,8.0,33256.8,31788.96,1110.4,629.78,-18.08,2.62,16.4,-29.77,46.03,-14.71,-27.51,-3.71,-6.64,120.0,120.0,120.0,2024-10-18,2.025,1.25,3.275,2.7291666666666665,2.7,0.07,2.77,122.5,2.5,0.26853,0.43438,0.35145499999999996,0.11244,68.00728400506466,-0.09267999999999998,434.0,307.0,1.137533512064343,3.0,0.0,1,2.7291666666666665,2024-10-15,580.0,569.5728759765625,0.1612199999999999,0.1577342857142857,0.1551917647058823,-0.0034857142857142,-0.0060282352941176,1,0.1918742857142857,0.1333428571428571,0.0585314285714285,0.0013885714285714,0.7368917898370907,0.4155710427656058,0.8884462151394422,0.1086117693490364,0.1035686350931574,0.0576513649068425,1.0486936440877372,1.34,0.3372698910583105,0.8225345636973922,-0.4910684575017071,0.0115323955692325,0.0332570818644037,-0.0077696278185275,1,20.63999938964844,20.799999237060547,4.517999389648441,3.275,2.5,expiry_intrinsic,0.16375,1.9500000000000002,59.17499999999998,0.004931249999999999
ARE,2024-09-30,2024-10-21,0.0,121.25,121.41,-1.43,-1.56,0.88,0.91,0.87,4.0,0.88,0.88,0.88,0.84,0.0,0.0,0.0,0.0,765520000.0,774290000.0,746860000.0,6.0,242.4,-444.0,256.0,199.36,7.22,-0.05,9.04,72.55,-1.12,1.47,17.04,1.31,2.25,120.0,120.0,120.0,2024-11-15,5.0,2.85,7.85,6.541666666666666,2.425,4.05,6.475,105.58,14.420000000000002,0.28804,0.28804,0.28804,0.25877,10.161783085682549,-0.02926500000000004,339.0,28.0,0.10673234811165845,28.0,0.0,1,6.541666666666666,2024-10-18,600.0,574.2981567382812,0.12707,0.1312485714285714,0.1319449999999999,0.0041785714285713,0.0048749999999999,0,0.17097,0.12219,0.04878,0.0195099999999999,0.0921350739022552,0.1917969792139592,0.6693227091633466,0.0958807900229148,0.087439418122468,0.0396305818775319,1.0965396623365415,1.26,-0.2144723743509695,0.507356934510485,-1.0146373374692372,0.0086442192888969,0.0269764516779325,0.0,1,18.030000686645508,19.190000534057617,5.323000686645507,7.85,14.420000000000002,expiry_intrinsic,0.3925,1.9500000000000002,-698.2000000000003,-0.05818333333333336
WRB,2024-09-30,2024-10-21,0.0,57.45,52.21,6.23,16.89,0.92,0.98,0.85,14.0,0.93,0.95,0.95,0.94,1.0,0.0,4.0,1.0,3443780000.0,3470890000.0,3402900000.0,6.0,-5085.6,-5789.6,245.33,170.08,10.62,1.76,9.92,-8.77,-33.33,-6.4,6.67,-1.76,-0.54,59.75,57.5,59.75,2024-11-15,2.575,1.725,4.300000000000001,7.196652719665273,0.7749999999999999,2.6,3.375,60.74,0.990000000000002,0.23926,0.37584,0.30755,0.21975,28.548203544139163,-0.20487,292.0,34.0,0.3187855787476281,28.0,3.765690376569042,1,3.4309623430962315,2024-10-18,600.0,574.2981567382812,0.12707,0.1312485714285714,0.1319449999999999,0.0041785714285713,0.0048749999999999,0,0.17097,0.12219,0.04878,0.0195099999999999,0.0921350739022552,0.1917969792139592,0.6693227091633466,0.0958807900229148,0.087439418122468,0.0396305818775319,1.0965396623365415,1.26,-0.2144723743509695,0.507356934510485,-1.0146373374692372,0.0086442192888969,0.0269764516779325,0.0,1,18.030000686645508,19.190000534057617,5.323000686645507,4.300000000000001,0.990000000000002,expiry_intrinsic,0.21500000000000005,1.9500000000000002,307.5499999999999,0.05147280334728032
PKG,2024-09-30,2024-10-22,1.0,212.9,193.28,1.77,12.1,2.5,2.58,2.45,6.0,2.49,2.48,2.48,2.43,1.0,0.0,3.0,0.0,2094470000.0,2124400000.0,2045000000.0,6.0,15354.4,14578.72,320.0,393.83,6.31,4.84,-5.09,-4.76,27.91,-1.15,-2.95,-1.69,-1.27,220.0,230.0,220.0,2024-11-15,6.5,6.6,13.1,5.954545454545455,10.899999999999999,2.1,12.999999999999998,235.81,15.810000000000002,0.28804,0.28804,0.28804,0.22463,22.014303568948762,-0.04390000000000002,9.0,1.0,2.0,25.0,4.545454545454541,1,1.4090909090909136,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,13.1,15.810000000000002,expiry_intrinsic,0.655,1.9500000000000002,-338.4500000000003,-0.015384090909090922
PCAR,2024-09-30,2024-10-22,1.0,98.91,98.9,5.94,5.96,1.82,1.89,1.77,14.0,1.82,1.82,1.82,1.84,1.0,0.0,4.0,0.0,7649970000.0,8047000000.0,7302530000.0,11.0,-11487.2,-12141.76,97.6,530.57,-1.35,0.42,15.17,-8.58,-6.17,-5.3,-16.3,-2.3,-2.62,110.0,105.0,110.0,2024-11-15,4.75,5.3,10.05,9.136363636363637,0.7,6.35,7.05,112.26,2.260000000000005,0.41487,0.46365,0.43926,0.263655,39.97746209534217,-0.11707499999999998,657.0,453.0,3.487958115183246,25.0,4.545454545454541,1,4.590909090909095,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,10.05,2.260000000000005,expiry_intrinsic,0.5025000000000001,1.9500000000000002,726.7999999999995,0.06607272727272723
BKR,2024-09-30,2024-10-22,1.0,36.04,34.9,-0.17,3.09,0.61,0.63,0.56,19.0,0.61,0.61,0.61,0.55,1.0,0.0,3.0,3.0,7216390000.0,7378000000.0,7113830000.0,19.0,741.6,506.4,136.53,52.31,13.05,11.23,18.54,46.15,32.56,21.73,64.79,0.11,3.72,36.0,37.0,36.0,2024-11-15,1.45,1.0750000000000002,2.5250000000000004,7.01388888888889,1.65,0.7,2.3499999999999996,42.94,6.939999999999998,0.30755,0.35633,0.33194,0.30268,8.81484605651624,-0.039020000000000055,749.0,14.0,1.1869918699186992,25.0,2.777777777777768,1,4.236111111111122,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,2.5250000000000004,6.939999999999998,expiry_intrinsic,0.12625000000000003,1.9500000000000002,-456.0749999999997,-0.12668749999999993
IPG,2024-09-30,2024-10-22,0.0,31.11,29.57,-4.28,0.71,0.7,0.72,0.65,9.0,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,2301940000.0,2324120000.0,2285100000.0,6.0,6428.0,6255.2,38.4,71.84,1.63,8.58,0.11,7.02,69.44,4.42,2.41,0.57,0.09,32.0,30.0,32.0,2024-11-15,0.8,1.1,1.9000000000000001,5.9375,0.125,2.0,2.125,27.09,4.91,0.27829,0.28804,0.283165,0.22463,20.671693182420146,-0.029270000000000018,91.0,112.0,0.8718801996672213,25.0,6.25,0,-0.3125,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,1.9000000000000001,4.91,expiry_intrinsic,0.09500000000000001,1.9500000000000002,-312.45,-0.097640625
IVZ,2024-09-30,2024-10-22,1.0,17.17,16.58,5.07,8.81,0.43,0.47,0.37,15.0,0.43,0.42,0.42,0.43,1.0,0.0,6.0,0.0,1106660000.0,1128580000.0,1083100000.0,9.0,4511.2,4505.44,-33.6,153.6,2.81,0.54,-2.3,38.71,30.3,9.1,1.47,1.14,-0.19,18.0,17.0,18.0,2024-11-15,0.7749999999999999,0.8500000000000001,1.625,9.027777777777777,0.375,1.0,1.375,17.67,0.3299999999999983,0.3856,0.4734,0.4295,0.375845,12.492433061699652,-0.07804500000000003,1082.0,2767.0,1.1447839831401476,25.0,5.555555555555558,1,3.4722222222222188,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,1.625,0.3299999999999983,expiry_intrinsic,0.08125,1.9500000000000002,119.42500000000017,0.06634722222222232
