ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional
STZ,2024-08-31,2024-10-03,1.0,246.78,259.14,-1.27,-5.98,4.08,4.23,3.91,18.0,4.09,4.1,4.12,4.12,1.0,0.0,3.0,0.0,2897970000.0,3036400000.0,2393000000.0,13.0,7927.2,8317.6,-100.27,792.16,5.84,,4.76,22.68,325.0,150.01,11.57,0.03,1.7,255.0,247.5,255.0,2024-10-04,4.6,3.9,8.5,3.3333333333333335,0.01,7.85,7.859999999999999,246.67,8.330000000000013,0.56121,0.56121,0.56121,0.17097,69.53546800662853,-0.29268,372.0,491.0,1.1937876680574873,2.0,2.941176470588236,1,0.39215686274509753,2024-10-02,571.0,558.8450927734375,0.14658,0.16122,0.15634,0.01464,0.00976,0,0.18073,0.12219,0.05854,0.0048799999999999,0.6470801049172415,0.3196397897525427,0.852589641434263,0.0847676690755778,0.1136735175242818,0.0329064824757181,0.7457116742909853,1.5,2.1038656990626,0.8102053152712881,-0.7209114306399477,-0.002069947935229,0.0335547651103229,-0.0085401320586734,1,18.899999618530273,20.59000015258789,4.241999618530274,8.5,8.330000000000013,expiry_intrinsic,0.42500000000000004,1.9500000000000002,-27.450000000001253,-0.0010764705882353432
PEP,2024-09-30,2024-10-08,1.0,177.34,163.59,-3.9,4.18,2.29,2.32,2.26,14.0,2.29,2.3,2.11,2.4,0.0,0.0,2.0,1.0,23755500000.0,24058000000.0,23334300000.0,10.0,7252.0,6733.12,211.73,100.69,0.8,23.29,4.81,9.09,41.61,10.25,10.63,1.26,1.6,167.5,172.5,167.5,2024-10-11,2.615,2.85,5.465,3.2626865671641787,5.15,0.08,5.23,174.81,7.310000000000002,0.3856,0.39536,0.39048,0.19048,51.219012497439046,-0.17073,653.0,1791.0,0.8983698742654956,4.0,2.9850746268656803,1,0.27761194029849845,2024-10-07,569.0,557.8037719726562,0.1751557142857143,0.17097,0.166095,-0.0041857142857142,-0.0090607142857143,1,0.2211471428571428,0.1458857142857143,0.0752614285714285,0.0083607142857142,1.0,0.5068873360074516,0.9482071713147412,0.1195886254972967,0.1013420880390455,0.0738136262466687,1.1800489590388263,1.21,-0.2565115309351457,0.6247628119471738,-0.7641146201391106,-0.0103875631213734,0.054004141256664,-0.0103875631213734,1,22.63999938964844,22.59000015258789,5.124427961077007,5.465,7.310000000000002,expiry_intrinsic,0.27325,1.9500000000000002,-213.77500000000023,-0.012762686567164193
DAL,2024-09-30,2024-10-10,0.0,43.4,43.62,15.88,15.29,1.52,1.85,1.24,15.0,1.54,1.56,1.65,2.0,2.0,0.0,6.0,2.0,14673600000.0,15035000000.0,14565000000.0,11.0,3596.0,3294.08,63.47,160.2,6.93,21.17,11.89,-11.94,424.44,-16.55,-8.99,0.78,-2.38,51.0,51.0,51.0,2024-10-11,1.47,1.49,2.96,5.803921568627451,0.31,0.01,0.32,51.33,0.3299999999999983,0.98071,0.99046,0.9855849999999999,0.30755,68.7951825565527,-0.546325,1872.0,3052.0,1.6570683472780614,2.0,0.0,1,5.803921568627451,2024-10-09,577.0,566.9794311523438,0.166095,0.1591285714285714,0.1554767647058823,-0.0069664285714285,-0.0106182352941176,1,0.20024,0.13195,0.0682899999999999,0.0,0.8591906282491977,0.44751536369721,0.9362549800796812,0.1285114874036554,0.1006671221931506,0.0654278778068493,1.2765984027742412,1.43,1.3725432762366927,1.219548206603628,-0.3674429779992338,0.0145556228087055,0.0548849827448567,0.0,1,20.86000061035156,20.90999984741211,4.250500610351562,2.96,0.3299999999999983,expiry_intrinsic,0.148,1.9500000000000002,246.25000000000017,0.04828431372549023
DPZ,2024-09-30,2024-10-10,1.0,416.77,491.48,-1.92,-16.83,3.65,4.2,3.35,30.0,3.62,3.59,3.58,3.67,2.0,0.0,7.0,5.0,1098530000.0,1122700000.0,1078800000.0,27.0,10258.4,9104.8,828.8,381.58,7.14,1.21,0.45,30.84,12.57,7.41,0.54,0.32,-1.17,412.5,430.0,412.5,2024-10-11,15.0,14.350000000000001,29.35,7.115151515151516,17.7,0.05,17.75,429.67,17.170000000000016,1.19534,1.21485,1.205095,0.22950500000000001,80.95544334679008,-0.8097350000000001,113.0,121.0,0.8496192893401016,2.0,4.2424242424242475,1,2.8727272727272686,2024-10-09,577.0,566.9794311523438,0.166095,0.1591285714285714,0.1554767647058823,-0.0069664285714285,-0.0106182352941176,1,0.20024,0.13195,0.0682899999999999,0.0,0.8591906282491977,0.44751536369721,0.9362549800796812,0.1285114874036554,0.1006671221931506,0.0654278778068493,1.2765984027742412,1.43,1.3725432762366927,1.219548206603628,-0.3674429779992338,0.0145556228087055,0.0548849827448567,0.0,1,20.86000061035156,20.90999984741211,4.250500610351562,29.35,17.170000000000016,expiry_intrinsic,1.4675000000000002,1.9500000000000002,1069.2999999999984,0.0259224242424242
WFC,2024-09-30,2024-10-11,1.0,53.73,56.54,13.51,7.87,1.28,1.39,1.16,18.0,1.28,1.27,1.26,1.3,3.0,0.0,8.0,1.0,20414900000.0,20703700000.0,19896000000.0,16.0,2711.2,2357.76,292.8,188.03,12.23,0.55,6.12,6.4,5.56,8.99,5.61,-5.28,-1.22,58.0,63.0,58.0,2024-10-11,0.9450000000000001,1.16,2.105,3.6293103448275863,,,,60.99,2.990000000000002,0.88315,0.85388,0.8685149999999999,0.258775,70.20488995584418,-0.5316949999999999,3682.0,8649.0,1.5610473275504886,1.0,8.62068965517242,0,-4.991379310344834,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,2.105,2.990000000000002,expiry_intrinsic,0.10525000000000001,1.9500000000000002,-100.97500000000021,-0.017409482758620726
JPM,2024-09-30,2024-10-11,1.0,207.23,204.94,7.27,8.47,4.01,4.21,3.83,15.0,4.01,4.02,3.67,4.0,2.0,0.0,7.0,1.0,41625400000.0,42154700000.0,40427000000.0,13.0,29725.6,22508.8,3304.0,3165.0,16.06,2.37,40.38,28.84,37.84,40.59,33.26,-3.52,4.46,212.5,222.5,212.5,2024-10-11,3.375,2.955,6.33,2.978823529411765,,,,222.29,9.789999999999992,0.7173,0.70754,0.71242,0.22463,68.46944218298195,-0.43413000000000007,3142.0,2850.0,0.984483333951281,1.0,4.705882352941182,0,-1.727058823529417,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,6.33,9.789999999999992,expiry_intrinsic,0.3165,1.9500000000000002,-379.59999999999917,-0.017863529411764667
BLK,2024-09-30,2024-10-11,1.0,877.12,827.97,12.9,19.6,10.33,10.73,9.89,12.0,10.2,10.24,10.18,10.36,7.0,0.0,8.0,2.0,5006700000.0,5094410000.0,4892000000.0,7.0,56520.8,53336.16,2186.67,878.36,7.66,1.63,3.31,11.64,5.61,11.68,11.46,1.33,1.27,957.5,1010.0,955.0,2024-10-11,10.05,8.55,18.6,1.9425587467362928,,,,990.26,35.25999999999999,0.48316,0.44414,0.46365,0.21,54.70721449369137,-0.229265,75.0,104.0,0.9069115815691158,1.0,5.483028720626626,0,-3.540469973890333,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,18.6,35.25999999999999,expiry_intrinsic,0.9300000000000002,1.9500000000000002,-1760.949999999999,-0.01839112271540469
BK,2024-09-30,2024-10-11,1.0,68.1,64.69,8.88,14.62,1.42,1.47,1.38,14.0,1.4,1.38,1.38,1.38,6.0,0.0,12.0,0.0,4542070000.0,4606710000.0,4401000000.0,12.0,7098.4,6507.36,269.87,110.93,123.73,4.05,75.8,9.42,17.05,10.97,13.36,-54.32,-15.06,75.0,75.0,75.0,2024-10-18,1.5,1.9,3.4,4.533333333333333,1.5,0.525,2.025,76.67,1.6700000000000017,0.39536,0.37584,0.3856,0.317305,17.711358921161825,-0.14634,1199.0,1071.0,1.704489544895449,8.0,0.0,1,4.533333333333333,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,3.4,1.6700000000000017,expiry_intrinsic,0.17,1.9500000000000002,154.04999999999984,0.02053999999999998
FAST,2024-09-30,2024-10-11,0.0,69.21,65.44,11.0,17.39,0.51,0.52,0.5,12.0,0.51,0.51,0.52,0.52,1.0,0.0,1.0,2.0,1904180000.0,1922080000.0,1884660000.0,11.0,-3181.6,-3170.08,-277.33,346.35,1.76,1.11,3.82,-1.92,-1.92,-1.93,-2.03,-0.48,-0.78,70.0,77.5,70.0,2024-10-18,1.825,1.75,3.575,5.107142857142858,6.8500000000000005,0.03,6.880000000000001,77.9,7.900000000000006,0.43438,0.43438,0.43438,0.20024,53.90211335696855,-0.16585,2317.0,947.0,1.3423216047352844,8.0,10.71428571428572,0,-5.607142857142863,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,3.575,7.900000000000006,expiry_intrinsic,0.17875000000000002,1.9500000000000002,-452.32500000000056,-0.06461785714285723
UNH,2024-09-30,2024-10-15,1.0,594.32,573.28,-6.4,-2.96,7.0,7.11,6.85,23.0,7.01,7.03,7.04,7.08,0.0,0.0,1.0,0.0,99279000000.0,100865000000.0,98347000000.0,17.0,45415.2,44510.24,440.53,144.3,6.41,-0.94,12.33,10.75,-1.59,-15.51,-2.26,-2.33,-0.7,597.5,572.5,597.5,2024-10-18,15.525,13.850000000000001,29.375,4.916317991631799,0.16,26.15,26.31,569.61,27.889999999999986,0.45389,0.43438,0.444135,0.26365,40.63741880284148,-0.12682500000000002,100.0,101.0,1.3298397040690506,7.0,4.184100418410042,1,0.7322175732217575,2024-10-14,585.0,574.0328979492188,0.1542485714285714,0.15146,0.14658,-0.0027885714285714,-0.0076685714285714,1,0.1835157142857142,0.1347357142857143,0.0487799999999999,0.0048771428571428,0.6052702556910134,0.3698894937117666,0.8645418326693227,0.0695615376827129,0.0978342718836001,0.0564142995449713,0.7110140070902236,1.38,0.7213427338227262,1.9613215598755025,0.1752687080562542,0.0290946866837573,0.0428858213643916,0.0,1,19.700000762939453,20.1200008392334,4.275143620082307,29.375,27.889999999999986,expiry_intrinsic,1.46875,1.9500000000000002,-0.32499999999863594,-5.439330543910225e-06
