ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional
MKC,2024-08-31,2024-10-01,1.0,80.03,69.87,5.07,20.35,0.67,0.7,0.66,12.0,0.67,0.67,0.67,0.67,1.0,0.0,2.0,0.0,1667570000.0,1682480000.0,1646220000.0,11.0,-17687.2,-18043.68,330.67,227.47,-0.96,2.53,2.29,15.0,9.52,5.4,6.27,0.61,0.97,80.0,80.0,80.0,2024-10-18,3.4000000000000004,1.275,4.675000000000001,5.843750000000001,2.325,0.55,2.875,80.18,0.18000000000000682,0.26853,0.31731,0.29291999999999996,0.15634,46.62706541035094,-0.06828999999999996,401.0,410.0,0.48045178105994785,18.0,0.0,1,5.843750000000001,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,4.675000000000001,2.875,real_post_mid,0.4675000000000001,2.6,130.65000000000006,0.01633125000000001
LW,2024-08-31,2024-10-01,1.0,61.92,82.68,4.83,-21.49,0.72,0.74,0.66,9.0,0.71,0.72,0.72,1.45,1.0,0.0,1.0,0.0,1555340000.0,1570000000.0,1542670000.0,9.0,1384.8,4445.28,-1382.4,1356.83,16.33,,32.83,-16.08,605.88,-4.53,-8.66,-4.05,-4.49,65.0,67.5,65.0,2024-10-18,3.8,3.9,7.699999999999999,11.846153846153845,2.825,1.05,3.875,78.22,13.219999999999999,0.66852,0.66852,0.66852,0.32219,51.80548076347754,-0.25365000000000004,6614.0,468.0,0.7655304707097536,18.0,3.8461538461538547,1,7.99999999999999,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,7.699999999999999,3.875,real_post_mid,0.77,2.6,302.8999999999999,0.04659999999999999
NKE,2024-08-31,2024-10-01,1.0,83.32,75.24,6.97,18.46,0.52,0.6,0.45,26.0,0.52,0.52,0.52,0.49,1.0,0.0,6.0,0.0,11645700000.0,11770000000.0,11532700000.0,26.0,-516.0,129.12,-268.8,761.02,0.31,,0.95,-2.53,63.83,3.21,-5.38,1.4,-0.65,88.0,83.0,88.0,2024-10-04,3.3499999999999996,2.94,6.289999999999999,7.1477272727272725,0.035,4.949999999999999,4.984999999999999,82.25,5.75,0.84413,0.85388,0.849005,0.322185,62.05146023875008,-0.49267,2210.0,4378.0,0.7658795180722892,4.0,5.681818181818176,1,1.4659090909090962,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,6.289999999999999,4.984999999999999,real_post_mid,0.629,2.6,64.99999999999997,0.007386363636363633
PAYX,2024-08-31,2024-10-01,1.0,131.2,117.43,7.31,19.89,1.14,1.18,1.13,15.0,1.14,1.14,1.14,1.14,0.0,0.0,1.0,0.0,1318500000.0,1332400000.0,1311640000.0,12.0,1445.6,1535.68,-14.4,106.5,4.22,,5.45,6.98,79.22,5.87,6.19,0.61,0.84,135.0,140.0,135.0,2024-10-18,3.45,3.9499999999999997,7.4,5.481481481481482,6.449999999999999,0.47500000000000003,6.924999999999999,141.53,6.530000000000001,0.30755,0.30755,0.30755,0.17097,44.40903918062103,-0.04877500000000001,1439.0,1118.0,2.9510252249594338,18.0,3.703703703703698,1,1.777777777777784,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,7.4,6.924999999999999,real_post_mid,0.7400000000000001,2.6,-29.09999999999987,-0.002155555555555546
STZ,2024-08-31,2024-10-03,1.0,246.78,259.14,-1.27,-5.98,4.08,4.23,3.91,18.0,4.09,4.1,4.12,4.12,1.0,0.0,3.0,0.0,2897970000.0,3036400000.0,2393000000.0,13.0,7927.2,8317.6,-100.27,792.16,5.84,,4.76,22.68,325.0,150.01,11.57,0.03,1.7,255.0,247.5,255.0,2024-10-04,4.6,3.9,8.5,3.3333333333333335,0.01,7.85,7.859999999999999,246.67,8.330000000000013,0.56121,0.56121,0.56121,0.17097,69.53546800662853,-0.29268,372.0,491.0,1.1937876680574873,2.0,2.941176470588236,1,0.39215686274509753,2024-10-02,571.0,558.8450927734375,0.14658,0.16122,0.15634,0.01464,0.00976,0,0.18073,0.12219,0.05854,0.0048799999999999,0.6470801049172415,0.3196397897525427,0.852589641434263,0.0847676690755778,0.1136735175242818,0.0329064824757181,0.7457116742909853,1.5,2.1038656990626,0.8102053152712881,-0.7209114306399477,-0.002069947935229,0.0335547651103229,-0.0085401320586734,1,18.899999618530273,20.59000015258789,4.241999618530274,8.5,7.859999999999999,real_post_mid,0.8500000000000001,2.6,-23.59999999999995,-0.0009254901960784295
PEP,2024-09-30,2024-10-08,1.0,177.34,163.59,-3.9,4.18,2.29,2.32,2.26,14.0,2.29,2.3,2.11,2.4,0.0,0.0,2.0,1.0,23755500000.0,24058000000.0,23334300000.0,10.0,7252.0,6733.12,211.73,100.69,0.8,23.29,4.81,9.09,41.61,10.25,10.63,1.26,1.6,167.5,172.5,167.5,2024-10-11,2.615,2.85,5.465,3.2626865671641787,5.15,0.08,5.23,174.81,7.310000000000002,0.3856,0.39536,0.39048,0.19048,51.219012497439046,-0.17073,653.0,1791.0,0.8983698742654956,4.0,2.9850746268656803,1,0.27761194029849845,2024-10-07,569.0,557.8037719726562,0.1751557142857143,0.17097,0.166095,-0.0041857142857142,-0.0090607142857143,1,0.2211471428571428,0.1458857142857143,0.0752614285714285,0.0083607142857142,1.0,0.5068873360074516,0.9482071713147412,0.1195886254972967,0.1013420880390455,0.0738136262466687,1.1800489590388263,1.21,-0.2565115309351457,0.6247628119471738,-0.7641146201391106,-0.0103875631213734,0.054004141256664,-0.0103875631213734,1,22.63999938964844,22.59000015258789,5.124427961077007,5.465,5.23,real_post_mid,0.5465,2.6,-33.75000000000006,-0.002014925373134332
DAL,2024-09-30,2024-10-10,0.0,43.4,43.62,15.88,15.29,1.52,1.85,1.24,15.0,1.54,1.56,1.65,2.0,2.0,0.0,6.0,2.0,14673600000.0,15035000000.0,14565000000.0,11.0,3596.0,3294.08,63.47,160.2,6.93,21.17,11.89,-11.94,424.44,-16.55,-8.99,0.78,-2.38,51.0,51.0,51.0,2024-10-11,1.47,1.49,2.96,5.803921568627451,0.31,0.01,0.32,51.33,0.3299999999999983,0.98071,0.99046,0.9855849999999999,0.30755,68.7951825565527,-0.546325,1872.0,3052.0,1.6570683472780614,2.0,0.0,1,5.803921568627451,2024-10-09,577.0,566.9794311523438,0.166095,0.1591285714285714,0.1554767647058823,-0.0069664285714285,-0.0106182352941176,1,0.20024,0.13195,0.0682899999999999,0.0,0.8591906282491977,0.44751536369721,0.9362549800796812,0.1285114874036554,0.1006671221931506,0.0654278778068493,1.2765984027742412,1.43,1.3725432762366927,1.219548206603628,-0.3674429779992338,0.0145556228087055,0.0548849827448567,0.0,1,20.86000061035156,20.90999984741211,4.250500610351562,2.96,0.32,real_post_mid,0.296,2.6,231.80000000000004,0.04545098039215687
DPZ,2024-09-30,2024-10-10,1.0,416.77,491.48,-1.92,-16.83,3.65,4.2,3.35,30.0,3.62,3.59,3.58,3.67,2.0,0.0,7.0,5.0,1098530000.0,1122700000.0,1078800000.0,27.0,10258.4,9104.8,828.8,381.58,7.14,1.21,0.45,30.84,12.57,7.41,0.54,0.32,-1.17,412.5,430.0,412.5,2024-10-11,15.0,14.350000000000001,29.35,7.115151515151516,17.7,0.05,17.75,429.67,17.170000000000016,1.19534,1.21485,1.205095,0.22950500000000001,80.95544334679008,-0.8097350000000001,113.0,121.0,0.8496192893401016,2.0,4.2424242424242475,1,2.8727272727272686,2024-10-09,577.0,566.9794311523438,0.166095,0.1591285714285714,0.1554767647058823,-0.0069664285714285,-0.0106182352941176,1,0.20024,0.13195,0.0682899999999999,0.0,0.8591906282491977,0.44751536369721,0.9362549800796812,0.1285114874036554,0.1006671221931506,0.0654278778068493,1.2765984027742412,1.43,1.3725432762366927,1.219548206603628,-0.3674429779992338,0.0145556228087055,0.0548849827448567,0.0,1,20.86000061035156,20.90999984741211,4.250500610351562,29.35,17.75,real_post_mid,2.9350000000000005,2.6,863.9000000000001,0.020943030303030304
WFC,2024-09-30,2024-10-11,1.0,53.73,56.54,13.51,7.87,1.28,1.39,1.16,18.0,1.28,1.27,1.26,1.3,3.0,0.0,8.0,1.0,20414900000.0,20703700000.0,19896000000.0,16.0,2711.2,2357.76,292.8,188.03,12.23,0.55,6.12,6.4,5.56,8.99,5.61,-5.28,-1.22,58.0,63.0,58.0,2024-10-11,0.9450000000000001,1.16,2.105,3.6293103448275863,,,,60.99,2.990000000000002,0.88315,0.85388,0.8685149999999999,0.258775,70.20488995584418,-0.5316949999999999,3682.0,8649.0,1.5610473275504886,1.0,8.62068965517242,0,-4.991379310344834,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,2.105,5.0,intrinsic_fallback,0.21050000000000002,2.6,-313.15000000000003,-0.05399137931034483
JPM,2024-09-30,2024-10-11,1.0,207.23,204.94,7.27,8.47,4.01,4.21,3.83,15.0,4.01,4.02,3.67,4.0,2.0,0.0,7.0,1.0,41625400000.0,42154700000.0,40427000000.0,13.0,29725.6,22508.8,3304.0,3165.0,16.06,2.37,40.38,28.84,37.84,40.59,33.26,-3.52,4.46,212.5,222.5,212.5,2024-10-11,3.375,2.955,6.33,2.978823529411765,,,,222.29,9.789999999999992,0.7173,0.70754,0.71242,0.22463,68.46944218298195,-0.43413000000000007,3142.0,2850.0,0.984483333951281,1.0,4.705882352941182,0,-1.727058823529417,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,6.33,10.0,intrinsic_fallback,0.633,2.6,-432.90000000000003,-0.020371764705882353
