ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional
HLT,2024-09-30,2024-10-23,1.0,224.66,213.18,3.93,9.53,1.85,1.91,1.8,19.0,1.85,1.85,1.84,1.9,1.0,0.0,2.0,2.0,2905150000.0,2963000000.0,2825530000.0,11.0,5340.0,4909.6,208.53,61.0,10.94,14.69,14.53,17.18,24.84,6.98,7.57,-1.34,-0.77,240.0,240.0,240.0,2024-11-15,6.15,7.35,13.5,5.625,3.35,7.449999999999999,10.799999999999999,248.41,8.409999999999997,0.27829,0.27829,0.27829,0.21975,21.035610334543097,-0.03902999999999998,760.0,113.0,8.02359108781127,24.0,0.0,1,5.625,2024-10-22,600.0,573.050537109375,0.136825,0.1319449999999999,0.1319449999999999,-0.00488,-0.00488,1,0.18073,0.13195,0.0487799999999999,0.019515,0.2763108210162909,0.2557183844832509,0.7888446215139442,0.0428390099858035,0.08749731154241,0.0493276884575899,0.4896037287390187,1.06,-1.5921159639028604,0.4920121044505344,-1.174754773892288,0.0061057351561024,0.0239614254488473,-0.0021724249229565,1,18.200000762939453,19.170000076293945,4.517500762939452,13.5,10.799999999999999,real_post_mid,1.35,2.6,132.4000000000001,0.005516666666666671
NDAQ,2024-09-30,2024-10-24,1.0,73.67,66.96,2.13,12.37,0.69,0.73,0.67,15.0,0.69,0.68,0.68,0.69,2.0,0.0,10.0,1.0,1169360000.0,1189000000.0,1155000000.0,13.0,-40176.8,-40286.88,77.33,89.63,25.05,7.05,2.16,-2.82,9.52,36.01,10.73,-0.28,-3.06,75.0,75.0,75.0,2024-11-15,1.7000000000000002,2.575,4.275,5.7,1.25,1.65,2.9,78.76,3.760000000000005,0.27829,0.28804,0.283165,0.20024,29.285045821340915,-0.068295,472.0,168.0,0.6839622641509434,23.0,0.0,1,5.7,2024-10-23,595.0,567.8143920898438,0.1417,0.136825,0.1382192857142857,-0.0048749999999999,-0.0034807142857142,1,0.19048,0.1417,0.04878,0.02439,0.3683514942280719,0.287662705414855,0.8087649402390438,0.0756964190949694,0.0941789284329969,0.047521071567003,0.8037511187953609,0.97,-1.9136062937420149,1.7362974115286185,1.8022453233950777,-0.0074016987886722,0.0117102143889258,-0.0112898928411366,1,19.239999771118164,20.040000915527344,5.069999771118164,4.275,2.9,real_post_mid,0.42750000000000005,2.6,92.15000000000005,0.012286666666666673
POOL,2024-09-30,2024-10-24,1.0,371.91,371.82,1.46,1.48,3.14,3.25,2.92,9.0,3.17,3.17,3.17,3.15,0.0,0.0,2.0,2.0,1402970000.0,1430200000.0,1356450000.0,11.0,29951.2,29241.44,420.27,85.19,-4.72,57.9,-8.77,-15.57,144.61,-16.11,-16.98,-0.61,-2.27,350.0,370.0,350.0,2024-11-15,15.3,15.5,30.8,8.8,20.85,5.0,25.85,359.42,9.420000000000016,0.41487,0.46365,0.43926,0.32219,26.65164139689478,-0.068295,1.0,2.0,13.590909090909092,23.0,5.714285714285716,1,3.0857142857142845,2024-10-23,595.0,567.8143920898438,0.1417,0.136825,0.1382192857142857,-0.0048749999999999,-0.0034807142857142,1,0.19048,0.1417,0.04878,0.02439,0.3683514942280719,0.287662705414855,0.8087649402390438,0.0756964190949694,0.0941789284329969,0.047521071567003,0.8037511187953609,0.97,-1.9136062937420149,1.7362974115286185,1.8022453233950777,-0.0074016987886722,0.0117102143889258,-0.0112898928411366,1,19.239999771118164,20.040000915527344,5.069999771118164,30.8,25.85,real_post_mid,3.08,2.6,184.39999999999992,0.005268571428571426
WST,2024-09-30,2024-10-24,1.0,309.71,284.76,6.76,16.12,1.5,1.57,1.46,9.0,1.5,1.5,1.5,1.99,0.0,0.0,0.0,0.0,709620000.0,714100000.0,704000000.0,9.0,20940.0,20817.12,550.4,871.01,-6.92,0.96,1.07,-27.96,-2.56,-23.69,-30.17,-5.79,-6.2,290.0,310.0,290.0,2024-11-15,15.85,17.85,33.7,11.620689655172415,20.85,2.775,23.625,314.49,24.49000000000001,0.60023,0.57096,0.5855950000000001,0.2978,49.14574065693868,-0.1512150000000001,309.0,46.0,0.5510204081632653,23.0,6.896551724137923,1,4.724137931034492,2024-10-23,595.0,567.8143920898438,0.1417,0.136825,0.1382192857142857,-0.0048749999999999,-0.0034807142857142,1,0.19048,0.1417,0.04878,0.02439,0.3683514942280719,0.287662705414855,0.8087649402390438,0.0756964190949694,0.0941789284329969,0.047521071567003,0.8037511187953609,0.97,-1.9136062937420149,1.7362974115286185,1.8022453233950777,-0.0074016987886722,0.0117102143889258,-0.0112898928411366,1,19.239999771118164,20.040000915527344,5.069999771118164,33.7,23.625,real_post_mid,3.3700000000000006,2.6,667.9000000000002,0.023031034482758627
DOC,2024-09-30,2024-10-24,0.0,22.77,21.9,1.01,5.02,0.07,0.15,0.03,8.0,0.07,0.06,0.06,0.12,0.0,0.0,1.0,1.0,680250000.0,694440000.0,658560000.0,10.0,2108.0,1854.56,51.2,257.6,27.51,14.66,10.58,320.0,2000.0,70.55,11.37,1.3,-2.32,22.5,22.5,22.5,2024-11-15,0.8,0.375,1.175,5.222222222222222,0.35,0.75,1.1,20.86,1.6400000000000006,0.15146,0.2978,0.22463,0.258775,-15.200552018875477,-0.009759999999999991,385.0,45.0,0.09740259740259741,23.0,0.0,1,5.222222222222222,2024-10-23,595.0,567.8143920898438,0.1417,0.136825,0.1382192857142857,-0.0048749999999999,-0.0034807142857142,1,0.19048,0.1417,0.04878,0.02439,0.3683514942280719,0.287662705414855,0.8087649402390438,0.0756964190949694,0.0941789284329969,0.047521071567003,0.8037511187953609,0.97,-1.9136062937420149,1.7362974115286185,1.8022453233950777,-0.0074016987886722,0.0117102143889258,-0.0112898928411366,1,19.239999771118164,20.040000915527344,5.069999771118164,1.175,1.1,real_post_mid,0.11750000000000001,2.6,-6.850000000000005,-0.003044444444444447
SBAC,2024-09-30,2024-10-28,1.0,238.64,217.94,0.54,10.09,2.27,2.35,2.16,12.0,2.27,2.26,2.27,2.14,0.0,0.0,3.0,0.0,669810000.0,679200000.0,660090000.0,12.0,-3623.2,-2020.0,-234.67,1037.04,-2.66,0.4,1.06,-19.25,6.34,-0.82,46.94,1.08,18.12,240.0,230.0,240.0,2024-11-15,8.05,6.1,14.15,5.895833333333334,2.35,11.05,13.4,221.09,18.909999999999997,0.2978,0.31731,0.307555,0.283165,7.930288891417803,-0.034150000000000014,148.0,2.0,2.25,21.0,4.1666666666666625,1,1.7291666666666714,2024-10-25,595.0,568.8458251953125,0.1451871428571428,0.1399304545454545,0.141705,-0.0052566883116882,-0.0034821428571428,1,0.1974514285714285,0.13195,0.0655014285714285,0.0195135714285714,0.4341892329269606,0.3105128409149416,0.8406374501992032,0.0682003889466289,0.0931146834517239,0.0520724594054188,0.7324343102340886,1.17,-0.4529624625967163,0.8687081821842678,-0.0892305198026933,-0.0094939039573715,0.0117769259186926,-0.0094939039573715,1,20.329999923706055,20.940000534057617,5.8112856379917694,14.15,13.4,real_post_mid,1.415,2.6,-69.1,-0.0028791666666666666
CNP,2024-09-30,2024-10-28,0.0,29.1,28.51,2.23,4.35,0.32,0.44,0.28,14.0,0.39,0.44,0.45,0.45,0.0,0.0,0.0,0.0,1932990000.0,2137920000.0,1759720000.0,6.0,5116.0,4956.0,53.33,61.45,1.6,-27.29,-5.02,28.57,-34.55,17.87,22.89,6.37,4.24,29.0,30.0,29.0,2024-11-15,1.0,0.6000000000000001,1.6,5.517241379310345,0.8999999999999999,0.4,1.2999999999999998,30.86,1.8599999999999994,0.28804,0.27829,0.283165,0.22463,20.671693182420146,-0.05365500000000001,678.0,94.0,0.5274151436031331,21.0,3.4482758620689724,1,2.068965517241373,2024-10-25,595.0,568.8458251953125,0.1451871428571428,0.1399304545454545,0.141705,-0.0052566883116882,-0.0034821428571428,1,0.1974514285714285,0.13195,0.0655014285714285,0.0195135714285714,0.4341892329269606,0.3105128409149416,0.8406374501992032,0.0682003889466289,0.0931146834517239,0.0520724594054188,0.7324343102340886,1.17,-0.4529624625967163,0.8687081821842678,-0.0892305198026933,-0.0094939039573715,0.0117769259186926,-0.0094939039573715,1,20.329999923706055,20.940000534057617,5.8112856379917694,1.6,1.2999999999999998,real_post_mid,0.16000000000000003,2.6,11.400000000000023,0.003931034482758629
OKE,2024-09-30,2024-10-29,0.0,90.24,83.33,5.88,14.66,1.23,1.33,1.04,10.0,1.23,1.28,1.29,1.3,0.0,0.0,0.0,1.0,6169370000.0,6510680000.0,5828050000.0,2.0,3792.8,3578.4,21.33,244.75,34.56,2.36,-14.83,27.88,22.02,65.41,110.09,8.18,9.03,95.0,95.0,95.0,2024-11-15,2.6,2.175,4.775,5.026315789473684,2.175,1.775,3.9499999999999997,109.81,14.810000000000002,0.22951,0.32707,0.27829000000000004,0.234385,15.776707750907335,-0.034145000000000036,926.0,100.0,0.2330049261083744,18.0,0.0,1,5.026315789473684,2024-10-28,595.0,570.6043701171875,0.1430942857142857,0.1385995454545454,0.141705,-0.0044947402597402,-0.0013892857142856,1,0.1932685714285714,0.1347357142857143,0.0585328571428571,0.0209078571428571,0.3946758010572874,0.2967990152256228,0.8406374501992032,0.0770487587295865,0.0932079697936959,0.0498863159205898,0.8266327321593236,1.56,1.641024061400327,1.0619021742669976,0.3541870264417513,-0.0047975010030499,0.0163789885026579,-0.0064318274014191,1,19.799999237060547,20.170000076293945,5.490570665631976,4.775,3.9499999999999997,real_post_mid,0.47750000000000004,2.6,32.150000000000055,0.003384210526315795
RSG,2024-09-30,2024-10-29,1.0,199.38,194.32,2.47,5.14,1.61,1.7,1.47,19.0,1.61,1.62,1.62,1.62,1.0,0.0,1.0,2.0,4120840000.0,4159570000.0,4091300000.0,18.0,13655.2,13161.44,344.53,127.93,8.64,4.82,9.35,14.18,11.03,12.38,13.2,0.26,0.81,200.0,200.0,200.0,2024-11-15,5.35,4.449999999999999,9.799999999999999,4.8999999999999995,3.05,3.65,6.699999999999999,208.04,8.039999999999992,0.27829,0.27829,0.27829,0.20512,26.292716231269537,-0.063415,650.0,4.0,0.6956521739130435,18.0,0.0,1,4.8999999999999995,2024-10-28,595.0,570.6043701171875,0.1430942857142857,0.1385995454545454,0.141705,-0.0044947402597402,-0.0013892857142856,1,0.1932685714285714,0.1347357142857143,0.0585328571428571,0.0209078571428571,0.3946758010572874,0.2967990152256228,0.8406374501992032,0.0770487587295865,0.0932079697936959,0.0498863159205898,0.8266327321593236,1.56,1.641024061400327,1.0619021742669976,0.3541870264417513,-0.0047975010030499,0.0163789885026579,-0.0064318274014191,1,19.799999237060547,20.170000076293945,5.490570665631976,9.799999999999999,6.699999999999999,real_post_mid,0.98,2.6,209.39999999999998,0.010469999999999998
INCY,2024-09-30,2024-10-29,0.0,65.83,65.07,11.8,13.11,1.07,1.84,0.72,15.0,1.16,1.31,1.34,1.44,1.0,0.0,2.0,4.0,1077500000.0,1098000000.0,1066310000.0,18.0,-13292.0,-11568.8,-1125.87,477.37,9.34,18.49,9.33,-283.84,-384.38,-222.95,-336.72,-0.22,-66.84,65.0,75.0,65.0,2024-11-15,3.0,1.95,4.95,7.615384615384616,9.5,,,75.87,10.870000000000005,0.44414,0.40511,0.42462500000000003,0.351455,17.23167500735944,-0.063415,920.0,439.0,0.37292464878671777,18.0,15.384615384615374,0,-7.7692307692307585,2024-10-28,595.0,570.6043701171875,0.1430942857142857,0.1385995454545454,0.141705,-0.0044947402597402,-0.0013892857142856,1,0.1932685714285714,0.1347357142857143,0.0585328571428571,0.0209078571428571,0.3946758010572874,0.2967990152256228,0.8406374501992032,0.0770487587295865,0.0932079697936959,0.0498863159205898,0.8266327321593236,1.56,1.641024061400327,1.0619021742669976,0.3541870264417513,-0.0047975010030499,0.0163789885026579,-0.0064318274014191,1,19.799999237060547,20.170000076293945,5.490570665631976,4.95,10.0,intrinsic_fallback,0.49500000000000005,2.6,-557.1,-0.08570769230769232
