ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_intrinsic,half_spread,commission,pnl_dollars,pnl_pct_notional
MKC,2024-08-31,2024-10-01,1.0,80.03,69.87,5.07,20.35,0.67,0.7,0.66,12.0,0.67,0.67,0.67,0.67,1.0,0.0,2.0,0.0,1667570000.0,1682480000.0,1646220000.0,11.0,-17687.2,-18043.68,330.67,227.47,-0.96,2.53,2.29,15.0,9.52,5.4,6.27,0.61,0.97,80.0,80.0,80.0,3.4000000000000004,1.275,4.675000000000001,5.843750000000001,0.26853,0.31731,0.29291999999999996,0.15634,46.62706541035094,-0.06828999999999996,401.0,410.0,0.48045178105994785,18.0,0.0,1,5.843750000000001,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,4.675000000000001,0.0,0.4675000000000001,2.6,418.15000000000003,0.05226875
LW,2024-08-31,2024-10-01,1.0,61.92,82.68,4.83,-21.49,0.72,0.74,0.66,9.0,0.71,0.72,0.72,1.45,1.0,0.0,1.0,0.0,1555340000.0,1570000000.0,1542670000.0,9.0,1384.8,4445.28,-1382.4,1356.83,16.33,,32.83,-16.08,605.88,-4.53,-8.66,-4.05,-4.49,65.0,67.5,65.0,3.8,3.9,7.699999999999999,11.846153846153845,0.66852,0.66852,0.66852,0.32219,51.80548076347754,-0.25365000000000004,6614.0,468.0,0.7655304707097536,18.0,3.8461538461538547,1,7.99999999999999,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,7.699999999999999,2.5,0.77,2.6,440.4,0.06775384615384615
PAYX,2024-08-31,2024-10-01,1.0,131.2,117.43,7.31,19.89,1.14,1.18,1.13,15.0,1.14,1.14,1.14,1.14,0.0,0.0,1.0,0.0,1318500000.0,1332400000.0,1311640000.0,12.0,1445.6,1535.68,-14.4,106.5,4.22,,5.45,6.98,79.22,5.87,6.19,0.61,0.84,135.0,140.0,135.0,3.45,3.9499999999999997,7.4,5.481481481481482,0.30755,0.30755,0.30755,0.17097,44.40903918062103,-0.04877500000000001,1439.0,1118.0,2.9510252249594338,18.0,3.703703703703698,1,1.777777777777784,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,7.4,5.0,0.7400000000000001,2.6,163.4,0.012103703703703703
PEP,2024-09-30,2024-10-08,1.0,177.34,163.59,-3.9,4.18,2.29,2.32,2.26,14.0,2.29,2.3,2.11,2.4,0.0,0.0,2.0,1.0,23755500000.0,24058000000.0,23334300000.0,10.0,7252.0,6733.12,211.73,100.69,0.8,23.29,4.81,9.09,41.61,10.25,10.63,1.26,1.6,167.5,172.5,167.5,2.615,2.85,5.465,3.2626865671641787,0.3856,0.39536,0.39048,0.19048,51.219012497439046,-0.17073,653.0,1791.0,0.8983698742654956,4.0,2.9850746268656803,1,0.27761194029849845,2024-10-07,569.0,557.8037719726562,0.1751557142857143,0.17097,0.166095,-0.0041857142857142,-0.0090607142857143,1,0.2211471428571428,0.1458857142857143,0.0752614285714285,0.0083607142857142,1.0,0.5068873360074516,0.9482071713147412,0.1195886254972967,0.1013420880390455,0.0738136262466687,1.1800489590388263,1.21,-0.2565115309351457,0.6247628119471738,-0.7641146201391106,-0.0103875631213734,0.054004141256664,-0.0103875631213734,1,22.63999938964844,22.59000015258789,5.124427961077007,5.465,5.0,0.5465,2.6,-10.750000000000012,-0.0006417910447761202
DAL,2024-09-30,2024-10-10,0.0,43.4,43.62,15.88,15.29,1.52,1.85,1.24,15.0,1.54,1.56,1.65,2.0,2.0,0.0,6.0,2.0,14673600000.0,15035000000.0,14565000000.0,11.0,3596.0,3294.08,63.47,160.2,6.93,21.17,11.89,-11.94,424.44,-16.55,-8.99,0.78,-2.38,51.0,51.0,51.0,1.47,1.49,2.96,5.803921568627451,0.98071,0.99046,0.9855849999999999,0.30755,68.7951825565527,-0.546325,1872.0,3052.0,1.6570683472780614,2.0,0.0,1,5.803921568627451,2024-10-09,577.0,566.9794311523438,0.166095,0.1591285714285714,0.1554767647058823,-0.0069664285714285,-0.0106182352941176,1,0.20024,0.13195,0.0682899999999999,0.0,0.8591906282491977,0.44751536369721,0.9362549800796812,0.1285114874036554,0.1006671221931506,0.0654278778068493,1.2765984027742412,1.43,1.3725432762366927,1.219548206603628,-0.3674429779992338,0.0145556228087055,0.0548849827448567,0.0,1,20.86000061035156,20.90999984741211,4.250500610351562,2.96,0.0,0.296,2.6,263.8,0.05172549019607843
JPM,2024-09-30,2024-10-11,1.0,207.23,204.94,7.27,8.47,4.01,4.21,3.83,15.0,4.01,4.02,3.67,4.0,2.0,0.0,7.0,1.0,41625400000.0,42154700000.0,40427000000.0,13.0,29725.6,22508.8,3304.0,3165.0,16.06,2.37,40.38,28.84,37.84,40.59,33.26,-3.52,4.46,212.5,222.5,212.5,3.375,2.955,6.33,2.978823529411765,0.7173,0.70754,0.71242,0.22463,68.46944218298195,-0.43413000000000007,3142.0,2850.0,0.984483333951281,1.0,4.705882352941182,0,-1.727058823529417,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,6.33,10.0,0.633,2.6,-432.90000000000003,-0.020371764705882353
BK,2024-09-30,2024-10-11,1.0,68.1,64.69,8.88,14.62,1.42,1.47,1.38,14.0,1.4,1.38,1.38,1.38,6.0,0.0,12.0,0.0,4542070000.0,4606710000.0,4401000000.0,12.0,7098.4,6507.36,269.87,110.93,123.73,4.05,75.8,9.42,17.05,10.97,13.36,-54.32,-15.06,75.0,75.0,75.0,1.5,1.9,3.4,4.533333333333333,0.39536,0.37584,0.3856,0.317305,17.711358921161825,-0.14634,1199.0,1071.0,1.704489544895449,8.0,0.0,1,4.533333333333333,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,3.4,0.0,0.34,2.6,303.4,0.04045333333333333
FAST,2024-09-30,2024-10-11,0.0,69.21,65.44,11.0,17.39,0.51,0.52,0.5,12.0,0.51,0.51,0.52,0.52,1.0,0.0,1.0,2.0,1904180000.0,1922080000.0,1884660000.0,11.0,-3181.6,-3170.08,-277.33,346.35,1.76,1.11,3.82,-1.92,-1.92,-1.93,-2.03,-0.48,-0.78,70.0,77.5,70.0,1.825,1.75,3.575,5.107142857142858,0.43438,0.43438,0.43438,0.20024,53.90211335696855,-0.16585,2317.0,947.0,1.3423216047352844,8.0,10.71428571428572,0,-5.607142857142863,2024-10-10,577.0,565.9871215820312,0.16122,0.16122,0.15634,0.0,-0.0048799999999999,1,0.20024,0.1403071428571428,0.0599328571428571,0.0090535714285714,0.7834299690297083,0.4155710427656061,0.900398406374502,0.1283319894291399,0.0976775504008147,0.0635424495991852,1.313833003617887,1.2,-0.5438023720497828,0.440229522081081,-0.7742450342551279,0.0146348001724405,0.0423456250718687,-0.0017501685524917,1,20.93000030517578,21.020000457763672,4.808000305175781,3.575,7.5,0.35750000000000004,2.6,-430.85,-0.06155
UAL,2024-09-30,2024-10-15,1.0,50.22,46.94,27.54,36.45,3.17,3.48,2.8,14.0,3.12,3.06,3.06,3.43,1.0,0.0,9.0,0.0,14783300000.0,15113000000.0,14517700000.0,12.0,18348.0,16707.84,741.87,248.25,5.7,19.52,14.73,-17.69,2860.0,12.68,27.16,-2.38,2.17,62.0,72.0,62.0,2.06,2.19,4.25,6.854838709677419,0.61974,0.61974,0.61974,0.48316,22.038274114951427,-0.14145999999999997,9069.0,1345.0,0.7911463573415399,7.0,16.129032258064523,0,-9.274193548387103,2024-10-14,585.0,574.0328979492188,0.1542485714285714,0.15146,0.14658,-0.0027885714285714,-0.0076685714285714,1,0.1835157142857142,0.1347357142857143,0.0487799999999999,0.0048771428571428,0.6052702556910134,0.3698894937117666,0.8645418326693227,0.0695615376827129,0.0978342718836001,0.0564142995449713,0.7110140070902236,1.38,0.7213427338227262,1.9613215598755025,0.1752687080562542,0.0290946866837573,0.0428858213643916,0.0,1,19.700000762939453,20.1200008392334,4.275143620082307,4.25,10.0,0.42500000000000004,2.6,-620.1,-0.10001612903225807
STT,2024-09-30,2024-10-15,1.0,83.28,85.34,10.25,7.59,2.12,2.26,2.02,14.0,2.12,2.15,2.15,2.11,3.0,0.0,5.0,3.0,3192140000.0,3216000000.0,3169620000.0,12.0,19116.0,18172.64,439.47,126.82,17.27,2.69,28.54,-0.92,27.22,-6.94,-0.44,-8.93,-2.97,90.0,92.5,90.0,2.25,2.4,4.65,5.166666666666667,0.46365,0.4734,0.46852499999999997,0.29292,37.480390587481985,-0.19999499999999998,270.0,42.0,2.6666666666666665,7.0,2.777777777777768,1,2.388888888888899,2024-10-14,585.0,574.0328979492188,0.1542485714285714,0.15146,0.14658,-0.0027885714285714,-0.0076685714285714,1,0.1835157142857142,0.1347357142857143,0.0487799999999999,0.0048771428571428,0.6052702556910134,0.3698894937117666,0.8645418326693227,0.0695615376827129,0.0978342718836001,0.0564142995449713,0.7110140070902236,1.38,0.7213427338227262,1.9613215598755025,0.1752687080562542,0.0290946866837573,0.0428858213643916,0.0,1,19.700000762939453,20.1200008392334,4.275143620082307,4.65,2.5,0.4650000000000001,2.6,165.90000000000003,0.018433333333333336
