ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional
LW,2024-08-31,2024-10-01,1.0,61.92,82.68,4.83,-21.49,0.72,0.74,0.66,9.0,0.71,0.72,0.72,1.45,1.0,0.0,1.0,0.0,1555340000.0,1570000000.0,1542670000.0,9.0,1384.8,4445.28,-1382.4,1356.83,16.33,,32.83,-16.08,605.88,-4.53,-8.66,-4.05,-4.49,65.0,67.5,65.0,2024-10-18,3.8,3.9,7.699999999999999,11.846153846153843,2.825,1.05,3.875,78.22,13.22,0.66852,0.66852,0.66852,0.32219,51.80548076347754,-0.25365,6614.0,468.0,0.7655304707097536,18.0,3.8461538461538542,1,7.99999999999999,2024-09-30,575.0,563.6588134765625,0.12707,0.15146,0.1523472727272727,0.0243899999999999,0.0252772727272727,0,0.16122,0.1043066666666666,0.0569133333333333,0.0056933333333333,0.2941602098344841,0.1917969792139592,0.6653386454183267,0.0479939929194181,0.1363363012426776,-0.0092663012426776,0.352026514449656,1.25,0.2766988508346175,0.8934674023204349,-0.7094656969745842,0.0071797245416533,0.0307511424780388,0.0,1,16.729999542236328,19.219999313354492,4.022999542236327,7.699999999999999,3.875,real_post_mid,0.77,2.6,302.8999999999999,0.04659999999999999
WRB,2024-09-30,2024-10-21,0.0,57.45,52.21,6.23,16.89,0.92,0.98,0.85,14.0,0.93,0.95,0.95,0.94,1.0,0.0,4.0,1.0,3443780000.0,3470890000.0,3402900000.0,6.0,-5085.6,-5789.6,245.33,170.08,10.62,1.76,9.92,-8.77,-33.33,-6.4,6.67,-1.76,-0.54,59.75,57.5,59.75,2024-11-15,2.575,1.725,4.300000000000001,7.196652719665273,0.7749999999999999,2.6,3.375,60.74,0.990000000000002,0.23926,0.37584,0.30755,0.21975,28.548203544139163,-0.20487,292.0,34.0,0.3187855787476281,28.0,3.765690376569042,1,3.4309623430962315,2024-10-18,600.0,574.2981567382812,0.12707,0.1312485714285714,0.1319449999999999,0.0041785714285713,0.0048749999999999,0,0.17097,0.12219,0.04878,0.0195099999999999,0.0921350739022552,0.1917969792139592,0.6693227091633466,0.0958807900229148,0.087439418122468,0.0396305818775319,1.0965396623365415,1.26,-0.2144723743509695,0.507356934510485,-1.0146373374692372,0.0086442192888969,0.0269764516779325,0.0,1,18.030000686645508,19.190000534057617,5.323000686645507,4.300000000000001,3.375,real_post_mid,0.4300000000000001,2.6,46.90000000000006,0.007849372384937249
PCAR,2024-09-30,2024-10-22,1.0,98.91,98.9,5.94,5.96,1.82,1.89,1.77,14.0,1.82,1.82,1.82,1.84,1.0,0.0,4.0,0.0,7649970000.0,8047000000.0,7302530000.0,11.0,-11487.2,-12141.76,97.6,530.57,-1.35,0.42,15.17,-8.58,-6.17,-5.3,-16.3,-2.3,-2.62,110.0,105.0,110.0,2024-11-15,4.75,5.3,10.05,9.136363636363637,0.7,6.35,7.05,112.26,2.260000000000005,0.41487,0.46365,0.43926,0.263655,39.97746209534217,-0.1170749999999999,657.0,453.0,3.487958115183246,25.0,4.545454545454541,1,4.590909090909095,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,10.05,7.05,real_post_mid,1.0050000000000001,2.6,196.9000000000001,0.01790000000000001
CSGP,2024-09-30,2024-10-22,1.0,77.37,76.35,-0.65,0.68,0.16,0.19,0.15,13.0,0.16,0.16,0.16,0.18,0.0,0.0,0.0,0.0,696100000.0,699000000.0,694700000.0,13.0,-60221.6,-60474.4,160.0,67.88,11.87,3.26,12.32,-51.61,50.0,-78.42,-120.35,-1.49,-15.43,75.0,75.0,75.0,2024-11-15,5.1,3.25,8.35,11.133333333333333,1.625,3.55,5.175,71.25,3.75,0.46365,0.56121,0.5124299999999999,0.331945,35.221396093124895,-0.1512199999999999,196.0,1.0,5.109540636042403,25.0,0.0,1,11.133333333333333,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,8.35,5.175,real_post_mid,0.835,2.6,231.4,0.030853333333333333
IPG,2024-09-30,2024-10-22,0.0,31.11,29.57,-4.28,0.71,0.7,0.72,0.65,9.0,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,2301940000.0,2324120000.0,2285100000.0,6.0,6428.0,6255.2,38.4,71.84,1.63,8.58,0.11,7.02,69.44,4.42,2.41,0.57,0.09,32.0,30.0,32.0,2024-11-15,0.8,1.1,1.9,5.9375,0.125,2.0,2.125,27.09,4.91,0.27829,0.28804,0.283165,0.22463,20.671693182420142,-0.02927,91.0,112.0,0.8718801996672213,25.0,6.25,0,-0.3125,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,1.9000000000000001,2.125,real_post_mid,0.19000000000000003,2.6,-44.099999999999994,-0.013781249999999998
IVZ,2024-09-30,2024-10-22,1.0,17.17,16.58,5.07,8.81,0.43,0.47,0.37,15.0,0.43,0.42,0.42,0.43,1.0,0.0,6.0,0.0,1106660000.0,1128580000.0,1083100000.0,9.0,4511.2,4505.44,-33.6,153.6,2.81,0.54,-2.3,38.71,30.3,9.1,1.47,1.14,-0.19,18.0,17.0,18.0,2024-11-15,0.7749999999999999,0.8500000000000001,1.625,9.027777777777777,0.375,1.0,1.375,17.67,0.3299999999999983,0.3856,0.4734,0.4295,0.375845,12.492433061699652,-0.078045,1082.0,2767.0,1.1447839831401476,25.0,5.555555555555558,1,3.4722222222222188,2024-10-21,600.0,573.3550415039062,0.13195,0.136825,0.1319449999999999,0.0048749999999999,-5.000000000032756e-06,1,0.18073,0.13195,0.0487799999999999,0.0243899999999999,0.1842701478045099,0.2237740635516469,0.7410358565737052,0.0780997820209745,0.0874024789789387,0.0445475210210612,0.8935648385876346,1.2,-0.6520389056516837,0.562325017014662,-1.0803796736704707,-0.0011808668941,0.0270654800301761,-0.0016422048779181,1,18.3700008392334,19.239999771118164,5.175000839233398,1.625,1.375,real_post_mid,0.1625,2.6,6.15,0.003416666666666667
ROL,2024-09-30,2024-10-23,0.0,50.5,46.73,-1.49,6.46,0.3,0.31,0.29,7.0,0.3,0.3,0.3,0.31,0.0,0.0,0.0,0.0,911150000.0,915900000.0,906000000.0,7.0,-2868.0,-2868.0,-12.8,16.63,8.67,19.19,13.25,17.39,35.0,15.92,17.82,0.81,1.59,50.0,45.0,50.0,2024-11-15,1.5499999999999998,1.925,3.4749999999999996,6.949999999999999,0.175,4.5,4.675,49.91,0.0900000000000034,0.33682,0.34658,0.3417,0.209995,38.54404448346504,-0.063415,190.0,102.0,0.045045045045045,24.0,9.999999999999998,0,-3.049999999999999,2024-10-22,600.0,573.050537109375,0.136825,0.1319449999999999,0.1319449999999999,-0.00488,-0.00488,1,0.18073,0.13195,0.0487799999999999,0.019515,0.2763108210162909,0.2557183844832509,0.7888446215139442,0.0428390099858035,0.08749731154241,0.0493276884575899,0.4896037287390187,1.06,-1.5921159639028604,0.4920121044505344,-1.174754773892288,0.0061057351561024,0.0239614254488473,-0.0021724249229565,1,18.200000762939453,19.170000076293945,4.517500762939452,3.4749999999999996,4.675,real_post_mid,0.3475,2.6,-157.35,-0.03147
TDY,2024-09-30,2024-10-23,1.0,432.74,415.7,8.63,13.08,4.97,4.99,4.93,8.0,4.97,4.97,4.97,5.0,1.0,0.0,1.0,0.0,1416900000.0,1438640000.0,1381240000.0,7.0,42741.6,42031.2,179.2,660.94,-3.55,1.78,1.37,-1.93,0.66,-3.36,-3.55,-0.28,0.0,440.0,470.0,440.0,2024-11-15,14.55,11.6,26.15,5.943181818181819,36.2,1.25,37.45,470.15,30.149999999999977,0.26853,0.30755,0.2880399999999999,0.190485,33.86855992223301,-0.0536549999999999,1.0,1.0,0.4705882352941176,24.0,6.818181818181812,0,-0.8749999999999929,2024-10-22,600.0,573.050537109375,0.136825,0.1319449999999999,0.1319449999999999,-0.00488,-0.00488,1,0.18073,0.13195,0.0487799999999999,0.019515,0.2763108210162909,0.2557183844832509,0.7888446215139442,0.0428390099858035,0.08749731154241,0.0493276884575899,0.4896037287390187,1.06,-1.5921159639028604,0.4920121044505344,-1.174754773892288,0.0061057351561024,0.0239614254488473,-0.0021724249229565,1,18.200000762939453,19.170000076293945,4.517500762939452,26.15,37.45,real_post_mid,2.615,2.6,-1394.1000000000004,-0.03168409090909092
WST,2024-09-30,2024-10-24,1.0,309.71,284.76,6.76,16.12,1.5,1.57,1.46,9.0,1.5,1.5,1.5,1.99,0.0,0.0,0.0,0.0,709620000.0,714100000.0,704000000.0,9.0,20940.0,20817.12,550.4,871.01,-6.92,0.96,1.07,-27.96,-2.56,-23.69,-30.17,-5.79,-6.2,290.0,310.0,290.0,2024-11-15,15.85,17.85,33.7,11.620689655172416,20.85,2.775,23.625,314.49,24.49000000000001,0.60023,0.57096,0.5855950000000001,0.2978,49.14574065693868,-0.1512150000000001,309.0,46.0,0.5510204081632653,23.0,6.896551724137923,1,4.724137931034492,2024-10-23,595.0,567.8143920898438,0.1417,0.136825,0.1382192857142857,-0.0048749999999999,-0.0034807142857142,1,0.19048,0.1417,0.04878,0.02439,0.3683514942280719,0.287662705414855,0.8087649402390438,0.0756964190949694,0.0941789284329969,0.047521071567003,0.8037511187953609,0.97,-1.9136062937420149,1.7362974115286185,1.8022453233950777,-0.0074016987886722,0.0117102143889258,-0.0112898928411366,1,19.239999771118164,20.040000915527344,5.069999771118164,33.7,23.625,real_post_mid,3.3700000000000006,2.6,667.9000000000002,0.023031034482758627
DTE,2024-09-30,2024-10-24,1.0,125.29,118.19,3.58,9.8,1.88,2.1,1.77,14.0,1.83,1.77,1.78,1.83,5.0,0.0,7.0,1.0,2982140000.0,3330530000.0,2521440000.0,5.0,9085.6,8604.32,522.67,509.11,7.12,-11.27,-29.71,44.44,-14.37,21.66,26.45,2.72,2.67,130.0,125.0,130.0,2024-11-15,2.45,2.6,5.050000000000001,3.884615384615385,1.125,4.3,5.425,120.09,9.909999999999997,0.17097,0.21,0.190485,0.21,-10.244901173320722,0.0146299999999999,515.0,27.0,2.3981481481481484,23.0,3.846153846153843,1,0.0384615384615414,2024-10-23,595.0,567.8143920898438,0.1417,0.136825,0.1382192857142857,-0.0048749999999999,-0.0034807142857142,1,0.19048,0.1417,0.04878,0.02439,0.3683514942280719,0.287662705414855,0.8087649402390438,0.0756964190949694,0.0941789284329969,0.047521071567003,0.8037511187953609,0.97,-1.9136062937420149,1.7362974115286185,1.8022453233950777,-0.0074016987886722,0.0117102143889258,-0.0112898928411366,1,19.239999771118164,20.040000915527344,5.069999771118164,5.050000000000001,5.425,real_post_mid,0.5050000000000001,2.6,-90.59999999999992,-0.006969230769230763
