ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional,fold,model,proba
BLK,2023-03-31,2023-04-14,1.0,631.74,753.99,9.43,-8.31,7.76,8.13,7.22,11.0,7.72,7.99,7.95,8.03,1.0,0.0,2.0,3.0,4243050000.0,4280000000.0,4176000000.0,9.0,40607.2,33352.8,3712.0,3577.32,-7.75,314.59,-6.64,-14.3,-6.49,-12.69,-14.3,-2.09,-2.73,672.5,700.0,670.0,2023-04-14,10.8,9.75,20.55,3.0557620817843865,,,,691.33,21.33000000000004,0.74657,0.72706,0.736815,0.209995,71.49963016496679,-0.458525,161.0,77.0,1.1876061120543293,1.0,4.089219330855021,0,-1.0334572490706342,2023-04-13,416.0,397.8846130371094,0.15634,0.1633078571428571,0.1667921428571428,0.0069678571428571,0.0104521428571427,0,0.18073,0.1403071428571428,0.0404228571428571,0.0041785714285713,0.0,0.0,0.0,0.102322374562948,0.1435108534753165,0.0128291465246835,0.7129939797936413,1.36,0.0212084315058469,1.7228583637205734,0.1204027498840959,0.0144013134584206,0.059525674752767,-0.0041556519142181,1,17.799999237060547,20.260000228881836,2.165999237060543,20.55,21.33000000000004,expiry_intrinsic,1.0275,1.9500000000000002,-182.70000000000402,-0.002716728624535376,fold_1,lgbm,0.7340425531914894
NFLX,2023-03-31,2023-04-18,1.0,303.5,326.33,9.95,2.26,2.86,3.15,2.72,34.0,2.86,2.85,2.85,2.95,1.0,0.0,8.0,1.0,8176740000.0,8261000000.0,8118590000.0,31.0,10572.0,9622.24,448.0,1105.68,6.46,298.9,7.14,-90.98,-96.13,6.77,-9.07,-2.27,-3.04,332.5,322.5,332.5,2023-04-21,15.15,14.65,29.8,8.962406015037594,1.3,10.475,11.775,327.98,4.519999999999982,1.07827,1.06851,1.07339,0.4685249999999999,56.35090693969573,-0.58047,76.0,718.0,0.8358689778442865,4.0,3.007518796992481,1,5.954887218045113,2023-04-17,417.0,398.3369445800781,0.1430942857142857,0.15634,0.1588923809523809,0.0132457142857143,0.0157980952380952,0,0.17097,0.13195,0.03902,0.0083657142857143,0.0,0.0,0.0,0.1087038164317319,0.13098694001787,0.0121073456964156,0.8298828602065363,1.18,-1.0419112482663886,0.8091449913302831,-0.584628380505793,0.0105710928017577,0.0490011038348112,-0.0030235352256938,1,16.950000762939453,19.649999618530273,2.6405721915108824,29.8,4.519999999999982,expiry_intrinsic,1.4900000000000002,1.9500000000000002,2377.050000000002,0.07149022556390984,fold_1,lgbm,0.7340425531914894
PLD,2023-03-31,2023-04-18,0.0,116.03,122.65,6.62,0.86,0.53,0.56,0.47,7.0,0.53,0.53,0.54,0.6,0.0,0.0,1.0,1.0,1624230000.0,1680160000.0,1405580000.0,10.0,29464.8,28573.92,217.6,289.12,25.51,241.18,23.71,-62.87,-53.03,12.51,8.12,0.97,-9.33,125.0,125.0,125.0,2023-04-21,1.4,3.2,4.6,3.68,0.925,0.875,1.8,123.58,1.4200000000000017,0.42462,0.42462,0.42462,0.24414,42.50388582732796,-0.15609,746.0,2023.0,0.803007889546351,4.0,0.0,1,3.68,2023-04-17,417.0,398.3369445800781,0.1430942857142857,0.15634,0.1588923809523809,0.0132457142857143,0.0157980952380952,0,0.17097,0.13195,0.03902,0.0083657142857143,0.0,0.0,0.0,0.1087038164317319,0.13098694001787,0.0121073456964156,0.8298828602065363,1.18,-1.0419112482663886,0.8091449913302831,-0.584628380505793,0.0105710928017577,0.0490011038348112,-0.0030235352256938,1,16.950000762939453,19.649999618530273,2.6405721915108824,4.6,1.4200000000000017,expiry_intrinsic,0.22999999999999998,1.9500000000000002,293.0499999999998,0.023443999999999982,fold_1,lgbm,0.7340425531914894
SYF,2023-03-31,2023-04-19,0.0,28.45,32.58,8.22,-5.49,1.46,2.07,0.9,20.0,1.52,1.67,1.7,1.54,1.0,0.0,4.0,2.0,4036950000.0,4793000000.0,3207000000.0,13.0,16762.4,13236.8,104.0,3287.6,17.56,203.89,20.04,-5.97,-14.29,-23.32,-25.03,-21.44,-19.27,30.0,30.0,30.0,2023-04-21,1.075,0.8999999999999999,1.975,6.583333333333333,0.2249999999999999,0.325,0.55,29.72,0.2800000000000011,0.85388,0.94168,0.89778,0.43438,51.61620887077012,-0.5170600000000001,6691.0,265.0,2.56291542516617,3.0,0.0,1,6.583333333333333,2023-04-18,417.0,398.5967102050781,0.1417,0.1559914285714286,0.1593569047619047,0.0142914285714285,0.0176569047619047,0,0.17097,0.1235842857142857,0.0473857142857143,0.0055771428571428,0.0,0.0,0.0,0.1083296279775042,0.1208918736302932,0.0208081263697067,0.8960869306136622,1.12,-1.2614383357937882,0.9725080230713196,-0.4583519700485939,0.0109585904742208,0.0621040402299883,-0.0023733815856508,1,16.829999923706055,19.81999969482422,2.6599999237060548,1.9749999999999999,0.2800000000000011,expiry_intrinsic,0.09875,1.9500000000000002,157.67499999999987,0.05255833333333329,fold_1,lgbm,0.8070175438596491
KMI,2023-03-31,2023-04-19,1.0,16.53,18.75,6.47,-6.13,0.29,0.33,0.26,11.0,0.29,0.3,0.3,0.29,0.0,0.0,0.0,1.0,4768380000.0,5281050000.0,4458000000.0,5.0,2570.4,2551.2,4.27,86.0,15.59,265.78,15.4,25.93,36.0,-35.09,-54.95,-7.65,-14.81,17.5,17.5,17.5,2023-04-21,0.3399999999999999,0.12,0.4599999999999999,2.628571428571429,0.03,0.19,0.22,17.37,0.129999999999999,0.34658,0.32707,0.336825,0.24902,26.068433162621552,-0.13659,4824.0,26.0,0.6194836385469829,3.0,0.0,1,2.628571428571429,2023-04-18,417.0,398.5967102050781,0.1417,0.1559914285714286,0.1593569047619047,0.0142914285714285,0.0176569047619047,0,0.17097,0.1235842857142857,0.0473857142857143,0.0055771428571428,0.0,0.0,0.0,0.1083296279775042,0.1208918736302932,0.0208081263697067,0.8960869306136622,1.12,-1.2614383357937882,0.9725080230713196,-0.4583519700485939,0.0109585904742208,0.0621040402299883,-0.0023733815856508,1,16.829999923706055,19.81999969482422,2.6599999237060548,0.4599999999999999,0.129999999999999,expiry_intrinsic,0.022999999999999996,1.9500000000000002,28.75000000000009,0.01642857142857148,fold_1,lgbm,0.7340425531914894
POOL,2023-03-31,2023-04-20,0.0,346.72,352.74,-4.13,-5.77,3.21,3.47,2.78,11.0,3.29,3.31,3.25,3.4,0.0,0.0,0.0,4.0,1291340000.0,1319420000.0,1235100000.0,11.0,31480.8,31308.0,-608.0,1105.82,16.7,282.57,17.87,-30.8,-61.92,23.41,23.18,0.75,0.87,340.0,340.0,340.0,2023-04-21,9.75,11.75,21.5,6.323529411764706,2.85,0.4,3.25,343.24,3.240000000000009,1.02949,1.10753,1.0685099999999998,0.331945,68.93384245351002,-0.6926649999999999,194.0,52.0,1.632606199770379,2.0,0.0,1,6.323529411764706,2023-04-19,417.0,398.52935791015625,0.1417,0.1514599999999999,0.1598214285714285,0.0097599999999999,0.0181214285714285,0,0.17097,0.12219,0.04878,0.0048799999999999,0.0,0.0,0.0039840637450199,0.0970443001028848,0.1187793526079844,0.0229206473920155,0.8170132095530671,1.3,-0.1987166237704902,0.4352285957459404,-0.8361492967052433,0.0149246423498918,0.0518107618385403,-0.0025419540813715,1,16.459999084472656,20.020000457763672,2.2899990844726563,21.5,3.240000000000009,expiry_intrinsic,1.075,1.9500000000000002,1716.549999999999,0.05048676470588233,fold_1,lgbm,0.7340425531914894
GPC,2023-03-31,2023-04-20,1.0,165.92,161.74,1.63,4.25,2.02,2.15,1.93,10.0,2.03,2.03,1.94,1.91,0.0,0.0,0.0,1.0,5674280000.0,5783000000.0,5515220000.0,10.0,8328.8,7188.32,490.67,110.99,17.09,289.34,17.4,14.53,-8.07,28.38,38.81,-0.13,1.15,165.0,165.0,165.0,2023-04-21,2.825,1.775,4.6,2.7878787878787876,2.05,0.03,2.0799999999999996,166.52,1.5200000000000102,0.40511,0.50267,0.45389,0.2148749999999999,52.65923461631673,-0.219505,164.0,3.0,1.7586206896551724,2.0,0.0,1,2.7878787878787876,2023-04-19,417.0,398.52935791015625,0.1417,0.1514599999999999,0.1598214285714285,0.0097599999999999,0.0181214285714285,0,0.17097,0.12219,0.04878,0.0048799999999999,0.0,0.0,0.0039840637450199,0.0970443001028848,0.1187793526079844,0.0229206473920155,0.8170132095530671,1.3,-0.1987166237704902,0.4352285957459404,-0.8361492967052433,0.0149246423498918,0.0518107618385403,-0.0025419540813715,1,16.459999084472656,20.020000457763672,2.2899990844726563,4.6,1.5200000000000102,expiry_intrinsic,0.22999999999999998,1.9500000000000002,283.04999999999893,0.01715454545454539,fold_1,lgbm,0.7340425531914894
DHI,2023-03-31,2023-04-20,1.0,96.84,94.48,11.11,13.89,1.93,2.21,1.65,18.0,1.93,1.92,1.92,2.18,1.0,0.0,1.0,0.0,6471330000.0,6946970000.0,5746940000.0,11.0,20658.4,12607.2,3735.47,2804.47,2.9,0.0,12.44,90.26,84.06,-15.14,-16.48,-3.36,-3.99,102.0,107.0,102.0,2023-04-21,2.075,2.125,4.2,4.117647058823529,4.5,0.03,4.53,106.58,4.579999999999998,0.70754,0.68803,0.697785,0.23926,65.71150139369576,-0.3902299999999999,143.0,926.0,1.114228764182766,2.0,4.90196078431373,0,-0.7843137254902013,2023-04-19,417.0,398.52935791015625,0.1417,0.1514599999999999,0.1598214285714285,0.0097599999999999,0.0181214285714285,0,0.17097,0.12219,0.04878,0.0048799999999999,0.0,0.0,0.0039840637450199,0.0970443001028848,0.1187793526079844,0.0229206473920155,0.8170132095530671,1.3,-0.1987166237704902,0.4352285957459404,-0.8361492967052433,0.0149246423498918,0.0518107618385403,-0.0025419540813715,1,16.459999084472656,20.020000457763672,2.2899990844726563,4.2,4.579999999999998,expiry_intrinsic,0.21000000000000002,1.9500000000000002,-60.94999999999981,-0.005975490196078413,fold_1,lgbm,0.7340425531914894
CSX,2023-03-31,2023-04-20,1.0,29.32,32.01,5.08,-3.75,0.43,0.46,0.41,24.0,0.43,0.42,0.42,0.42,1.0,0.0,12.0,3.0,3580220000.0,3719000000.0,3483000000.0,19.0,-12522.4,-12636.64,59.73,53.42,18.62,281.34,20.16,11.9,-7.84,7.94,12.13,-2.33,-2.25,30.5,32.0,30.5,2023-04-21,0.575,0.475,1.05,3.4426229508196724,1.325,0.03,1.355,31.82,1.3200000000000005,0.59047,0.57096,0.5807150000000001,0.19536,66.35871296591273,-0.336575,396.0,112.0,0.3379138038725796,2.0,4.918032786885251,0,-1.475409836065579,2023-04-19,417.0,398.52935791015625,0.1417,0.1514599999999999,0.1598214285714285,0.0097599999999999,0.0181214285714285,0,0.17097,0.12219,0.04878,0.0048799999999999,0.0,0.0,0.0039840637450199,0.0970443001028848,0.1187793526079844,0.0229206473920155,0.8170132095530671,1.3,-0.1987166237704902,0.4352285957459404,-0.8361492967052433,0.0149246423498918,0.0518107618385403,-0.0025419540813715,1,16.459999084472656,20.020000457763672,2.2899990844726563,1.0499999999999998,1.3200000000000005,expiry_intrinsic,0.05249999999999999,1.9500000000000002,-34.200000000000074,-0.011213114754098384,fold_1,lgbm,0.7340425531914894
CDNS,2023-03-31,2023-04-24,1.0,204.48,182.38,4.16,16.78,1.25,1.29,1.24,10.0,1.25,1.25,1.25,1.1,1.0,0.0,1.0,0.0,1008990000.0,1018400000.0,1000800000.0,10.0,6204.0,5733.6,181.33,109.4,19.19,294.63,19.6,17.07,-9.43,31.39,37.81,-0.16,4.08,210.0,200.0,210.0,2023-05-19,8.7,5.05,13.75,6.547619047619048,2.9749999999999996,8.3,11.275,216.71,6.710000000000008,0.28804,0.28804,0.28804,0.26853,6.773364810443002,0.0,1184.0,88.0,0.7644859813084112,28.0,4.761904761904767,1,1.7857142857142811,2023-04-21,415.0,396.6625061035156,0.1417,0.1549457142857143,0.1607504761904762,0.0132457142857143,0.0190504761904762,0,0.1737585714285714,0.12219,0.0515685714285714,0.0062742857142857,0.0,0.0,0.0079681274900398,0.0524992758523668,0.0930459055597312,0.0486540944402687,0.5642298340432049,1.2,-0.6556412208654807,0.6908450020768039,-0.539539878330809,-0.0006303996083049,0.0512355569559983,-0.007214398703359,1,16.770000457763672,20.38999938964844,2.600000457763672,13.75,6.710000000000008,expiry_intrinsic,0.6875,1.9500000000000002,633.2999999999992,0.030157142857142816,fold_1,lgbm,0.8070175438596491
