fold,model,train_end,val_end,test_end,n_train,n_val,n_test,threshold,val_score,test_n,test_win_rate,test_total_pnl,test_avg_pnl,test_sharpe
fold_1,logreg,2022-09-30,2023-03-30,2023-09-30,2160,873,884,0.6200000000000003,-11530.25,763,0.5386631716906947,-60012.049999999916,-78.65275229357788,-1.0862326682280605
fold_1,lgbm,2022-09-30,2023-03-30,2023-09-30,2160,873,884,0.6800000000000004,8864.27500000001,260,0.49615384615384617,-14098.049999999996,-54.22326923076921,-0.82843174790084
fold_1,xgb,2022-09-30,2023-03-30,2023-09-30,2160,873,884,0.7500000000000004,17475.850000000013,96,0.4583333333333333,-7352.299999999997,-76.58645833333331,-1.0102240808757612
fold_1,always_short,2022-09-30,2023-03-30,2023-09-30,2160,873,884,,,884,0.5361990950226244,-73165.0249999999,-82.76586538461528,
fold_1,vrp_only,2022-09-30,2023-03-30,2023-09-30,2160,873,884,,,864,0.5381944444444444,-65165.49999999991,-75.4230324074073,
fold_2,logreg,2023-03-30,2023-09-30,2024-03-30,3033,884,880,0.7000000000000004,10195.875000000011,153,0.45098039215686275,-42551.34999999996,-278.1133986928102,-2.5341863880507582
fold_2,lgbm,2023-03-30,2023-09-30,2024-03-30,3033,884,880,0.6300000000000003,4491.025000000023,429,0.5314685314685315,-34402.69999999992,-80.1927738927737,-0.9707881157817506
fold_2,xgb,2023-03-30,2023-09-30,2024-03-30,3033,884,880,0.6500000000000004,8351.85000000001,307,0.5309446254071661,-39331.224999999955,-128.11473941368064,-1.496061447868874
fold_2,always_short,2023-03-30,2023-09-30,2024-03-30,3033,884,880,,,880,0.4909090909090909,-125434.59999999987,-142.53931818181803,
fold_2,vrp_only,2023-03-30,2023-09-30,2024-03-30,3033,884,880,,,632,0.48417721518987344,-91111.5749999999,-144.1638844936707,
fold_3,logreg,2023-09-30,2024-03-30,2024-09-30,3917,880,894,0.7300000000000004,-24236.67499999998,325,0.5384615384615384,12713.325000000052,39.11792307692323,0.5173924401464716
fold_3,lgbm,2023-09-30,2024-03-30,2024-09-30,3917,880,894,0.7100000000000004,-5377.549999999991,77,0.4935064935064935,-8294.57499999999,-107.72175324675311,-1.685276751841644
fold_3,xgb,2023-09-30,2024-03-30,2024-09-30,3917,880,894,0.6600000000000004,-33209.024999999965,276,0.5289855072463768,-28384.724999999984,-102.84320652173908,-0.9529051427820637
fold_3,always_short,2023-09-30,2024-03-30,2024-09-30,3917,880,894,,,894,0.5480984340044742,-61313.94999999995,-68.58383668903798,
fold_3,vrp_only,2023-09-30,2024-03-30,2024-09-30,3917,880,894,,,736,0.5434782608695652,-43173.174999999974,-58.659205163043445,
fold_4,logreg,2024-03-30,2024-09-30,2025-03-30,4797,894,895,0.6700000000000004,36713.87500000003,421,0.5581947743467933,2015.024999999987,4.78628266033251,0.03909821659149099
fold_4,lgbm,2024-03-30,2024-09-30,2025-03-30,4797,894,895,0.6300000000000003,2788.1499999999924,418,0.569377990430622,28781.875000000022,68.8561602870814,0.4966446891536707
fold_4,xgb,2024-03-30,2024-09-30,2025-03-30,4797,894,895,0.7000000000000004,7509.100000000007,69,0.5507246376811594,5419.275000000002,78.54021739130438,1.7787247641397135
fold_4,always_short,2024-03-30,2024-09-30,2025-03-30,4797,894,895,,,895,0.5340782122905028,-45786.424999999996,-51.15801675977653,
fold_4,vrp_only,2024-03-30,2024-09-30,2025-03-30,4797,894,895,,,499,0.5150300601202404,-22096.499999999996,-44.2815631262525,
fold_5,logreg,2024-09-30,2025-03-30,2025-09-30,5691,895,892,0.6700000000000004,37963.924999999996,259,0.6061776061776062,2635.9249999999847,10.177316602316543,0.10217045002962215
fold_5,lgbm,2024-09-30,2025-03-30,2025-09-30,5691,895,892,0.6700000000000004,14145.700000000055,306,0.5816993464052288,-36083.724999999984,-117.92066993464047,-1.133437068189754
fold_5,xgb,2024-09-30,2025-03-30,2025-09-30,5691,895,892,0.6800000000000004,48506.90000000005,437,0.5743707093821511,-23884.250000000025,-54.65503432494285,-0.5945840978979338
fold_5,always_short,2024-09-30,2025-03-30,2025-09-30,5691,895,892,,,892,0.5728699551569507,-96243.67499999999,-107.89649663677129,
fold_5,vrp_only,2024-09-30,2025-03-30,2025-09-30,5691,895,892,,,450,0.5533333333333333,-57341.42500000002,-127.42538888888893,
fold_6,logreg,2025-03-30,2025-09-30,2026-03-30,6586,892,408,0.7100000000000004,6350.449999999991,104,0.5865384615384616,-25854.650000000012,-248.60240384615398,-1.9615942634888053
fold_6,lgbm,2025-03-30,2025-09-30,2026-03-30,6586,892,408,0.7100000000000004,6016.67500000001,198,0.6616161616161617,12181.774999999978,61.52411616161605,0.5514638517811713
fold_6,xgb,2025-03-30,2025-09-30,2026-03-30,6586,892,408,0.7100000000000004,-10324.675,89,0.7191011235955056,-7686.550000000017,-86.36573033707884,-0.6414687665067558
fold_6,always_short,2025-03-30,2025-09-30,2026-03-30,6586,892,408,,,408,0.6029411764705882,-5931.400000000022,-14.53774509803927,
fold_6,vrp_only,2025-03-30,2025-09-30,2026-03-30,6586,892,408,,,360,0.6138888888888889,-11378.774999999996,-31.60770833333332,
