ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional,fold,model,proba
DOC,2023-03-31,2023-04-27,0.0,20.88,27.53,1.58,-22.96,0.09,0.11,0.06,7.0,0.09,0.09,0.09,0.11,0.0,0.0,0.0,0.0,522940000.0,532000000.0,514620000.0,6.0,2415.2,1969.76,166.4,332.0,8.7,296.07,8.73,-58.33,-82.14,43.27,4.78,-1.09,-0.65,15.0,15.0,15.0,2023-05-19,0.125,1.15,1.275,8.5,0.1,1.0,1.1,19.9,4.899999999999999,0.01488,1.85874,0.93681,0.995345,-6.2483321057631755,-0.40975,530.0,1.0,0.6607142857142857,23.0,0.0,1,8.5,2023-04-26,407.0,389.1180114746094,0.166095,0.1727160714285714,0.180725,0.0066210714285714,0.01463,0,0.20024,0.1417,0.05854,0.004875,0.2778157385263637,0.1428822444138577,0.0756972111553784,0.1098270649267062,0.1127638969431819,0.053331103056818,0.9739559194379784,1.23,-0.2648286770497453,0.9646341695367132,-0.3500923917591259,-0.0236151898191363,0.0198491400409648,-0.0260971151723647,1,18.84000015258789,21.540000915527344,2.23050015258789,1.275,1.1,real_post_mid,0.1275,2.6,2.149999999999982,0.0014333333333333214,fold_1,logreg,0.8888888888888888
APP,2023-06-30,2023-08-09,1.0,27.08,22.0,8.6,33.68,0.07,0.29,0.01,13.0,0.07,0.07,0.08,0.07,0.0,0.0,0.0,1.0,724270000.0,756000000.0,710080000.0,19.0,3127.2,3948.48,32.53,675.14,14.39,-74.6,,96.77,95.45,6510.28,147.7,8.43,28.99,30.0,37.5,30.0,2023-08-18,2.175,2.0999999999999996,4.2749999999999995,14.249999999999998,7.25,0.075,7.325,38.23,8.229999999999997,1.06851,1.08802,1.078265,0.59535,44.786300213769344,-0.409745,2018.0,416.0,0.127906976744186,10.0,25.0,0,-10.750000000000002,2023-08-08,455.0,433.43890380859375,0.1283109056865212,,,,,0,,,,,0.8756715301168859,0.125108145099435,0.1792828685258964,0.1282802486442215,0.0979468759479288,0.0303640297385923,1.3096920897448392,1.24,0.0836172989395821,1.074162648875988,-0.8579902419922858,-0.0169339086545982,0.0206751208586104,-0.0197469936070993,1,15.989999771118164,18.1299991607666,3.158909202466038,4.2749999999999995,7.325,real_post_mid,0.4275,2.6,-350.35000000000014,-0.11678333333333338,fold_1,logreg,0.7843137254901961
DIS,2023-06-30,2023-08-09,1.0,88.1,92.31,-0.69,-5.22,0.87,1.0,0.75,23.0,0.97,1.05,154.14,1.29,0.0,0.0,0.0,3.0,20449700000.0,20791300000.0,20052400000.0,21.0,7501.6,8231.84,-317.87,709.35,13.33,-7.22,13.06,-13.89,151.35,42.49,42.19,-1.57,2.12,88.0,92.0,88.0,2023-08-11,2.595,2.4000000000000004,4.995,5.676136363636363,3.8,0.05,3.85,89.02,1.019999999999996,0.78559,0.77583,0.78071,0.3417,56.232147660462914,-0.43413,6103.0,2236.0,0.7432773894148994,3.0,4.545454545454541,1,1.130681818181822,2023-08-08,455.0,433.43890380859375,0.1283109056865212,,,,,0,,,,,0.8756715301168859,0.125108145099435,0.1792828685258964,0.1282802486442215,0.0979468759479288,0.0303640297385923,1.3096920897448392,1.24,0.0836172989395821,1.074162648875988,-0.8579902419922858,-0.0169339086545982,0.0206751208586104,-0.0197469936070993,1,15.989999771118164,18.1299991607666,3.158909202466038,4.995000000000001,3.85,real_post_mid,0.4995000000000001,2.6,61.95000000000008,0.0070397727272727365,fold_1,logreg,1.0
CRWD,2023-07-31,2023-08-30,1.0,161.66,157.55,-7.72,-5.31,0.56,0.58,0.54,38.0,0.56,0.56,0.56,0.54,0.0,0.0,1.0,1.0,724130000.0,736000000.0,720000000.0,37.0,1741.6,1790.88,59.73,279.94,41.97,,50.02,83.87,246.15,17404.96,18.54,1.57,2.09,147.0,162.5,147.0,2023-09-01,5.975,6.175,12.15,8.26530612244898,16.325,0.01,16.335,161.23,14.22999999999999,1.14656,1.1368,1.14168,0.453895,60.24323803517624,-0.64876,680.0,304.0,0.8885966560210408,3.0,10.54421768707483,0,-2.278911564625851,2023-08-29,454.0,433.83489990234375,0.1180114285714285,0.1284628571428571,0.1354307142857143,0.0104514285714285,0.0174192857142857,0,0.15146,0.10268,0.04878,0.0090585714285714,0.2343557299591578,0.0748349127321158,0.1553784860557769,0.1756161459603316,0.1279199945835976,-0.009908566012169,1.3728592354306568,1.62,1.6516182460388305,5.717599801087983,3.3371171164785447,0.0251284393977688,-0.0188514201871607,-0.0188514201871607,1,14.449999809265137,16.559999465942383,2.64885695212228,12.149999999999999,16.335,real_post_mid,1.2149999999999999,2.6,-542.6000000000003,-0.03691156462585036,fold_1,logreg,0.8888888888888888
ARE,2023-09-30,2023-10-23,0.0,101.26,123.75,-6.8,-23.74,1.14,2.07,0.78,4.0,1.14,0.83,0.86,0.89,0.0,0.0,0.0,0.0,721980000.0,740100000.0,709340000.0,9.0,626.4,1802.4,-544.0,853.52,9.41,2.38,18.37,-34.62,-38.55,-1.71,6.69,0.41,-0.63,95.0,95.0,95.0,2023-11-17,4.1,3.7,7.8,8.210526315789474,3.75,2.9000000000000004,6.65,103.72,8.719999999999999,0.36609,0.37584,0.370965,0.3417,7.888884396102054,-0.02439,117.0,5.0,0.454608938547486,28.0,0.0,1,8.210526315789474,2023-10-20,424.0,408.2542114257813,0.18073,0.1842107142857143,0.180725,0.0034807142857143,-4.999999999977245e-06,1,0.2169642857142857,0.1584314285714285,0.0585328571428571,0.0069678571428571,1.0,0.4403757722797417,0.6573705179282868,0.1593975300160922,0.127727872908018,0.053002127091982,1.247946328291874,1.4,0.1433725242723427,2.2714529501722622,1.0554250554782718,-0.0238933783655995,-0.023644536644255,-0.0767039723332966,1,21.709999084472656,22.440000534057617,3.636999084472656,7.8,6.65,real_post_mid,0.78,2.6,34.39999999999994,0.003621052631578941,fold_2,logreg,1.0
BRO,2023-09-30,2023-10-23,1.0,72.27,72.47,-7.6,-7.85,0.62,0.65,0.58,12.0,0.61,0.61,0.61,0.6,1.0,0.0,3.0,0.0,1034190000.0,1062180000.0,1011740000.0,9.0,2792.8,2427.36,213.33,95.04,23.47,-6.5,19.47,33.33,-19.05,27.55,27.11,-2.05,0.81,70.0,70.0,70.0,2023-11-17,0.7250000000000001,3.5999999999999996,4.324999999999999,6.178571428571428,1.5,1.425,2.925,73.01,3.010000000000005,0.22951,0.27829,0.2539,0.20512,19.212288302481294,-0.00976,46.0,7.0,0.1524105754276827,28.0,0.0,1,6.178571428571428,2023-10-20,424.0,408.2542114257813,0.18073,0.1842107142857143,0.180725,0.0034807142857143,-4.999999999977245e-06,1,0.2169642857142857,0.1584314285714285,0.0585328571428571,0.0069678571428571,1.0,0.4403757722797417,0.6573705179282868,0.1593975300160922,0.127727872908018,0.053002127091982,1.247946328291874,1.4,0.1433725242723427,2.2714529501722622,1.0554250554782718,-0.0238933783655995,-0.023644536644255,-0.0767039723332966,1,21.709999084472656,22.440000534057617,3.636999084472656,4.324999999999999,2.925,real_post_mid,0.43249999999999994,2.6,94.14999999999996,0.013449999999999995,fold_2,logreg,1.0
CDNS,2023-09-30,2023-10-23,1.0,230.66,238.29,4.01,0.68,1.2,1.22,1.18,10.0,1.2,1.2,1.2,1.26,0.0,0.0,0.0,0.0,1001750000.0,1009300000.0,1000000000.0,10.0,6460.0,6204.0,149.33,27.71,13.88,-4.42,17.53,12.96,-5.43,9.84,5.81,0.88,-2.34,240.0,240.0,240.0,2023-11-17,9.2,9.55,18.75,7.8125,6.1,7.8,13.9,268.27,28.269999999999985,0.35633,0.35633,0.35633,0.283165,20.5329329554065,-0.03902,705.0,53.0,0.4800523217789404,28.0,0.0,1,7.8125,2023-10-20,424.0,408.2542114257813,0.18073,0.1842107142857143,0.180725,0.0034807142857143,-4.999999999977245e-06,1,0.2169642857142857,0.1584314285714285,0.0585328571428571,0.0069678571428571,1.0,0.4403757722797417,0.6573705179282868,0.1593975300160922,0.127727872908018,0.053002127091982,1.247946328291874,1.4,0.1433725242723427,2.2714529501722622,1.0554250554782718,-0.0238933783655995,-0.023644536644255,-0.0767039723332966,1,21.709999084472656,22.440000534057617,3.636999084472656,18.75,13.9,real_post_mid,1.875,2.6,294.8999999999999,0.012287499999999996,fold_2,logreg,1.0
PKG,2023-09-30,2023-10-23,1.0,149.06,152.65,-3.03,-5.31,1.93,1.95,1.91,6.0,1.92,1.91,1.91,1.94,2.0,0.0,2.0,0.0,1993520000.0,2114100000.0,1931000000.0,5.0,13357.6,12078.88,550.4,617.62,-12.75,-1.22,3.04,-28.48,5.0,-23.12,-33.98,-3.54,-4.69,140.0,150.0,140.0,2023-11-17,7.9,2.75,10.65,7.607142857142857,10.05,1.5,11.55,155.31,15.310000000000002,0.31731,0.30755,0.31243,0.239265,23.418045642223852,-0.0585299999999999,43.0,1.0,0.5483870967741935,28.0,7.14285714285714,1,0.4642857142857171,2023-10-20,424.0,408.2542114257813,0.18073,0.1842107142857143,0.180725,0.0034807142857143,-4.999999999977245e-06,1,0.2169642857142857,0.1584314285714285,0.0585328571428571,0.0069678571428571,1.0,0.4403757722797417,0.6573705179282868,0.1593975300160922,0.127727872908018,0.053002127091982,1.247946328291874,1.4,0.1433725242723427,2.2714529501722622,1.0554250554782718,-0.0238933783655995,-0.023644536644255,-0.0767039723332966,1,21.709999084472656,22.440000534057617,3.636999084472656,10.65,11.55,real_post_mid,1.0650000000000002,2.6,-199.10000000000005,-0.014221428571428576,fold_2,logreg,1.0
WRB,2023-09-30,2023-10-23,1.0,64.91,60.74,-3.11,3.54,1.18,1.22,1.07,12.0,1.19,1.17,1.17,1.16,0.0,0.0,3.0,2.0,3069710000.0,3094300000.0,3041800000.0,5.0,-6621.6,-6298.4,-21.33,470.85,19.22,3.49,14.29,1.79,14.0,82.17,105.42,6.91,6.4,65.0,65.0,64.5,2023-11-17,1.275,3.2,4.475,6.884615384615383,3.325,0.775,4.1000000000000005,70.21,5.709999999999994,0.23926,0.3856,0.31243,0.26365,15.61309733380277,-0.0877999999999999,82.0,5.0,0.4705882352941176,28.0,0.0,1,6.884615384615383,2023-10-20,424.0,408.2542114257813,0.18073,0.1842107142857143,0.180725,0.0034807142857143,-4.999999999977245e-06,1,0.2169642857142857,0.1584314285714285,0.0585328571428571,0.0069678571428571,1.0,0.4403757722797417,0.6573705179282868,0.1593975300160922,0.127727872908018,0.053002127091982,1.247946328291874,1.4,0.1433725242723427,2.2714529501722622,1.0554250554782718,-0.0238933783655995,-0.023644536644255,-0.0767039723332966,1,21.709999084472656,22.440000534057617,3.636999084472656,4.475,4.1000000000000005,real_post_mid,0.4475,2.6,-9.85000000000009,-0.0015153846153846294,fold_2,logreg,1.0
DGX,2023-09-30,2023-10-24,1.0,123.48,136.24,0.08,-9.29,2.19,2.25,2.09,15.0,2.19,2.19,2.19,2.25,0.0,0.0,0.0,1.0,2271360000.0,2328110000.0,2241000000.0,13.0,10519.2,10212.8,129.07,63.91,-4.69,0.3,-8.53,-2.54,12.75,0.43,-10.31,-0.45,-0.94,120.0,125.0,120.0,2023-11-17,4.65,2.7,7.35,6.125000000000001,7.15,0.875,8.025,134.89,14.889999999999986,0.28804,0.28804,0.28804,0.2148749999999999,25.400985974170265,-0.029265,34.0,25.0,0.6840909090909091,25.0,4.166666666666674,1,1.9583333333333268,2023-10-23,424.0,407.5466613769531,0.1772428571428571,0.17829,0.1761982142857143,0.0010471428571428,-0.0010446428571428,1,0.2030285714285714,0.16122,0.0418085714285714,0.0048814285714285,0.952345160818,0.4207005227119765,0.6254980079681275,0.0968716762749666,0.1276837668955311,0.0495590902473259,0.7586843545603214,1.4,0.2289309224627068,2.2293044072704755,0.8991994898310687,-0.0357306686566538,-0.0231402105284717,-0.0783041472517056,1,20.3700008392334,21.329999923706055,2.645715124947685,7.3500000000000005,8.025,real_post_mid,0.7350000000000001,2.6,-143.6,-0.011966666666666665,fold_2,logreg,0.7538461538461538
