fold,model,train_end,val_end,test_end,n_train,n_val,n_test,threshold,val_score,test_n,test_win_rate,test_total_pnl,test_avg_pnl,test_sharpe
fold_1,logreg,2022-09-30,2023-03-30,2023-09-30,2160,873,884,0.7700000000000005,-10222.25,4,0.5,-828.8500000000004,-207.2125000000001,-11.411837590841595
fold_1,lgbm,2022-09-30,2023-03-30,2023-09-30,2160,873,884,0.7700000000000005,-6541.599999999999,109,0.3944954128440367,-8071.050000000003,-74.04633027522938,-2.1915699285913455
fold_1,xgb,2022-09-30,2023-03-30,2023-09-30,2160,873,884,0.7900000000000005,1779.5999999999992,81,0.4074074074074074,-9862.550000000001,-121.75987654320988,-3.41106042979517
fold_1,always_short,2022-09-30,2023-03-30,2023-09-30,2160,873,884,,,884,0.4626696832579186,-154308.85,-174.5575226244344,
fold_1,vrp_only,2022-09-30,2023-03-30,2023-09-30,2160,873,884,,,864,0.46064814814814814,-140405.30000000002,-162.50613425925928,
fold_2,logreg,2023-03-30,2023-09-30,2024-03-30,3033,884,880,0.7500000000000004,-13702.950000000003,60,0.38333333333333336,-6374.75,-106.24583333333334,-2.5540173752288244
fold_2,lgbm,2023-03-30,2023-09-30,2024-03-30,3033,884,880,0.7000000000000004,-13647.850000000002,197,0.5583756345177665,-19739.350000000006,-100.19974619289343,-2.4702066056158514
fold_2,xgb,2023-03-30,2023-09-30,2024-03-30,3033,884,880,0.7200000000000004,-1413.0000000000016,54,0.5925925925925926,-3687.8999999999987,-68.29444444444442,-2.0342907456380526
fold_2,always_short,2023-03-30,2023-09-30,2024-03-30,3033,884,880,,,880,0.4590909090909091,-149220.7,-169.5689772727273,
fold_2,vrp_only,2023-03-30,2023-09-30,2024-03-30,3033,884,880,,,632,0.44936708860759494,-83725.04999999999,-132.47634493670884,
fold_3,logreg,2023-09-30,2024-03-30,2024-09-30,3917,880,894,0.7300000000000004,-22054.750000000004,325,0.4676923076923077,-45582.850000000006,-140.2549230769231,-3.269242690801262
fold_3,lgbm,2023-09-30,2024-03-30,2024-09-30,3917,880,894,0.7100000000000004,261.7000000000007,77,0.4805194805194805,-8747.05,-113.59805194805193,-2.4037861287451756
fold_3,xgb,2023-09-30,2024-03-30,2024-09-30,3917,880,894,0.6600000000000004,-17881.15000000001,276,0.4963768115942029,-44528.65,-161.3356884057971,-1.814244271482012
fold_3,always_short,2023-09-30,2024-03-30,2024-09-30,3917,880,894,,,894,0.4988814317673378,-176248.7,-197.14619686800896,
fold_3,vrp_only,2023-09-30,2024-03-30,2024-09-30,3917,880,894,,,736,0.5040760869565217,-121652.05000000002,-165.2881114130435,
fold_4,logreg,2024-03-30,2024-09-30,2025-03-30,4797,894,895,0.7100000000000004,-9837.450000000003,100,0.48,-14282.85,-142.8285,-3.7288116806418365
fold_4,lgbm,2024-03-30,2024-09-30,2025-03-30,4797,894,895,0.7100000000000004,-21341.299999999992,110,0.5,-3132.599999999999,-28.47818181818181,-0.6700275875947167
fold_4,xgb,2024-03-30,2024-09-30,2025-03-30,4797,894,895,0.7000000000000004,2371.3000000000015,69,0.5797101449275363,-1294.7500000000011,-18.764492753623205,-0.8536811397334868
fold_4,always_short,2024-03-30,2024-09-30,2025-03-30,4797,894,895,,,895,0.5039106145251396,-119769.85000000002,-133.821061452514,
fold_4,vrp_only,2024-03-30,2024-09-30,2025-03-30,4797,894,895,,,499,0.4909819639278557,-60239.8,-120.72104208416835,
fold_5,logreg,2024-09-30,2025-03-30,2025-09-30,5691,895,892,0.7800000000000005,1148.000000000003,122,0.4672131147540984,-17035.199999999997,-139.63278688524588,-3.857707627910605
fold_5,lgbm,2024-09-30,2025-03-30,2025-09-30,5691,895,892,0.7500000000000004,-2373.9000000000015,303,0.5610561056105611,-48208.35,-159.10346534653465,-1.514830692647443
fold_5,xgb,2024-09-30,2025-03-30,2025-09-30,5691,895,892,0.8300000000000005,5094.2,37,0.5135135135135135,-14118.900000000001,-381.5918918918919,-4.498687036357229
fold_5,always_short,2024-09-30,2025-03-30,2025-09-30,5691,895,892,,,892,0.554932735426009,-151654.25000000003,-170.0159753363229,
fold_5,vrp_only,2024-09-30,2025-03-30,2025-09-30,5691,895,892,,,450,0.5133333333333333,-134816.35000000003,-299.59188888888895,
fold_6,logreg,2025-03-30,2025-09-30,2026-03-30,6586,892,408,0.7300000000000004,-5006.1500000000015,78,0.5256410256410257,-9518.75,-122.03525641025641,-2.6984975878416098
fold_6,lgbm,2025-03-30,2025-09-30,2026-03-30,6586,892,408,0.7200000000000004,-3371.4500000000003,22,0.3181818181818182,-5757.200000000003,-261.6909090909092,-6.7367478473288855
fold_6,xgb,2025-03-30,2025-09-30,2026-03-30,6586,892,408,0.7200000000000004,-880.8999999999988,27,0.4074074074074074,-4138.700000000001,-153.2851851851852,-3.899733012204008
fold_6,always_short,2025-03-30,2025-09-30,2026-03-30,6586,892,408,,,408,0.5,-45518.399999999994,-111.56470588235292,
fold_6,vrp_only,2025-03-30,2025-09-30,2026-03-30,6586,892,408,,,360,0.5111111111111111,-34193.05,-94.98069444444445,
