ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional,fold,model,proba
O,2023-09-30,2023-11-06,1.0,50.11,59.0,0.7,-14.47,0.32,0.36,0.28,6.0,0.32,0.32,0.3,0.33,0.0,0.0,0.0,0.0,1000900000.0,1079210000.0,948500000.0,9.0,-2176.8,-2065.44,-51.2,124.43,25.76,7.92,46.71,-21.62,-14.71,14.27,32.01,-2.85,1.93,50.0,50.0,50.0,2023-11-17,1.375,0.425,1.8,3.6000000000000005,1.15,0.35,1.5,52.91,2.9099999999999966,0.21,0.21,0.21,0.20512,2.3238095238095218,-0.0097599999999999,2989.0,367.0,0.6720770986558458,14.0,0.0,1,3.6000000000000005,2023-11-03,437.0,421.339599609375,0.1284642857142857,0.1338040476190476,0.1439683928571428,0.0053397619047618,0.0155041071428571,0,0.1444885714285714,0.1152257142857142,0.0292628571428571,0.0013928571428571,0.0,0.182272626285068,0.2669322709163346,0.0753587693920107,0.1567277222275322,-0.0282634365132464,0.4808260358853895,1.38,0.0567390156362627,9.24174587954904,3.3526967764843096,0.0584641445805373,0.0240047990017506,-0.0331716357080793,1,14.90999984741211,17.219999313354492,2.063571275983536,1.8,2.9099999999999966,expiry_intrinsic,0.09000000000000001,1.9500000000000002,-121.94999999999966,-0.024389999999999933,fold_2,lgbm,0.8333333333333334
IFF,2023-09-30,2023-11-06,1.0,62.99,64.78,14.84,11.67,0.75,0.9,0.64,15.0,0.75,0.79,0.79,1.36,0.0,0.0,0.0,0.0,2771000000.0,2863000000.0,2670000000.0,11.0,6024.8,6603.36,-90.67,372.85,-11.43,-3.24,0.94,-44.16,-1.15,-13.44,-31.92,-2.5,-1.49,72.5,72.5,72.5,2023-11-17,3.5,3.075,6.575,9.06896551724138,1.075,1.875,2.95,73.94,1.4399999999999975,0.59047,0.57096,0.5807150000000001,0.302675,47.87890789802227,-0.209745,428.0,66.0,0.1669482933423454,14.0,0.0,1,9.06896551724138,2023-11-03,437.0,421.339599609375,0.1284642857142857,0.1338040476190476,0.1439683928571428,0.0053397619047618,0.0155041071428571,0,0.1444885714285714,0.1152257142857142,0.0292628571428571,0.0013928571428571,0.0,0.182272626285068,0.2669322709163346,0.0753587693920107,0.1567277222275322,-0.0282634365132464,0.4808260358853895,1.38,0.0567390156362627,9.24174587954904,3.3526967764843096,0.0584641445805373,0.0240047990017506,-0.0331716357080793,1,14.90999984741211,17.219999313354492,2.063571275983536,6.575,1.4399999999999975,expiry_intrinsic,0.32875000000000004,1.9500000000000002,478.67500000000024,0.06602413793103451,fold_2,lgbm,0.8333333333333334
FDS,2023-11-30,2023-12-19,1.0,457.34,423.77,-1.9,5.87,4.11,4.56,3.9,16.0,4.11,4.11,4.11,4.2,0.0,0.0,0.0,0.0,540360000.0,549000000.0,535100000.0,14.0,4605.6,5376.48,289.6,1711.9,8.4,2.86,15.25,0.8,-0.26,53.66,76.81,-0.07,12.56,460.0,450.0,460.0,2024-01-19,13.05,13.95,27.0,5.869565217391305,7.75,14.15,21.9,463.45,3.4499999999999886,0.23926,0.25877,0.249015,0.20024,19.58717346344597,-0.0438999999999999,4.0,118.0,0.5361050328227571,32.0,2.1739130434782594,1,3.695652173913045,2023-12-18,474.0,459.3294372558594,0.1061657142857142,0.12219,0.12707,0.0160242857142857,0.0209042857142857,0,0.12219,0.10268,0.01951,0.0062692857142857,0.1304706301809429,0.02993254314146,0.0358565737051792,0.0882317392133555,0.0708626633982167,0.0353030508874975,1.2451089894481149,1.16,0.0420301840863326,2.0250308583815415,-0.0706583450880673,0.0257442167361294,0.0525366693261015,0.0,1,12.5600004196167,15.470000267028809,1.9434289910452716,27.0,3.4499999999999886,expiry_intrinsic,1.35,1.9500000000000002,2218.050000000001,0.04821847826086959,fold_2,lgbm,0.8333333333333334
SYF,2023-12-31,2024-01-23,1.0,37.94,27.7,-1.32,35.16,0.95,5.48,4.75,22.0,5.09,5.11,5.13,5.08,2.0,0.0,5.0,1.0,4293310000.0,17307400000.0,13571000000.0,14.0,16788.0,16668.96,262.4,269.27,2.88,6.48,9.0,0.68,12.12,-20.21,-47.37,-55.52,-21.85,38.0,38.0,38.0,2024-02-16,1.35,1.675,3.0250000000000004,7.960526315789475,1.125,1.275,2.4,39.56,1.5600000000000025,0.35633,0.41487,0.3856,0.312435,18.97432572614107,-0.06829,1190.0,1324.0,1.3622164878446286,25.0,0.0,1,7.960526315789475,2024-01-22,487.0,470.501953125,0.11244,0.117315,0.1221949999999999,0.004875,0.0097549999999999,0,0.12219,0.10268,0.01951,-5.000000000005e-06,0.3489380973947035,0.0748390263104754,0.2390438247011952,0.1232580514801624,0.1082304333300138,0.0042095666699861,1.138848359816935,1.07,-0.5966418017543619,2.1713003144784175,-0.1501883222185186,0.0142024716098907,0.0181324747004043,0.0,1,13.1899995803833,14.970000267028809,1.945999580383301,3.0250000000000004,1.5600000000000025,expiry_intrinsic,0.15125000000000002,1.9500000000000002,129.42499999999978,0.034059210526315734,fold_2,lgbm,0.8333333333333334
PKG,2023-12-31,2024-01-24,1.0,163.68,150.64,0.81,9.54,1.83,8.52,8.28,9.0,8.39,8.37,8.34,8.33,0.0,0.0,2.0,0.0,1701640000.0,7815300000.0,7696400000.0,8.0,13818.4,12489.76,1024.0,666.42,-8.93,-0.82,0.79,-27.56,-11.26,-19.19,-30.16,-3.06,-4.06,165.0,170.0,165.0,2024-02-16,5.9,3.65,9.55,5.787878787878788,7.85,2.525,10.375,167.98,2.9799999999999898,0.28804,0.26853,0.278285,0.205115,26.293188637547843,-0.06341,128.0,9.0,0.106457242582897,24.0,3.0303030303030276,1,2.7575757575757605,2024-01-23,488.0,471.8741455078125,0.1033771428571428,0.112436923076923,0.117315,0.0090597802197802,0.0139378571428571,0,0.11244,0.10268,0.00976,0.0041828571428571,0.0465044216146638,0.0099741061774531,0.0239043824701195,0.1094782066580253,0.0939831961338705,0.0093939467232723,1.1648700104014715,1.12,-0.2157814644729686,2.909175133716885,0.0158708522991921,0.020908174417523,0.0354502945256856,0.0,1,12.550000190734863,14.520000457763672,2.212285905020579,9.55,2.9799999999999898,expiry_intrinsic,0.47750000000000004,1.9500000000000002,607.3000000000011,0.036806060606060675,fold_2,lgbm,0.8333333333333334
APH,2023-12-31,2024-01-24,1.0,99.01,80.2,1.67,25.51,0.77,2.97,2.94,14.0,2.95,2.95,2.95,2.94,1.0,0.0,2.0,0.0,3432030000.0,12428000000.0,12351500000.0,15.0,-9461.6,-9692.0,138.67,34.87,-2.91,4.76,7.85,-2.5,8.33,-2.33,-3.78,0.6,-0.18,100.0,100.0,100.0,2024-02-16,1.5,3.3,4.8,4.8,2.25,1.15,3.4,105.52,5.519999999999996,0.21975,0.22951,0.22463,0.166095,26.058407158438325,-0.0439049999999999,3539.0,423.0,2.100143061516452,24.0,0.0,1,4.8,2024-01-23,488.0,471.8741455078125,0.1033771428571428,0.112436923076923,0.117315,0.0090597802197802,0.0139378571428571,0,0.11244,0.10268,0.00976,0.0041828571428571,0.0465044216146638,0.0099741061774531,0.0239043824701195,0.1094782066580253,0.0939831961338705,0.0093939467232723,1.1648700104014715,1.12,-0.2157814644729686,2.909175133716885,0.0158708522991921,0.020908174417523,0.0354502945256856,0.0,1,12.550000190734863,14.520000457763672,2.212285905020579,4.8,5.519999999999996,expiry_intrinsic,0.24,1.9500000000000002,-97.94999999999962,-0.009794999999999962,fold_2,lgbm,0.8333333333333334
COR,2023-12-31,2024-01-31,1.0,205.38,192.18,13.29,21.07,2.86,2.92,2.8,8.0,2.87,2.86,2.85,2.85,1.0,0.0,2.0,1.0,67075300000.0,68801000000.0,66121400000.0,5.0,1500.0,1500.0,1612.8,0.0,,,,,,,,,,220.0,240.0,220.0,2024-02-16,4.8,4.0,8.8,4.0,17.55,0.35,17.900000000000002,231.72,11.72,0.21975,0.23926,0.229505,0.16609,27.63120629180192,-0.03902,229.0,96.0,1.0925925925925926,17.0,9.090909090909085,0,-5.090909090909083,2024-01-30,493.0,477.74267578125,0.112435,0.117315,0.117315,0.00488,0.00488,0,0.12219,0.10268,0.01951,0.0,0.3332763922104542,0.0748032401786239,0.1832669322709163,0.0637463801339724,0.0938194745507287,0.0186155254492712,0.6794578677746104,1.11,-0.2769250169809859,3.08245208476732,-0.0089694648623658,0.0124366429678448,0.0297887859275871,-0.0007736108323899,1,13.3100004196167,15.140000343322754,2.0665004196167,8.8,11.72,expiry_intrinsic,0.44000000000000006,1.9500000000000002,-337.95,-0.015361363636363637,fold_2,lgbm,0.8333333333333334
AVY,2023-12-31,2024-01-31,0.0,202.16,176.21,-1.34,13.19,2.16,8.0,7.56,12.0,7.85,7.86,7.86,7.86,2.0,0.0,2.0,0.0,1850550000.0,8463040000.0,8249000000.0,12.0,8316.0,8452.96,-89.6,144.64,-9.44,0.37,-0.83,-14.63,9.38,-20.51,-12.21,1.2,-0.38,200.0,200.0,200.0,2024-02-16,6.15,4.2,10.35,5.175000000000001,3.4000000000000004,3.35,6.75,208.83,8.830000000000013,0.30755,0.28804,0.297795,0.20512,31.120401618563115,-0.07804,64.0,7.0,3.975609756097561,17.0,0.0,1,5.175000000000001,2024-01-30,493.0,477.74267578125,0.112435,0.117315,0.117315,0.00488,0.00488,0,0.12219,0.10268,0.01951,0.0,0.3332763922104542,0.0748032401786239,0.1832669322709163,0.0637463801339724,0.0938194745507287,0.0186155254492712,0.6794578677746104,1.11,-0.2769250169809859,3.08245208476732,-0.0089694648623658,0.0124366429678448,0.0297887859275871,-0.0007736108323899,1,13.3100004196167,15.140000343322754,2.0665004196167,10.350000000000001,8.830000000000013,expiry_intrinsic,0.5175000000000001,1.9500000000000002,98.29999999999889,0.004914999999999945,fold_2,lgbm,0.8333333333333334
BR,2023-12-31,2024-02-01,1.0,199.89,177.12,0.87,13.84,0.89,7.05,6.89,8.0,6.93,6.94,6.94,6.92,0.0,0.0,0.0,0.0,1671570000.0,6131670000.0,6085600000.0,8.0,30415.2,29942.88,2828.8,3328.53,8.67,-1.82,7.55,-67.03,-15.6,14.07,15.29,1.18,0.5,200.0,200.0,200.0,2024-02-16,7.95,3.075,11.025,5.5125,4.35,2.175,6.5249999999999995,197.92,2.0800000000000125,0.31731,0.2978,0.307555,0.20024,34.892945977142304,-0.102435,12.0,4.0,0.5131578947368421,16.0,0.0,1,5.5125,2024-01-31,486.0,469.947265625,0.117315,0.12707,0.12707,0.009755,0.009755,0,0.13195,0.11244,0.01951,0.0048799999999999,0.4878006099695016,0.1097305048656359,0.3625498007968127,0.1504201190141764,0.1116857287357935,0.0056292712642064,1.3468159335738754,1.06,-0.6974555170639779,1.6415243494222156,-0.387722821462971,-0.0051710428834009,0.0159264976146638,-0.0170781612470504,1,14.350000381469728,15.960000038146973,2.618500381469726,11.025,2.0800000000000125,expiry_intrinsic,0.55125,1.9500000000000002,837.4249999999988,0.04187124999999994,fold_2,lgbm,0.8333333333333334
IDXX,2023-12-31,2024-02-05,1.0,537.36,422.47,6.47,35.42,2.12,9.93,9.77,12.0,9.85,9.84,9.85,9.84,2.0,0.0,4.0,0.0,894470000.0,3666210000.0,3640000000.0,11.0,16488.8,15198.56,674.13,95.52,8.78,-2.98,6.47,17.67,-5.24,11.44,12.44,-0.34,0.98,530.0,570.0,530.0,2024-02-16,15.5,17.25,32.75,6.179245283018868,39.05,1.75,40.8,555.54,25.539999999999964,0.39536,0.39536,0.39536,0.26853,32.07962363415621,-0.0926849999999999,69.0,75.0,1.4259927797833936,14.0,7.547169811320753,0,-1.3679245283018853,2024-02-02,497.0,481.1100463867187,0.11244,0.1184240909090909,0.1233420588235294,0.0059840909090909,0.0109020588235294,0,0.1249785714285714,0.10268,0.0222985714285714,0.0013892857142857,0.3171841407929603,0.0748390263104754,0.2589641434262948,0.1898745884924875,0.1148937309261126,-0.0024537309261126,1.65261052071322,1.14,-0.0645187792364455,8.393326655700134,1.2806426257646204,0.0142385716033781,0.0545235340480363,0.0,1,13.850000381469728,15.609999656677246,2.606000381469727,32.75,25.539999999999964,expiry_intrinsic,1.6375000000000002,1.9500000000000002,555.3000000000036,0.010477358490566106,fold_2,lgbm,0.8333333333333334
