date,pnl,cum_pnl,equity
2023-04-13,-782.5000000000001,-782.5000000000001,99217.5
2023-04-14,-2995.35,-3777.85,96222.15
2023-04-17,41.09999999999985,-3736.75,96263.25
2023-04-18,2216.2499999999995,-1520.5000000000005,98479.5
2023-04-19,-3577.4,-5097.900000000001,94902.1
2023-04-20,-789.9499999999996,-5887.85,94112.15
2023-04-21,-832.0500000000002,-6719.900000000001,93280.1
2023-04-24,-860.7000000000002,-7580.6,92419.4
2023-04-25,-23760.9,-31341.5,68658.5
2023-04-26,-1518.3499999999992,-32859.85,67140.15
2023-04-27,-6079.0999999999985,-38938.95,61061.05
2023-04-28,-16.200000000000387,-38955.149999999994,61044.850000000006
2023-05-01,-2679.85,-41634.99999999999,58365.00000000001
2023-05-02,-7883.150000000001,-49518.149999999994,50481.850000000006
2023-05-03,-6890.65,-56408.799999999996,43591.200000000004
2023-05-04,-3766.6,-60175.399999999994,39824.600000000006
2023-05-05,-3032.7,-63208.09999999999,36791.90000000001
2023-05-08,-1617.35,-64825.44999999999,35174.55000000001
2023-05-09,-4520.449999999999,-69345.9,30654.100000000006
2023-05-10,-30.199999999999882,-69376.09999999999,30623.90000000001
2023-05-11,343.95000000000005,-69032.15,30967.850000000006
2023-05-16,567.8000000000001,-68464.34999999999,31535.65000000001
2023-05-17,-645.2999999999994,-69109.65,30890.350000000006
2023-05-18,1316.65,-67793.0,32207.0
2023-05-19,493.65000000000003,-67299.35,32700.649999999994
2023-05-22,398.40000000000003,-66900.95000000001,33099.04999999999
2023-05-23,-12135.6,-79036.55000000002,20963.449999999983
2023-05-24,-6208.450000000001,-85245.00000000001,14754.999999999985
2023-05-25,-3596.2,-88841.20000000001,11158.799999999988
2023-05-30,-55.35000000000001,-88896.55000000002,11103.449999999983
2023-05-31,2234.05,-86662.50000000001,13337.499999999985
2023-06-01,2913.9000000000005,-83748.60000000002,16251.39999999998
2023-06-07,-240.35,-83988.95000000003,16011.049999999974
2023-06-14,93.90000000000005,-83895.05000000003,16104.949999999968
2023-06-15,1756.5000000000002,-82138.55000000003,17861.449999999968
2023-06-22,-1674.2000000000007,-83812.75000000003,16187.24999999997
2023-06-26,96.25,-83716.50000000003,16283.49999999997
2023-06-28,117.25000000000001,-83599.25000000003,16400.74999999997
2023-06-29,127.90000000000003,-83471.35000000003,16528.649999999965
2023-06-30,748.9,-82722.45000000004,17277.54999999996
2023-07-13,-987.55,-83710.00000000004,16289.999999999956
2023-07-14,-2173.55,-85883.55000000005,14116.449999999953
2023-07-18,-2958.7499999999995,-88842.30000000005,11157.699999999953
2023-07-19,-4295.0,-93137.30000000005,6862.699999999953
2023-07-20,1454.9999999999995,-91682.30000000005,8317.699999999953
2023-07-21,-1047.35,-92729.65000000005,7270.349999999948
2023-07-24,-150.19999999999973,-92879.85000000005,7120.1499999999505
2023-07-25,-6757.5,-99637.35000000005,362.6499999999505
2023-07-26,-15523.299999999997,-115160.65000000005,-15160.650000000052
2023-07-27,-3606.350000000003,-118767.00000000006,-18767.00000000006
2023-07-28,-100.49999999999996,-118867.50000000006,-18867.50000000006
2023-07-31,-947.5000000000003,-119815.00000000006,-19815.00000000006
2023-08-01,-7563.800000000002,-127378.80000000006,-27378.80000000006
2023-08-02,-7912.5999999999985,-135291.40000000005,-35291.40000000005
2023-08-03,-10090.650000000001,-145382.05000000005,-45382.05000000005
2023-08-04,-308.75000000000006,-145690.80000000005,-45690.80000000005
2023-08-07,-142.6000000000003,-145833.40000000005,-45833.40000000005
2023-08-08,-8337.45,-154170.85000000006,-54170.850000000064
2023-08-09,408.44999999999993,-153762.40000000005,-53762.40000000005
2023-08-10,-59.100000000000044,-153821.50000000006,-53821.50000000006
2023-08-15,681.5500000000001,-153139.95000000007,-53139.95000000007
2023-08-16,989.2000000000003,-152150.75000000006,-52150.75000000006
2023-08-17,-576.35,-152727.10000000006,-52727.100000000064
2023-08-18,-1411.85,-154138.95000000007,-54138.95000000007
2023-08-21,56.3999999999999,-154082.55000000008,-54082.550000000076
2023-08-22,-155.50000000000014,-154238.05000000008,-54238.050000000076
2023-08-23,3045.499999999999,-151192.55000000008,-51192.550000000076
2023-08-24,-740.5500000000002,-151933.10000000006,-51933.100000000064
2023-08-29,320.75,-151612.35000000006,-51612.350000000064
2023-08-30,85.69999999999982,-151526.65000000005,-51526.65000000005
2023-08-31,-1285.0000000000005,-152811.65000000005,-52811.65000000005
2023-09-08,168.85000000000002,-152642.80000000005,-52642.80000000005
2023-09-11,-1034.6,-153677.40000000005,-53677.40000000005
2023-09-14,293.29999999999984,-153384.10000000006,-53384.100000000064
2023-09-20,11.05000000000014,-153373.05000000008,-53373.050000000076
2023-09-21,-121.59999999999997,-153494.65000000008,-53494.65000000008
2023-09-26,-690.1,-154184.7500000001,-54184.75000000009
2023-09-27,59.64999999999991,-154125.1000000001,-54125.10000000009
2023-09-28,-195.90000000000003,-154321.0000000001,-54321.00000000009
2023-09-29,12.149999999999991,-154308.8500000001,-54308.85000000009
2023-10-03,-269.0999999999999,-154577.9500000001,-54577.9500000001
2023-10-05,-372.69999999999993,-154950.6500000001,-54950.65000000011
2023-10-10,221.29999999999998,-154729.35000000012,-54729.35000000012
2023-10-12,779.2999999999997,-153950.05000000013,-53950.050000000134
2023-10-13,904.2500000000003,-153045.80000000013,-53045.800000000134
2023-10-16,55.35000000000006,-152990.45000000013,-52990.45000000013
2023-10-17,-827.6500000000007,-153818.10000000012,-53818.10000000012
2023-10-18,-5397.000000000001,-159215.10000000012,-59215.10000000012
2023-10-19,-299.0499999999992,-159514.1500000001,-59514.15000000011
2023-10-20,65.80000000000004,-159448.35000000012,-59448.35000000012
2023-10-23,214.4999999999997,-159233.85000000012,-59233.85000000012
2023-10-24,-2040.9999999999995,-161274.85000000012,-61274.85000000012
2023-10-25,-4262.3,-165537.1500000001,-65537.15000000011
2023-10-26,-6399.550000000002,-171936.7000000001,-71936.7000000001
2023-10-27,-709.8499999999997,-172646.5500000001,-72646.5500000001
2023-10-30,-3954.9999999999995,-176601.5500000001,-76601.5500000001
2023-10-31,-1782.0500000000002,-178383.6000000001,-78383.6000000001
2023-11-01,-5607.5999999999985,-183991.2000000001,-83991.2000000001
2023-11-02,-6411.199999999998,-190402.4000000001,-90402.40000000011
2023-11-03,-6155.350000000001,-196557.75000000012,-96557.75000000012
2023-11-06,993.9499999999999,-195563.8000000001,-95563.8000000001
2023-11-07,378.64999999999986,-195185.1500000001,-95185.15000000011
2023-11-08,-1323.3999999999996,-196508.5500000001,-96508.5500000001
2023-11-09,1479.5500000000004,-195029.00000000012,-95029.00000000012
2023-11-13,-492.59999999999997,-195521.60000000012,-95521.60000000012
2023-11-14,-1062.3499999999997,-196583.95000000013,-96583.95000000013
2023-11-15,-1617.25,-198201.20000000013,-98201.20000000013
2023-11-16,-1653.6000000000006,-199854.80000000013,-99854.80000000013
2023-11-21,1547.7000000000005,-198307.10000000012,-98307.10000000012
2023-11-28,-2848.15,-201155.25000000012,-101155.25000000012
2023-11-29,-1332.7,-202487.95000000013,-102487.95000000013
2023-11-30,-2562.4499999999994,-205050.40000000014,-105050.40000000014
2023-12-05,3498.5500000000006,-201551.85000000015,-101551.85000000015
2023-12-06,-168.35000000000002,-201720.20000000016,-101720.20000000016
2023-12-07,15.5499999999995,-201704.65000000017,-101704.65000000017
2023-12-11,-651.1000000000001,-202355.75000000017,-102355.75000000017
2023-12-14,-760.6,-203116.35000000018,-103116.35000000018
2023-12-15,568.9,-202547.4500000002,-102547.45000000019
2023-12-19,-1171.0500000000004,-203718.50000000017,-103718.50000000017
2023-12-20,-52.499999999999936,-203771.00000000017,-103771.00000000017
2023-12-21,-2294.3,-206065.30000000016,-106065.30000000016
2024-01-04,209.9,-205855.40000000017,-105855.40000000017
2024-01-05,16.90000000000006,-205838.50000000017,-105838.50000000017
2024-01-12,832.9000000000002,-205005.60000000018,-105005.60000000018
2024-01-16,410.64999999999975,-204594.9500000002,-104594.95000000019
2024-01-17,47.79999999999999,-204547.1500000002,-104547.1500000002
2024-01-18,-515.4999999999998,-205062.6500000002,-105062.6500000002
2024-01-19,-423.6,-205486.2500000002,-105486.2500000002
2024-01-22,-64.49999999999997,-205550.7500000002,-105550.7500000002
2024-01-23,-4851.749999999999,-210402.5000000002,-110402.5000000002
2024-01-24,-5056.9000000000015,-215459.4000000002,-115459.4000000002
2024-01-25,-3632.0500000000006,-219091.4500000002,-119091.45000000019
2024-01-26,5.949999999999932,-219085.50000000017,-119085.50000000017
