date,pnl,cum_pnl,equity
2023-07-25,35.149999999999984,35.149999999999984,100035.15
2023-07-27,302.3999999999998,337.5499999999998,100337.55
2023-08-01,-9.599999999999977,327.9499999999998,100327.95
2023-08-04,-14.349999999999993,313.59999999999985,100313.6
2023-08-30,-542.6000000000003,-229.0000000000004,99771.0
2024-02-01,337.1500000000001,108.1499999999997,100108.15
2024-02-22,707.9,816.0499999999997,100816.05
2024-04-30,-51.54999999999994,764.4999999999998,100764.5
2024-05-01,170.9,935.3999999999997,100935.4
2024-07-22,-320.3500000000001,615.0499999999997,100615.05
2024-07-25,-2530.5499999999997,-1915.5,98084.5
2024-08-06,-760.3499999999993,-2675.8499999999995,97324.15
2024-08-07,304.65,-2371.1999999999994,97628.8
2024-10-22,148.60000000000016,-2222.599999999999,97777.4
2024-10-24,269.29999999999984,-1953.2999999999993,98046.7
2024-10-28,-57.699999999999974,-2010.9999999999993,97989.0
2024-10-29,-10.850000000000012,-2021.8499999999992,97978.15
2024-10-30,7.300000000000017,-2014.5499999999993,97985.45
2024-10-31,-19.80000000000004,-2034.3499999999992,97965.65
2024-11-01,-30.850000000000005,-2065.1999999999994,97934.8
2024-11-06,-82.10000000000005,-2147.2999999999993,97852.7
2025-01-21,20.4,-2126.899999999999,97873.1
2025-01-28,198.8,-1928.0999999999992,98071.9
2025-01-29,127.89999999999995,-1800.1999999999994,98199.8
2025-02-04,9.399999999999967,-1790.7999999999995,98209.2
2025-02-06,49.79999999999997,-1740.9999999999995,98259.0
2025-02-12,80.4,-1660.5999999999995,98339.4
2025-02-24,-26.599999999999962,-1687.1999999999994,98312.8
2025-02-25,-179.59999999999994,-1866.7999999999993,98133.2
2025-02-26,-136.70000000000007,-2003.4999999999993,97996.5
2025-04-22,-3055.4,-5058.9,94941.1
2025-04-23,-4035.8,-9094.7,90905.3
2025-04-24,764.2,-8330.5,91669.5
2025-04-28,-657.8,-8988.3,91011.7
2025-04-29,314.8499999999998,-8673.449999999999,91326.55
2025-04-30,232.8,-8440.65,91559.35
2025-05-01,1748.0000000000005,-6692.65,93307.35
2025-05-22,-558.0999999999999,-7250.75,92749.25
2025-07-21,271.3,-6979.45,93020.55
2025-07-23,-4562.6,-11542.05,88457.95
2025-07-24,-47.300000000000004,-11589.349999999999,88410.65
2025-07-30,161.39999999999998,-11427.949999999999,88572.05
2025-07-31,-37.60000000000002,-11465.55,88534.45
2025-08-04,-4142.95,-15608.5,84391.5
2025-10-21,-197.5999999999998,-15806.1,84193.9
2025-10-22,385.30000000000007,-15420.800000000001,84579.2
2025-10-23,1.3999999999999981,-15419.400000000001,84580.6
2025-10-30,-505.0999999999996,-15924.500000000002,84075.5
2025-11-04,15.15,-15909.350000000002,84090.65
2025-11-06,14.9,-15894.450000000003,84105.55
