ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_expiration_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,atm_call_mid_post,atm_put_mid_post,exit_premium,expiry_close,exit_intrinsic_at_expiry,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d,entry_premium,exit_cost,exit_source,half_spread,commission,pnl_dollars,pnl_pct_notional,fold,model,proba
NEE,2023-06-30,2023-07-25,1.0,74.17,74.07,1.71,1.85,0.82,0.87,0.75,11.0,0.81,0.81,0.8,0.81,1.0,0.0,3.0,2.0,6233830000.0,6817540000.0,5353510000.0,7.0,-51695.2,-52212.0,235.73,149.79,132.39,-67.95,40.06,13.51,64.71,2521.6,479.61,44.21,70.63,75.0,75.0,75.0,2023-08-18,2.5,1.725,4.225,5.633333333333333,1.5,1.925,3.425,67.83,7.170000000000002,0.26853,0.26853,0.26853,0.22951,14.53096488288087,-0.0438999999999999,9983.0,310.0,0.8344228614120284,25.0,0.0,1,5.633333333333333,2023-07-24,462.0,438.7029418945313,0.11244,0.117315,0.1225432142857142,0.004875,0.0101032142857142,0,0.13195,0.10268,0.02927,0.004875,0.5387587729674317,0.0476399668082198,0.0916334661354581,0.08433444675327,0.0907011160431729,0.021738883956827,0.9298060534682682,1.46,2.007545825677533,2.3389151677525635,0.2790772277805347,0.0074527611252139,0.0405259877833135,-0.0021968383851592,1,13.90999984741211,16.260000228881836,2.6659998474121096,4.225,3.425,real_post_mid,0.4225,2.6,35.149999999999984,0.0046866666666666645,fold_1,xgb,1.0
WST,2023-06-30,2023-07-27,1.0,369.34,361.24,-3.91,-1.76,1.93,2.13,1.85,8.0,1.93,1.96,1.97,1.99,0.0,0.0,0.0,1.0,755710000.0,771300000.0,737100000.0,8.0,18597.6,16616.16,1126.4,699.35,-0.53,-75.19,1.57,-13.91,11.86,-12.51,-10.33,-1.77,-2.56,380.0,370.0,380.0,2023-08-18,11.95,11.55,23.5,6.184210526315789,2.45,15.65,18.1,387.77,7.769999999999982,0.30755,0.31731,0.31243,0.20024,35.90884358096213,-0.0536599999999999,250.0,3.0,0.375,23.0,2.631578947368418,1,3.5526315789473712,2023-07-26,463.0,439.9682922363281,0.1075599999999999,0.1093028571428571,0.1187085714285714,0.0017428571428571,0.0111485714285714,0,0.12219,0.10268,0.01951,0.004875,0.318300409988818,0.0238199834041099,0.0398406374501992,0.0671363920396854,0.0810081716534275,0.0265518283465724,0.8287607369650449,1.13,0.1200533689152453,1.0364646174416243,-0.4766279178294946,0.0006811240149626,0.0557900717272361,0.0,1,13.1899995803833,15.789999961853027,2.4339995803833023,23.5,18.1,real_post_mid,2.35,2.6,302.3999999999998,0.0079578947368421,fold_1,xgb,0.9406092762947083
PEG,2023-06-30,2023-08-01,1.0,62.61,63.21,0.94,-0.02,0.63,0.74,0.55,15.0,0.63,0.64,0.64,0.66,1.0,0.0,2.0,3.0,1951240000.0,2222000000.0,1402160000.0,6.0,4511.2,4027.52,232.53,174.83,62.34,-61.68,13.22,4.51,117.19,562.97,3269.23,39.55,46.14,65.0,65.0,65.0,2023-08-18,0.35,2.1,2.45,3.769230769230769,0.275,2.0,2.275,60.82,4.18,0.17097,0.18073,0.17585,0.166095,5.547341484219513,0.009755,4050.0,48.0,0.7829457364341085,18.0,0.0,1,3.769230769230769,2023-07-31,465.0,442.1704406738281,0.1110457142857142,0.112435,0.1253289285714285,0.0013892857142857,0.0142832142857143,0,0.13195,0.10268,0.02927,0.0062692857142857,0.5456578456951169,0.0408342572641884,0.0756972111553784,0.0931905253933108,0.0852947621409878,0.0257509521447264,1.0925703179671415,1.22,0.43850994413428,2.5153748782021,1.123859691008923,0.007903978861693,0.0449202660085854,0.0,1,13.630000114440918,16.010000228881836,2.5254286858694908,2.45,2.275,real_post_mid,0.24500000000000002,2.6,-9.599999999999977,-0.0014769230769230734,fold_1,xgb,0.9173744916915894
PPL,2023-06-30,2023-08-04,0.0,26.72,28.75,-2.4,-9.29,0.32,0.34,0.29,10.0,0.32,0.34,0.34,0.34,0.0,0.0,0.0,0.0,1267720000.0,1267720000.0,1267720000.0,1.0,26.4,-29.92,-6.4,62.22,35.52,-69.44,36.49,17.07,71.43,17.05,9.69,-5.91,-4.86,27.0,26.0,27.0,2023-08-18,0.3,0.625,0.925,3.425925925925926,0.075,0.875,0.95,25.3,1.6999999999999993,0.20024,0.21,0.20512,0.166095,19.02544851794072,-0.0097599999999999,5547.0,31.0,0.2831683168316831,15.0,3.703703703703709,0,-0.277777777777783,2023-08-03,456.0,433.5258483886719,0.122195,0.1284635714285714,0.1410057142857143,0.0062685714285714,0.0188107142857142,0,0.15146,0.12219,0.02927,0.01463,0.8001230012300118,0.0952555278957387,0.1633466135458167,0.1370415809586593,0.0961060635170764,0.0260889364829235,1.4259410482909778,1.35,1.0353827567443223,0.856490344329551,-0.9823821576701784,-0.0080663789087244,0.0128857276251097,-0.0195503622358442,1,15.920000076293944,17.719999313354492,3.7005000762939457,0.925,0.95,real_post_mid,0.09250000000000001,2.6,-14.349999999999993,-0.005314814814814812,fold_1,xgb,0.8782052993774414
CRWD,2023-07-31,2023-08-30,1.0,161.66,157.55,-7.72,-5.31,0.56,0.58,0.54,38.0,0.56,0.56,0.56,0.54,0.0,0.0,1.0,1.0,724130000.0,736000000.0,720000000.0,37.0,1741.6,1790.88,59.73,279.94,41.97,,50.02,83.87,246.15,17404.96,18.54,1.57,2.09,147.0,162.5,147.0,2023-09-01,5.975,6.175,12.15,8.26530612244898,16.325,0.01,16.335,161.23,14.22999999999999,1.14656,1.1368,1.14168,0.453895,60.24323803517624,-0.64876,680.0,304.0,0.8885966560210408,3.0,10.54421768707483,0,-2.278911564625851,2023-08-29,454.0,433.83489990234375,0.1180114285714285,0.1284628571428571,0.1354307142857143,0.0104514285714285,0.0174192857142857,0,0.15146,0.10268,0.04878,0.0090585714285714,0.2343557299591578,0.0748349127321158,0.1553784860557769,0.1756161459603316,0.1279199945835976,-0.009908566012169,1.3728592354306568,1.62,1.6516182460388305,5.717599801087983,3.3371171164785447,0.0251284393977688,-0.0188514201871607,-0.0188514201871607,1,14.449999809265137,16.559999465942383,2.64885695212228,12.149999999999999,16.335,real_post_mid,1.2149999999999999,2.6,-542.6000000000003,-0.03691156462585036,fold_1,xgb,0.9588139653205872
BR,2023-12-31,2024-02-01,1.0,199.89,177.12,0.87,13.84,0.89,7.05,6.89,8.0,6.93,6.94,6.94,6.92,0.0,0.0,0.0,0.0,1671570000.0,6131670000.0,6085600000.0,8.0,30415.2,29942.88,2828.8,3328.53,8.67,-1.82,7.55,-67.03,-15.6,14.07,15.29,1.18,0.5,200.0,200.0,200.0,2024-02-16,7.95,3.075,11.025,5.5125,4.35,2.175,6.5249999999999995,197.92,2.0800000000000125,0.31731,0.2978,0.307555,0.20024,34.892945977142304,-0.102435,12.0,4.0,0.5131578947368421,16.0,0.0,1,5.5125,2024-01-31,486.0,469.947265625,0.117315,0.12707,0.12707,0.009755,0.009755,0,0.13195,0.11244,0.01951,0.0048799999999999,0.4878006099695016,0.1097305048656359,0.3625498007968127,0.1504201190141764,0.1116857287357935,0.0056292712642064,1.3468159335738754,1.06,-0.6974555170639779,1.6415243494222156,-0.387722821462971,-0.0051710428834009,0.0159264976146638,-0.0170781612470504,1,14.350000381469728,15.960000038146973,2.618500381469726,11.025,6.5249999999999995,real_post_mid,1.1025,2.6,337.1500000000001,0.016857500000000004,fold_2,xgb,1.0
POOL,2023-12-31,2024-02-22,1.0,390.66,354.75,-2.96,6.86,1.25,13.45,13.15,9.0,13.26,13.26,13.23,13.25,1.0,0.0,1.0,0.0,915950000.0,5575000000.0,5546800000.0,13.0,28920.8,30095.2,-91.73,894.13,-8.72,-20.62,3.26,-26.57,-40.61,-25.25,-26.31,-2.1,-3.15,390.0,390.0,390.0,2024-03-15,16.0,16.45,32.45,8.320512820512821,9.85,12.25,22.1,399.31,9.310000000000002,0.40511,0.42462,0.414865,0.2977999999999999,28.21761295843228,-0.0439,16.0,40.0,1.327188940092166,23.0,0.0,1,8.320512820512821,2024-02-21,498.0,483.8934020996094,0.12707,0.1221949999999999,0.1319449999999999,-0.004875,0.0048749999999999,0,0.15146,0.11244,0.03902,0.00488,0.8292085395730207,0.1795492481078082,0.5099601593625498,0.1057068739728988,0.1186570161064869,0.008412983893513,0.8908607130153496,1.19,0.6079590018331053,0.5246779863568262,-0.8723116815032516,0.0063348845332982,0.0284620475763499,-0.0095616333862067,1,15.34000015258789,16.229999542236328,2.6330001525878917,32.45,22.1,real_post_mid,3.2450000000000006,2.6,707.9,0.01815128205128205,fold_2,xgb,0.8846172094345093
OKE,2024-03-31,2024-04-30,0.0,80.17,68.25,-1.31,15.93,1.15,1.27,0.92,12.0,1.18,1.21,1.23,1.24,0.0,0.0,0.0,1.0,6151070000.0,6416970000.0,5844240000.0,3.0,3568.8,3802.4,-181.33,132.66,-22.71,325.13,-26.49,9.26,19.19,45.3,34.21,18.88,9.77,80.0,77.5,80.0,2024-05-17,1.8,1.25,3.05,3.8125,0.3,3.3,3.5999999999999996,82.63,2.6299999999999955,0.10268,0.27829,0.190485,0.19048,0.0026248785993528,2.7755575615628914e-17,4015.0,315.0,0.0471399291969442,18.0,3.125,1,0.6875,2024-04-29,513.0,497.9416198730469,0.13195,0.1319449999999999,0.1319449999999999,-5.000000000032756e-06,-5.000000000032756e-06,1,0.1417,0.1152257142857142,0.0264742857142857,-0.0034871428571428,0.4615627217535286,0.3386173776181445,0.7091633466135459,0.1039141119982902,0.1252031035373971,0.0067468964626028,0.8299643464289364,1.16,-0.4252358756180824,0.9848042441124726,-0.5905529024858356,0.0206916409891566,-0.024872384871474,-0.0250587762271753,1,14.670000076293944,16.0,1.475000076293945,3.05,3.5999999999999996,real_post_mid,0.305,2.6,-88.09999999999997,-0.011012499999999996,fold_3,xgb,1.0
PEG,2024-03-31,2024-04-30,0.0,66.78,57.99,3.44,19.12,1.31,1.44,1.22,15.0,1.3,1.28,1.38,1.4,3.0,0.0,4.0,1.0,3064530000.0,3346820000.0,2780080000.0,7.0,5194.4,4764.32,164.27,174.84,14.66,357.53,20.7,-15.62,-36.47,78.83,166.84,16.39,18.7,70.0,70.0,70.0,2024-05-17,0.75,1.9,2.65,3.785714285714285,1.025,1.075,2.0999999999999996,74.54,4.540000000000006,0.20024,0.20024,0.20024,0.18073,9.743308030363565,0.0,419.0,73.0,0.166383701188455,18.0,0.0,1,3.785714285714285,2024-04-29,513.0,497.9416198730469,0.13195,0.1319449999999999,0.1319449999999999,-5.000000000032756e-06,-5.000000000032756e-06,1,0.1417,0.1152257142857142,0.0264742857142857,-0.0034871428571428,0.4615627217535286,0.3386173776181445,0.7091633466135459,0.1039141119982902,0.1252031035373971,0.0067468964626028,0.8299643464289364,1.16,-0.4252358756180824,0.9848042441124726,-0.5905529024858356,0.0206916409891566,-0.024872384871474,-0.0250587762271753,1,14.670000076293944,16.0,1.475000076293945,2.65,2.0999999999999996,real_post_mid,0.265,2.6,25.900000000000023,0.003700000000000003,fold_3,xgb,1.0
CNP,2024-03-31,2024-04-30,1.0,28.49,27.94,2.28,4.29,0.53,0.56,0.49,13.0,0.51,0.52,0.48,0.52,3.0,0.0,4.0,1.0,2680760000.0,3017700000.0,2361470000.0,5.0,4924.0,4799.2,74.67,59.87,-6.71,367.53,-4.53,14.29,-20.0,-1.24,12.39,5.95,3.44,29.0,29.0,29.0,2024-05-17,0.675,0.5,1.175,4.051724137931035,0.6000000000000001,0.325,0.925,30.08,1.0799999999999983,0.20024,0.24902,0.22463,0.18073,19.54324889818813,-0.03902,1049.0,45.0,2.433628318584071,18.0,0.0,1,4.051724137931035,2024-04-29,513.0,497.9416198730469,0.13195,0.1319449999999999,0.1319449999999999,-5.000000000032756e-06,-5.000000000032756e-06,1,0.1417,0.1152257142857142,0.0264742857142857,-0.0034871428571428,0.4615627217535286,0.3386173776181445,0.7091633466135459,0.1039141119982902,0.1252031035373971,0.0067468964626028,0.8299643464289364,1.16,-0.4252358756180824,0.9848042441124726,-0.5905529024858356,0.0206916409891566,-0.024872384871474,-0.0250587762271753,1,14.670000076293944,16.0,1.475000076293945,1.175,0.925,real_post_mid,0.11750000000000001,2.6,10.65,0.0036724137931034486,fold_3,xgb,1.0
